geo,time,age,education,sex,zaf_population
zaf,1996,28,Complete primary,Female,28456.7405
zaf,1996,28,Some secondary,Male,114913.2047
zaf,1996,28,Some secondary,Female,133243.5807
zaf,1996,28,Grade 12/Std 10,Male,74533.95943
zaf,1996,28,Grade 12/Std 10,Female,79845.10501
zaf,1996,28,Higher,Male,29648.60643
zaf,1996,28,Higher,Female,30499.61692
zaf,1996,28,Unspecified,Male,14796.96594
zaf,1996,28,Unspecified,Female,11589.66742
zaf,1996,28,Not applicable,Male,0
zaf,1996,28,Not applicable,Female,0
zaf,1996,28,Total,Male,338983.9779
zaf,1996,28,Total,Female,368993.9655
zaf,1996,29,No schooling,Male,23724.00284
zaf,1996,29,No schooling,Female,28994.57526
zaf,1996,29,Some primary,Male,41868.38486
zaf,1996,29,Some primary,Female,40943.02667
zaf,1996,29,Complete primary,Male,20441.92593
zaf,1996,29,Complete primary,Female,23839.88878
zaf,1996,29,Some secondary,Male,95474.64831
zaf,1996,29,Some secondary,Female,109995.6741
zaf,1996,29,Grade 12/Std 10,Male,61096.77535
zaf,1996,29,Grade 12/Std 10,Female,64807.34388
zaf,1996,29,Higher,Male,28116.66737
zaf,1996,29,Higher,Female,28442.36913
zaf,1996,29,Unspecified,Male,12418.29073
zaf,1996,29,Unspecified,Female,9766.41212
zaf,1996,29,Not applicable,Male,0
zaf,1996,29,Not applicable,Female,0
zaf,1996,29,Total,Male,283140.6954
zaf,1996,29,Total,Female,306789.29
zaf,1996,30,No schooling,Male,32909.29348
zaf,1996,30,No schooling,Female,43002.11682
zaf,1996,30,Some primary,Male,50447.48667
zaf,1996,30,Some primary,Female,53506.11597
zaf,1996,30,Complete primary,Male,24132.15954
zaf,1996,30,Complete primary,Female,28887.46781
zaf,1996,30,Some secondary,Male,104026.4108
zaf,1996,30,Some secondary,Female,121993.8714
zaf,1996,30,Grade 12/Std 10,Male,59865.7161
zaf,1996,30,Grade 12/Std 10,Female,64235.70213
zaf,1996,30,Higher,Male,29228.5625
zaf,1996,30,Higher,Female,29613.85541
zaf,1996,30,Unspecified,Male,14367.97637
zaf,1996,30,Unspecified,Female,11800.82216
zaf,1996,30,Not applicable,Male,0
zaf,1996,30,Not applicable,Female,0
zaf,1996,30,Total,Male,314977.6054
zaf,1996,30,Total,Female,353039.9517
zaf,1996,31,No schooling,Male,28938.02817
zaf,1996,31,No schooling,Female,35644.80787
zaf,1996,31,Some primary,Male,47756.83608
zaf,1996,31,Some primary,Female,49266.41816
zaf,1996,31,Complete primary,Male,24413.5524
zaf,1996,31,Complete primary,Female,28448.79497
zaf,1996,31,Some secondary,Male,97493.33018
zaf,1996,31,Some secondary,Female,110647.8888
zaf,1996,31,Grade 12/Std 10,Male,50553.25829
zaf,1996,31,Grade 12/Std 10,Female,54052.34742
zaf,1996,31,Higher,Male,26921.98598
zaf,1996,31,Higher,Female,26362.59792
zaf,1996,31,Unspecified,Male,12841.99065
zaf,1996,31,Unspecified,Female,9983.9165
zaf,1996,31,Not applicable,Male,0
zaf,1996,31,Not applicable,Female,0
zaf,1996,31,Total,Male,288918.9818
zaf,1996,31,Total,Female,314406.7717
zaf,1996,32,No schooling,Male,32067.07847
zaf,1996,32,No schooling,Female,41731.61192
zaf,1996,32,Some primary,Male,51494.25524
zaf,1996,32,Some primary,Female,56503.85791
zaf,1996,32,Complete primary,Male,25380.20306
zaf,1996,32,Complete primary,Female,30282.17053
zaf,1996,32,Some secondary,Male,101402.2969
zaf,1996,32,Some secondary,Female,116539.0991
zaf,1996,32,Grade 12/Std 10,Male,48443.06302
zaf,1996,32,Grade 12/Std 10,Female,52137.56744
zaf,1996,32,Higher,Male,27958.63736
zaf,1996,32,Higher,Female,26524.64532
zaf,1996,32,Unspecified,Male,14033.38534
zaf,1996,32,Unspecified,Female,10632.64864
zaf,1996,32,Not applicable,Male,0
zaf,1996,32,Not applicable,Female,0
zaf,1996,32,Total,Male,300778.9194
zaf,1996,32,Total,Female,334351.6009
zaf,1996,33,No schooling,Male,30621.11827
zaf,1996,33,No schooling,Female,40323.20455
zaf,1996,33,Some primary,Male,49544.06784
zaf,1996,33,Some primary,Female,52787.93464
zaf,1996,33,Complete primary,Male,24460.39172
zaf,1996,33,Complete primary,Female,28328.1012
zaf,1996,33,Some secondary,Male,94067.47235
zaf,1996,33,Some secondary,Female,105200.1546
zaf,1996,33,Grade 12/Std 10,Male,42286.55403
zaf,1996,33,Grade 12/Std 10,Female,46031.00567
zaf,1996,33,Higher,Male,26502.31174
zaf,1996,33,Higher,Female,24485.95009
zaf,1996,33,Unspecified,Male,13202.50922
zaf,1996,33,Unspecified,Female,9704.46216
zaf,1996,33,Not applicable,Male,0
zaf,1996,33,Not applicable,Female,0
zaf,1996,33,Total,Male,280684.4252
zaf,1996,33,Total,Female,306860.8129
zaf,1996,34,No schooling,Male,32271.73073
