geo,under_five_mortality_from_ihme_per_1000_born,time
mdv,78.6,1994
mdv,73.0,1995
mdv,67.7,1996
mdv,62.9,1997
mdv,58.5,1998
mdv,54.4,1999
mdv,50.5,2000
mdv,46.9,2001
mdv,43.2,2002
mdv,39.8,2003
mdv,36.8,2004
mdv,34.1,2005
mdv,31.5,2006
mdv,29.2,2007
mdv,27.0,2008
mdv,24.9,2009
mdv,23.1,2010
mdv,21.3,2011
mdv,19.7,2012
mdv,18.3,2013
mdv,16.9,2014
mdv,15.6,2015
mli,367.3,1970
mli,360.0,1971
mli,353.2,1972
mli,346.4,1973
mli,339.9,1974
mli,332.7,1975
mli,325.7,1976
mli,318.3,1977
mli,312.0,1978
mli,305.4,1979
mli,298.8,1980
mli,292.7,1981
mli,286.8,1982
mli,280.7,1983
mli,273.7,1984
mli,267.9,1985
mli,263.0,1986
mli,258.5,1987
mli,254.3,1988
mli,250.1,1989
mli,246.3,1990
mli,241.7,1991
mli,238.1,1992
mli,234.3,1993
mli,230.6,1994
mli,227.0,1995
mli,223.5,1996
mli,220.1,1997
mli,216.8,1998
mli,213.6,1999
mli,209.9,2000
mli,205.8,2001
mli,202.2,2002
mli,198.3,2003
mli,194.7,2004
mli,191.3,2005
mli,187.7,2006
mli,184.2,2007
mli,180.9,2008
mli,177.8,2009
mli,174.9,2010
mli,172.0,2011
mli,169.2,2012
mli,166.3,2013
mli,163.4,2014
mli,160.6,2015
mlt,26.8,1970
mlt,25.7,1971
mlt,24.6,1972
mlt,23.5,1973
mlt,22.4,1974
mlt,21.4,1975
mlt,20.5,1976
mlt,19.6,1977
