blood_pressure_sbp_women_mmhg,geo,time
129.9,com,2000
130.1,com,2001
130.3,com,2002
130.6,com,2003
130.9,com,2004
131.2,com,2005
131.5,com,2006
131.8,com,2007
132.1,com,2008
129.7,cod,1980
129.6,cod,1981
129.5,cod,1982
129.4,cod,1983
129.4,cod,1984
129.3,cod,1985
129.3,cod,1986
129.3,cod,1987
129.3,cod,1988
129.3,cod,1989
129.3,cod,1990
129.3,cod,1991
129.2,cod,1992
129.1,cod,1993
129.0,cod,1994
128.8,cod,1995
128.6,cod,1996
128.4,cod,1997
128.3,cod,1998
128.2,cod,1999
128.1,cod,2000
128.1,cod,2001
128.1,cod,2002
128.3,cod,2003
128.4,cod,2004
128.6,cod,2005
128.9,cod,2006
129.1,cod,2007
129.4,cod,2008
132.7,cog,1980
132.9,cog,1981
133.1,cog,1982
133.2,cog,1983
133.3,cog,1984
133.3,cog,1985
133.3,cog,1986
133.3,cog,1987
133.2,cog,1988
133.1,cog,1989
133.0,cog,1990
132.9,cog,1991
132.7,cog,1992
132.5,cog,1993
132.4,cog,1994
132.2,cog,1995
132.1,cog,1996
132.1,cog,1997
132.0,cog,1998
131.9,cog,1999
131.9,cog,2000
131.8,cog,2001
131.8,cog,2002
131.8,cog,2003
131.7,cog,2004
131.7,cog,2005
131.8,cog,2006
131.7,cog,2007
131.7,cog,2008
124.7,cok,1980
125.1,cok,1981
125.5,cok,1982
125.9,cok,1983
126.2,cok,1984
126.5,cok,1985
126.7,cok,1986
126.9,cok,1987
127.0,cok,1988
127.1,cok,1989
127.1,cok,1990
127.2,cok,1991
127.2,cok,1992
127.3,cok,1993
127.3,cok,1994
127.3,cok,1995
127.3,cok,1996
127.2,cok,1997
127.2,cok,1998
127.2,cok,1999
127.2,cok,2000
127.2,cok,2001
127.1,cok,2002
127.1,cok,2003
127.0,cok,2004
126.9,cok,2005
126.8,cok,2006
126.7,cok,2007
126.5,cok,2008
125.3,cri,1980
125.1,cri,1981
124.8,cri,1982
124.6,cri,1983
124.3,cri,1984
124.1,cri,1985
123.9,cri,1986
123.8,cri,1987
123.6,cri,1988
123.5,cri,1989
123.4,cri,1990
123.4,cri,1991
123.3,cri,1992
123.2,cri,1993
123.0,cri,1994
122.8,cri,1995
122.5,cri,1996
122.3,cri,1997
122.1,cri,1998
122.0,cri,1999
121.9,cri,2000
121.8,cri,2001
121.7,cri,2002
121.6,cri,2003
121.5,cri,2004
121.5,cri,2005
121.4,cri,2006
121.4,cri,2007
121.3,cri,2008
130.3,civ,1980
130.4,civ,1981
130.4,civ,1982
130.4,civ,1983
130.4,civ,1984
130.4,civ,1985
130.4,civ,1986
130.4,civ,1987
130.4,civ,1988
130.5,civ,1989
130.5,civ,1990
130.5,civ,1991
130.5,civ,1992
130.5,civ,1993
130.5,civ,1994
130.5,civ,1995
130.5,civ,1996
130.5,civ,1997
130.6,civ,1998
130.6,civ,1999
130.7,civ,2000
130.7,civ,2001
130.8,civ,2002
130.9,civ,2003
131.0,civ,2004
131.1,civ,2005
131.3,civ,2006
131.4,civ,2007
131.5,civ,2008
136.2,hrv,1980
136.1,hrv,1981
135.9,hrv,1982
135.7,hrv,1983
135.5,hrv,1984
135.3,hrv,1985
135.0,hrv,1986
134.8,hrv,1987
134.6,hrv,1988
134.4,hrv,1989
134.1,hrv,1990
133.8,hrv,1991
133.5,hrv,1992
133.1,hrv,1993
132.8,hrv,1994
132.6,hrv,1995
132.4,hrv,1996
132.2,hrv,1997
132.1,hrv,1998
131.9,hrv,1999
131.7,hrv,2000
131.6,hrv,2001
131.4,hrv,2002
131.3,hrv,2003
131.1,hrv,2004
130.9,hrv,2005
130.7,hrv,2006
130.6,hrv,2007
130.4,hrv,2008
126.5,cub,1980
126.5,cub,1981
126.5,cub,1982
126.5,cub,1983
126.5,cub,1984
126.5,cub,1985
126.5,cub,1986
126.5,cub,1987
126.4,cub,1988
126.3,cub,1989
126.2,cub,1990
126.1,cub,1991
126.0,cub,1992
125.8,cub,1993
125.7,cub,1994
125.5,cub,1995
125.4,cub,1996
125.4,cub,1997
125.3,cub,1998
125.3,cub,1999
125.4,cub,2000
125.5,cub,2001
125.5,cub,2002
125.6,cub,2003
125.8,cub,2004
125.9,cub,2005
125.9,cub,2006
126.0,cub,2007
126.1,cub,2008
130.5,cyp,1980
130.4,cyp,1981
130.2,cyp,1982
130.1,cyp,1983
129.8,cyp,1984
129.6,cyp,1985
129.4,cyp,1986
129.1,cyp,1987
128.9,cyp,1988
128.6,cyp,1989
128.4,cyp,1990
