geo,all_forms_of_tb_detection_rate_percent,time
kgz,89,2006
kgz,88,2007
lao,12,1995
lao,17,1996
lao,23,1997
lao,25,1998
lao,28,1999
lao,26,2000
lao,27,2001
lao,30,2002
lao,31,2003
lao,35,2004
lao,42,2005
lao,44,2006
lao,43,2007
lva,95,1995
lva,91,1996
lva,92,1997
lva,89,1998
lva,82,1999
lva,86,2000
lva,89,2001
lva,83,2002
lva,87,2003
lva,87,2004
lva,86,2005
lva,86,2006
lva,89,2007
lbn,61,1995
lbn,56,1996
lbn,55,1997
lbn,60,1998
lbn,61,1999
lbn,56,2000
lbn,58,2001
lbn,57,2002
lbn,53,2003
lbn,58,2004
lbn,58,2005
lbn,51,2006
lbn,62,2007
lso,84,1995
lso,65,1996
lso,71,1997
lso,68,1998
lso,81,2000
lso,82,2002
lso,93,2003
lso,85,2004
lso,82,2005
lso,90,2006
lso,17,2007
lbr,30,1995
lbr,16,1996
lbr,28,1998
lbr,20,2000
lbr,22,2001
lbr,42,2002
lbr,30,2003
lbr,49,2004
lbr,37,2005
lbr,45,2006
lby,108,1995
lby,97,1996
lby,73,1998
lby,134,1999
lby,112,2000
lby,156,2002
lby,168,2003
lby,149,2004
lby,193,2005
lby,188,2006
lby,200,2007
ltu,94,1995
ltu,95,1996
ltu,98,1997
ltu,97,1998
ltu,91,1999
ltu,87,2000
ltu,87,2001
ltu,83,2002
ltu,97,2003
ltu,91,2004
ltu,97,2005
ltu,94,2006
ltu,86,2007
lux,58,1996
lux,55,1997
lux,62,1998
lux,5,1999
lux,64,2000
lux,51,2001
lux,51,2002
lux,92,2003
lux,54,2004
lux,64,2005
lux,58,2006
lux,68,2007
mdg,41,1995
mdg,42,1996
mdg,43,1998
mdg,42,2001
mdg,41,2002
mdg,45,2003
mdg,44,2004
mdg,40,2005
mdg,44,2006
mdg,42,2007
mwi,49,1990
mwi,51,1991
mwi,45,1992
mwi,49,1993
mwi,51,1994
mwi,47,1995
mwi,50,1996
mwi,47,1997
mwi,49,1998
mwi,50,1999
mwi,46,2000
mwi,51,2001
mwi,47,2002
mwi,48,2003
mwi,50,2004
mwi,47,2005
mwi,48,2006
mwi,49,2007
mys,50,1995
mys,53,1996
mys,55,1997
mys,57,1998
mys,60,1999
mys,59,2000
mys,58,2001
mys,55,2002
mys,58,2003
mys,54,2004
mys,56,2005
mys,58,2006
mys,57,2007
mdv,93,1995
mdv,91,1996
mdv,77,1997
mdv,82,1998
mdv,75,1999
mdv,66,2000
mdv,72,2001
mdv,69,2002
mdv,79,2003
mdv,70,2004
mdv,76,2005
mdv,64,2006
mdv,88,2007
mli,12,1995
mli,13,1996
mli,18,1997
mli,14,1998
mli,14,1999
mli,13,2000
mli,13,2002
mli,13,2003
mli,13,2004
mli,12,2005
mli,13,2006
mli,13,2007
mlt,34,1995
mlt,88,1996
mlt,35,1997
mlt,54,1998
mlt,78,1999
mlt,59,2000
mlt,61,2001
mlt,91,2002
mlt,24,2003
mlt,72,2004
mlt,84,2005
mlt,122,2006
mlt,152,2007
mrt,60,1995
mrt,58,1997
mrt,31,1998
mrt,50,1999
mrt,40,2000
mrt,36,2004
mrt,22,2005
mrt,26,2006
mrt,28,2007
mus,45,1995
mus,45,1998
mus,60,1999
mus,52,2000
mus,41,2001
mus,48,2002
mus,46,2003
mus,47,2004
mus,43,2005
mus,39,2006
mus,36,2007
mex,28,1995
mex,28,1996
mex,64,1997
mex,47,1998
mex,45,1999
mex,49,2000
mex,61,2001
mex,55,2002
mex,61,2003
mex,57,2004
mex,75,2005
mex,76,2006
mex,83,2007
fsm,64,1995
fsm,61,1996
fsm,66,1997
fsm,75,1998
fsm,64,2000
fsm,72,2001
fsm,97,2002
fsm,79,2003
fsm,94,2004
fsm,79,2005
fsm,90,2006
fsm,127,2007
mng,60,1995
mng,79,1996
mng,69,1997
mng,56,1998
mng,64,1999
mng,59,2000
mng,67,2001
mng,72,2002
mng,73,2003
mng,83,2004
mng,83,2005
mng,89,2006
mng,81,2007
mar,86,1995
mar,93,1996
mar,89,1997
mar,87,1998
mar,91,1999
mar,89,2000
mar,89,2001
mar,91,2002
mar,87,2003
mar,86,2004
mar,89,2005
mar,90,2006
mar,89,2007
moz,41,1995
moz,39,1996
moz,36,1997
moz,34,1998
moz,32,1999
moz,28,2000
moz,28,2001
moz,29,2002
moz,31,2003
moz,32,2004
moz,34,2005
moz,36,2006
moz,39,2007
mmr,1,1994
mmr,22,1995
mmr,27,1996
mmr,20,1997
mmr,17,1998
mmr,23,1999
mmr,36,2000
mmr,50,2001
mmr,67,2002
mmr,88,2003
mmr,113,2004
mmr,125,2005
mmr,142,2006
mmr,149,2007
nam,19,1995
nam,109,1996
nam,103,1997
nam,103,1998
nam,83,1999
nam,81,2000
nam,89,2001
nam,83,2002
nam,86,2003
nam,88,2004
nam,86,2005
nam,85,2006
nam,87,2007
nru,135,1999
nru,90,2000
nru,90,2001
nru,90,2002
nru,90,2003
nru,90,2005
nru,90,2006
nru,90,2007
npl,40,1995
npl,46,1996
npl,47,1997
npl,47,1998
npl,53,1999
npl,57,2000
npl,57,2001
npl,58,2002
npl,59,2003
npl,61,2004
npl,64,2005
npl,62,2006
npl,63,2007
nld,156,1995
nld,99,1996
nld,91,1997
nld,76,1998
nld,94,1999
nld,89,2000
nld,103,2001
nld,99,2002
nld,97,2003
nld,102,2004
nld,88,2005
nld,79,2006
nld,74,2007
ant,25,1996
ant,74,1997
ant,39,1998
ant,24,1999
ant,32,2000
ant,59,2001
ant,99,2002
ant,62,2003
ant,76,2004
ant,35,2006
ncl,115,1995
ncl,171,1996
ncl,83,1999
ncl,61,2000
ncl,69,2001
ncl,89,2002
ncl,85,2003
ncl,87,2004
ncl,88,2005
ncl,77,2006
ncl,82,2007
nzl,79,1995
nzl,88,1996
nzl,95,1997
nzl,86,1998
nzl,89,1999
nzl,82,2000
nzl,80,2001
nzl,85,2002
nzl,96,2003
nzl,93,2004
nzl,87,2005
nzl,100,2006
nzl,90,2007
nic,67,1995
nic,73,1996
nic,69,1997
nic,66,1998
nic,68,1999
nic,65,2000
nic,68,2001
nic,60,2002
nic,69,2003
nic,70,2004
nic,62,2005
nic,66,2006
nic,79,2007
ner,15,1995
ner,27,1997
ner,32,1998
ner,23,1999
ner,26,2000
ner,27,2001
ner,26,2002
ner,34,2003
ner,30,2004
ner,34,2005
ner,34,2006
ner,35,2007
nga,6,1995
nga,8,1996
nga,7,1997
nga,7,1998
nga,7,1999
nga,7,2000
nga,12,2001
nga,9,2002
nga,10,2003
nga,12,2004
nga,13,2005
nga,15,2006
nga,17,2007
niu,84,1995
niu,90,1996
niu,0,1997
niu,180,1999
niu,0,2000
niu,0,2001
niu,45,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
mnp,90,1995
mnp,90,1996
mnp,90,1997
mnp,90,1998
mnp,90,1999
mnp,90,2000
mnp,90,2001
mnp,90,2002
mnp,90,2003
mnp,90,2004
mnp,90,2005
mnp,90,2006
mnp,90,2007
nor,60,1995
nor,62,1996
nor,61,1997
nor,70,1998
nor,71,1999
nor,75,2000
nor,98,2001
nor,86,2002
nor,118,2003
nor,104,2004
nor,101,2005
nor,105,2006
nor,108,2007
omn,91,1995
omn,90,1996
omn,91,1997
omn,90,1998
omn,85,1999
omn,106,2000
omn,93,2001
omn,100,2002
omn,86,2003
omn,103,2004
omn,84,2005
omn,105,2006
omn,97,2007
pak,4,1995
pak,2,1996
pak,36,1998
pak,8,1999
pak,4,2000
pak,12,2001
pak,19,2002
pak,25,2003
pak,33,2004
pak,49,2005
pak,59,2006
pak,76,2007
plw,90,1995
plw,90,1996
plw,90,1997
plw,90,1999
plw,90,2002
plw,90,2003
plw,90,2004
plw,90,2005
plw,90,2006
plw,90,2007
pan,95,1995
pan,75,1996
pan,74,1997
pan,110,1998
pan,101,1999
pan,81,2000
pan,117,2001
pan,104,2002
pan,105,2003
pan,109,2004
pan,103,2005
pan,101,2006
pan,97,2007
png,66,1995
png,25,1996
png,62,1997
png,88,1998
png,99,1999
png,71,2000
png,84,2001
png,72,2002
png,79,2003
png,76,2004
png,73,2005
png,81,2006
png,94,2007
pry,61,1995
pry,71,1996
pry,64,1997
pry,60,1998
pry,68,1999
pry,59,2000
pry,63,2001
pry,61,2002
pry,63,2003
pry,66,2004
pry,60,2005
pry,68,2006
pry,61,2007
per,79,1995
per,68,1996
per,69,1997
per,76,1998
per,72,1999
per,73,2000
per,73,2001
per,74,2002
per,67,2003
per,74,2004
per,79,2005
per,85,2006
per,84,2007
phl,95,1995
phl,97,1996
phl,75,1997
phl,58,1998
phl,54,1999
phl,48,2000
phl,40,2001
phl,46,2002
phl,52,2003
phl,50,2004
phl,52,2005
phl,56,2006
phl,54,2007
pol,76,1995
pol,78,1996
pol,77,1997
pol,80,1998
pol,72,1999
pol,74,2000
pol,74,2001
pol,77,2002
pol,77,2003
pol,77,2004
pol,81,2005
pol,77,2006
pol,79,2007
prt,90,1995
prt,88,1996
prt,87,1997
prt,94,1998
prt,91,1999
prt,86,2000
prt,89,2001
prt,94,2002
prt,87,2003
prt,90,2004
prt,88,2005
prt,91,2006
prt,89,2007
pri,61,1993
pri,64,1994
pri,61,1995
pri,53,1996
pri,66,1997
pri,57,1998
pri,64,1999
pri,65,2000
pri,53,2001
pri,66,2002
pri,58,2003
pri,65,2004
pri,60,2005
pri,64,2006
pri,61,2007
qat,76,1995
qat,67,1996
qat,59,1997
qat,71,1998
qat,66,1999
qat,69,2000
qat,68,2001
qat,67,2002
qat,67,2003
qat,63,2004
qat,70,2005
qat,64,2006
qat,68,2007
kor,70,1995
kor,69,1996
kor,61,1997
kor,75,1998
kor,65,1999
kor,58,2000
kor,98,2001
kor,82,2002
kor,80,2003
kor,79,2004
kor,86,2005
kor,84,2006
kor,80,2007
mda,70,1995
mda,65,1996
mda,59,1997
mda,49,1998
mda,48,1999
mda,45,2000
mda,59,2001
mda,20,2002
mda,22,2003
mda,74,2004
mda,83,2005
mda,82,2006
mda,78,2007
rou,88,1995
rou,88,1996
rou,84,1997
rou,83,1998
rou,79,1999
rou,79,2000
rou,82,2001
rou,83,2002
rou,79,2003
rou,82,2004
rou,77,2005
rou,77,2006
rou,78,2007
rus,78,1995
rus,82,1996
rus,79,1997
rus,78,1998
rus,79,1999
rus,81,2000
rus,78,2001
rus,78,2002
rus,78,2003
rus,78,2004
rus,78,2005
rus,76,2006
rus,75,2007
rwa,21,1995
rwa,22,1996
rwa,26,1997
rwa,29,1998
rwa,26,1999
rwa,20,2000
rwa,16,2001
rwa,16,2002
