child_mortality_0_5_year_olds_dying_per_1000_born,geo,time
77.78,arg,1959
73.2,arg,1960
68.9,arg,1961
64.84,arg,1962
61.02,arg,1963
57.43,arg,1964
57.43,arg,1965
58.63,arg,1966
58.52,arg,1967
58.32,arg,1968
73.2,arg,1969
72.4,arg,1970
71.5,arg,1971
70.4,arg,1972
68.8,arg,1973
66.6,arg,1974
63.8,arg,1975
60.2,arg,1976
55.9,arg,1977
51.4,arg,1978
47.0,arg,1979
43.1,arg,1980
40.0,arg,1981
37.6,arg,1982
35.8,arg,1983
34.4,arg,1984
33.1,arg,1985
31.9,arg,1986
30.8,arg,1987
29.7,arg,1988
28.6,arg,1989
27.6,arg,1990
26.6,arg,1991
25.7,arg,1992
24.8,arg,1993
24.1,arg,1994
23.4,arg,1995
22.7,arg,1996
22.0,arg,1997
21.4,arg,1998
20.8,arg,1999
20.2,arg,2000
19.7,arg,2001
19.2,arg,2002
18.6,arg,2003
17.9,arg,2004
17.1,arg,2005
16.4,arg,2006
15.8,arg,2007
15.4,arg,2008
15.0,arg,2009
14.6,arg,2010
14.2,arg,2011
13.8,arg,2012
13.3,arg,2013
12.9,arg,2014
12.5,arg,2015
371.2,arm,1800
370.7,arm,1801
370.2,arm,1802
369.8,arm,1803
369.3,arm,1804
368.8,arm,1805
368.3,arm,1806
367.8,arm,1807
367.3,arm,1808
366.9,arm,1809
366.4,arm,1810
365.9,arm,1811
365.4,arm,1812
364.9,arm,1813
364.5,arm,1814
364.0,arm,1815
363.5,arm,1816
363.0,arm,1817
362.6,arm,1818
362.1,arm,1819
361.6,arm,1820
361.1,arm,1821
360.7,arm,1822
360.2,arm,1823
359.7,arm,1824
359.3,arm,1825
358.8,arm,1826
358.3,arm,1827
357.9,arm,1828
357.4,arm,1829
356.9,arm,1830
356.4,arm,1831
356.0,arm,1832
355.5,arm,1833
355.1,arm,1834
354.6,arm,1835
354.1,arm,1836
353.7,arm,1837
353.2,arm,1838
352.7,arm,1839
352.3,arm,1840
351.8,arm,1841
351.4,arm,1842
350.9,arm,1843
350.4,arm,1844
350.0,arm,1845
349.5,arm,1846
349.1,arm,1847
348.6,arm,1848
348.2,arm,1849
347.7,arm,1850
347.2,arm,1851
346.8,arm,1852
346.3,arm,1853
345.9,arm,1854
345.4,arm,1855
345.0,arm,1856
344.5,arm,1857
344.1,arm,1858
343.6,arm,1859
343.2,arm,1860
342.7,arm,1861
