geo,population_aged_15_19_years_male_percent,time
mrt,11.2,2000
mrt,10.99,2005
mrt,10.73,2010
mrt,10.61,2015
mrt,10.6,2020
mrt,10.52,2025
mrt,10.22,2030
mrt,9.619,2035
mrt,9.117,2040
mrt,8.779,2045
mrt,8.546,2050
mus,10.53,1950
mus,10.21,1955
mus,10.33,1960
mus,10.61,1965
mus,11.65,1970
mus,12.05,1975
mus,11.72,1980
mus,11.86,1985
mus,10.63,1990
mus,9.397,1995
mus,8.725,2000
mus,7.903,2005
mus,8.709,2010
mus,7.879,2015
mus,7.249,2020
mus,6.55,2025
mus,6.667,2030
mus,6.763,2035
mus,6.619,2040
mus,6.358,2045
mus,6.223,2050
myt,12.5,1950
myt,9.091,1955
myt,7.692,1960
myt,11.76,1965
myt,10.53,1970
myt,8.333,1975
myt,10.34,1980
myt,11.11,1985
myt,10.87,1990
myt,11.29,1995
myt,10.67,2000
myt,11.49,2005
myt,12.0,2010
myt,11.61,2015
myt,10.4,2020
myt,9.42,2025
myt,8.725,2030
myt,8.642,2035
myt,8.824,2040
myt,7.692,2045
myt,7.407,2050
mex,10.09,1950
mex,9.666,1955
mex,9.975,1960
mex,9.894,1965
mex,10.8,1970
mex,10.87,1975
mex,10.97,1980
mex,11.25,1985
mex,12.09,1990
mex,11.23,1995
mex,10.31,2000
mex,9.597,2005
mex,9.518,2010
mex,8.896,2015
mex,8.298,2020
mex,7.759,2025
mex,7.163,2030
mex,6.543,2035
mex,6.251,2040
mex,6.139,2045
mex,5.942,2050
fsm,12.5,1950
fsm,10.53,1955
fsm,9.091,1960
fsm,7.407,1965
fsm,12.5,1970
fsm,12.5,1975
fsm,10.53,1980
fsm,11.11,1985
fsm,12.0,1990
fsm,12.73,1995
fsm,13.21,2000
fsm,12.73,2005
fsm,12.96,2010
fsm,12.07,2015
fsm,11.48,2020
fsm,9.836,2025
fsm,9.231,2030
fsm,9.231,2035
fsm,9.231,2040
fsm,9.091,2045
fsm,7.463,2050
mda,9.973,1950
mda,10.02,1955
mda,7.479,1960
mda,6.795,1965
mda,9.935,1970
mda,11.14,1975
mda,9.974,1980
mda,8.346,1985
mda,8.221,1990
mda,8.916,1995
mda,9.444,2000
mda,10.58,2005
mda,8.608,2010
mda,5.911,2015
mda,5.115,2020
mda,6.526,2025
mda,6.915,2030
mda,6.745,2035
mda,6.009,2040
mda,5.391,2045
mda,5.3,2050
mng,10.24,1950
mng,10.29,1955
mng,10.34,1960
mng,10.33,1965
mng,10.4,1970
mng,10.53,1975
mng,10.67,1980
mng,10.74,1985
mng,11.21,1990
mng,11.11,1995
mng,11.48,2000
mng,12.59,2005
mng,10.4,2010
mng,8.44,2015
mng,7.283,2020
mng,7.692,2025
mng,7.702,2030
mng,7.541,2035
mng,7.186,2040
mng,6.552,2045
mng,6.021,2050
mne,10.99,1950
mne,11.65,1955
mne,8.407,1960
mne,10.16,1965
mne,11.42,1970
mne,10.74,1975
mne,10.21,1980
mne,9.091,1985
mne,8.621,1990
mne,8.626,1995
mne,8.333,2000
mne,8.442,2005
mne,7.213,2010
mne,7.097,2015
mne,6.752,2020
mne,6.109,2025
mne,6.41,2030
mne,6.07,2035
mne,6.109,2040
mne,6.169,2045
mne,5.863,2050
mar,10.4,1950
mar,10.48,1955
mar,10.51,1960
mar,9.176,1965
mar,9.841,1970
mar,11.61,1975
mar,10.55,1980
mar,10.91,1985
mar,11.04,1990
mar,11.12,1995
mar,11.68,2000
mar,11.02,2005
mar,10.11,2010
mar,9.008,2015
mar,8.249,2020
mar,8.346,2025
mar,8.312,2030
mar,7.986,2035
mar,7.444,2040
mar,6.915,2045
mar,6.593,2050
moz,10.22,1950
moz,10.22,1955
moz,10.2,1960
moz,10.07,1965
moz,10.11,1970
moz,10.28,1975
moz,10.35,1980
moz,10.53,1985
moz,11.47,1990
moz,10.83,1995
moz,10.98,2000
moz,10.81,2005
moz,10.87,2010
moz,11.25,2015
moz,11.96,2020
moz,11.61,2025
moz,11.09,2030
moz,10.63,2035
moz,10.29,2040
moz,9.991,2045
moz,9.622,2050
mmr,10.17,1950
mmr,8.555,1955
mmr,8.107,1960
mmr,8.649,1965
mmr,10.69,1970
mmr,10.58,1975
mmr,10.43,1980
mmr,10.54,1985
mmr,11.1,1990
mmr,10.88,1995
mmr,10.95,2000
mmr,10.01,2005
mmr,9.178,2010
mmr,8.303,2015
mmr,8.153,2020
mmr,8.009,2025
mmr,7.788,2030
mmr,7.35,2035
mmr,6.886,2040
mmr,6.549,2045
mmr,6.358,2050
nam,9.959,1950
nam,9.398,1955
nam,9.764,1960
nam,10.09,1965
nam,10.18,1970
nam,10.09,1975
nam,10.34,1980
nam,10.91,1985
nam,11.43,1990
nam,11.36,1995
nam,11.21,2000
nam,11.53,2005
nam,11.63,2010
nam,10.72,2015
nam,10.16,2020
nam,9.979,2025
nam,9.594,2030
nam,9.383,2035
nam,9.075,2040
nam,8.616,2045
nam,8.259,2050
npl,10.84,1950
npl,10.85,1955
npl,10.71,1960
npl,9.705,1965
npl,10.13,1970
npl,10.28,1975
npl,10.35,1980
npl,10.44,1985
npl,10.67,1990
npl,10.88,1995
npl,11.04,2000
npl,11.17,2005
npl,11.48,2010
npl,11.42,2015
npl,10.48,2020
npl,9.335,2025
npl,8.958,2030
npl,8.881,2035
npl,8.616,2040
npl,8.126,2045
npl,7.629,2050
nld,8.214,1950
nld,7.768,1955
nld,8.17,1960
nld,9.881,1965
nld,8.743,1970
nld,8.801,1975
nld,9.141,1980
nld,8.79,1985
nld,7.44,1990
nld,6.192,1995
nld,6.021,2000
nld,6.271,2005
nld,6.345,2010
nld,6.224,2015
nld,6.218,2020
nld,5.75,2025
nld,5.532,2030
nld,5.603,2035
nld,5.802,2040
nld,5.882,2045
nld,5.847,2050
ant,9.259,1950
ant,8.333,1955
ant,9.091,1960
ant,10.96,1965
ant,11.39,1970
ant,12.2,1975
ant,12.05,1980
ant,10.23,1985
ant,8.602,1990
ant,7.692,1995
ant,7.143,2000
ant,6.742,2005
ant,7.447,2010
ant,6.316,2015
ant,6.122,2020
ant,6.122,2025
ant,5.208,2030
ant,5.208,2035
ant,5.263,2040
ant,4.348,2045
ant,4.598,2050
ncl,8.824,1950
ncl,8.333,1955
ncl,9.756,1960
ncl,8.696,1965
ncl,9.434,1970
ncl,10.45,1975
ncl,10.96,1980
ncl,11.39,1985
ncl,10.47,1990
ncl,9.0,1995
ncl,9.091,2000
ncl,9.483,2005
ncl,8.661,2010
ncl,8.824,2015
ncl,7.692,2020
ncl,7.237,2025
ncl,6.962,2030
ncl,6.79,2035
ncl,6.548,2040
ncl,6.358,2045
ncl,6.18,2050
nzl,7.083,1950
nzl,7.063,1955
nzl,7.886,1960
nzl,9.408,1965
nzl,9.517,1970
nzl,9.883,1975
nzl,10.24,1980
nzl,9.465,1985
nzl,8.737,1990
nzl,7.532,1995
nzl,7.361,2000
nzl,7.742,2005
nzl,7.718,2010
nzl,6.931,2015
nzl,6.615,2020
nzl,6.553,2025
nzl,6.48,2030
nzl,6.334,2035
nzl,6.129,2040
