geo,imports_unit_value_index_2000100,time
dom,84.83,1999
dom,100.0,2000
dom,92.62,2001
dom,93.24,2002
dom,80.46,2003
dom,83.22,2004
dom,104.1,2005
dom,128.4,2006
dom,143.4,2007
dom,169.8,2008
ecu,60.55,1980
ecu,60.36,1981
ecu,58.29,1982
ecu,39.97,1983
ecu,43.44,1984
ecu,47.48,1985
ecu,48.65,1986
ecu,60.51,1987
ecu,46.05,1988
ecu,49.85,1989
ecu,50.12,1990
ecu,64.47,1991
ecu,65.33,1992
ecu,68.86,1993
ecu,97.34,1994
ecu,111.6,1995
ecu,115.1,1996
ecu,133.2,1997
ecu,149.8,1998
ecu,81.08,1999
ecu,100.0,2000
ecu,144.1,2001
ecu,172.8,2002
ecu,180.1,2003
ecu,221.1,2004
ecu,276.4,2005
ecu,325.5,2006
ecu,364.5,2007
ecu,502.3,2008
egy,34.69,1980
egy,62.69,1981
egy,64.8,1982
egy,73.34,1983
egy,76.85,1984
egy,79.26,1985
egy,82.1,1986
egy,115.8,1987
egy,166.3,1988
egy,134.0,1989
egy,119.8,1990
egy,57.48,1991
egy,59.42,1992
egy,58.63,1993
egy,72.94,1994
egy,83.94,1995
egy,93.07,1996
egy,94.3,1997
egy,115.4,1998
egy,114.4,1999
egy,100.0,2000
egy,91.31,2001
egy,89.49,2002
egy,77.91,2003
egy,91.9,2004
egy,141.9,2005
egy,148.4,2006
egy,193.8,2007
egy,349.3,2008
slv,25.46,1980
slv,25.97,1981
slv,22.58,1982
slv,23.49,1983
slv,25.76,1984
slv,25.33,1985
slv,24.64,1986
slv,26.2,1987
slv,26.54,1988
slv,30.6,1989
slv,33.27,1990
slv,37.05,1991
slv,44.76,1992
slv,50.39,1993
slv,59.26,1994
slv,67.29,1995
slv,65.12,1996
slv,75.68,1997
slv,80.21,1998
slv,82.76,1999
slv,100.0,2000
slv,101.6,2001
slv,104.8,2002
slv,116.3,2003
slv,127.9,2004
slv,135.2,2005
slv,154.9,2006
slv,176.1,2007
slv,197.1,2008
gnq,5.826,1980
gnq,6.036,1981
gnq,6.773,1982
gnq,4.222,1983
gnq,3.889,1984
gnq,4.373,1985
gnq,11.47,1986
gnq,12.78,1987
gnq,13.58,1988
gnq,12.16,1989
gnq,13.52,1990
gnq,14.92,1991
gnq,12.43,1992
gnq,13.32,1993
gnq,8.2,1994
gnq,26.73,1995
gnq,64.75,1996
gnq,79.38,1997
gnq,70.29,1998
gnq,94.24,1999
gnq,100.0,2000
gnq,180.4,2001
gnq,112.5,2002
gnq,274.1,2003
gnq,347.5,2004
gnq,467.6,2005
gnq,581.2,2006
gnq,687.4,2007
gnq,718.7,2008
eri,96.21,1995
eri,117.3,1996
eri,111.4,1997
eri,107.8,1998
eri,108.2,1999
eri,100.0,2000
eri,89.71,2001
eri,114.1,2002
eri,91.83,2003
eri,101.8,2004
eri,105.0,2005
eri,105.0,2006
eri,108.2,2007
eri,112.4,2008
eth,62.4,1993
eth,81.88,1994
eth,90.76,1995
eth,111.0,1996
eth,88.23,1997
eth,120.2,1998
eth,121.9,1999
eth,100.0,2000
eth,143.3,2001
eth,128.6,2002
eth,167.9,2003
eth,244.7,2004
eth,327.1,2005
eth,380.8,2006
eth,460.3,2007
eth,687.9,2008
fji,68.13,1980
fji,76.52,1981
fji,61.7,1982
fji,58.7,1983
fji,54.52,1984
fji,53.51,1985
fji,52.68,1986
fji,45.91,1987
fji,55.95,1988
fji,70.13,1989
fji,91.36,1990
fji,79.01,1991
fji,76.38,1992
fji,87.27,1993
fji,100.4,1994
fji,104.2,1995
fji,115.3,1996
fji,112.7,1997
fji,84.3,1998
fji,109.0,1999
fji,100.0,2000
fji,103.5,2001
fji,105.8,2002
fji,141.3,2003
fji,168.9,2004
fji,187.7,2005
fji,210.5,2006
fji,210.3,2007
fji,262.4,2008
fra,76.43,1990
fra,74.31,1991
fra,69.3,1992
fra,66.26,1993
fra,73.68,1994
fra,87.95,1995
fra,89.72,1996
fra,87.85,1997
fra,93.73,1998
fra,94.91,1999
fra,100.0,2000
fra,103.5,2001
fra,106.7,2002
fra,127.0,2003
fra,153.3,2004
fra,165.1,2005
fra,183.1,2006
fra,210.1,2007
fra,236.3,2008
pyf,51.08,1980
pyf,50.96,1981
pyf,48.48,1982
pyf,49.78,1983
pyf,50.31,1984
pyf,51.22,1985
pyf,68.83,1986
pyf,77.32,1987
pyf,75.37,1988
pyf,73.73,1989
pyf,86.63,1990
pyf,85.31,1991
pyf,83.53,1992
pyf,78.71,1993
pyf,81.3,1994
pyf,94.07,1995
pyf,94.72,1996
pyf,87.24,1997
pyf,103.3,1998
pyf,86.49,1999
pyf,100.0,2000
pyf,99.43,2001
pyf,118.3,2002
pyf,146.3,2003
pyf,138.1,2004
