population_growth_annual_percent,geo,time
0.08751,cze,1983
0.06156,cze,1984
0.06682,cze,1985
0.04941,cze,1986
0.04921,cze,1987
0.07688,cze,1988
0.05592,cze,1989
-0.2678,cze,1990
-0.2401,cze,1991
0.1022,cze,1992
0.1039,cze,1993
0.03612,cze,1994
-0.06131,cze,1995
-0.1164,cze,1996
-0.1078,cze,1997
-0.09474,cze,1998
-0.1022,cze,1999
-0.1123,cze,2000
-0.3494,cze,2001
-0.3095,cze,2002
0.02458,cze,2003
0.08475,cze,2004
0.1937,cze,2005
0.3249,cze,2006
0.6312,cze,2007
0.8688,cze,2008
0.601,cze,2009
0.3105,cze,2010
0.2488,cze,2011
0.6653,dnk,1960
0.6981,dnk,1961
0.7785,dnk,1962
0.7877,dnk,1963
0.7992,dnk,1964
0.7792,dnk,1965
0.803,dnk,1966
0.7884,dnk,1967
0.6088,dnk,1968
0.553,dnk,1969
0.7514,dnk,1970
0.6949,dnk,1971
0.572,dnk,1972
0.6045,dnk,1973
0.4656,dnk,1974
0.2883,dnk,1975
0.2514,dnk,1976
0.3114,dnk,1977
0.3106,dnk,1978
0.2456,dnk,1979
0.1216,dnk,1980
-0.02841,dnk,1981
-0.07348,dnk,1982
-0.06867,dnk,1983
-0.05238,dnk,1984
0.04053,dnk,1985
0.1337,dnk,1986
0.1267,dnk,1987
0.04859,dnk,1988
0.05999,dnk,1989
0.1625,dnk,1990
0.2595,dnk,1991
0.3307,dnk,1992
0.3332,dnk,1993
0.3377,dnk,1994
0.521,dnk,1995
0.5659,dnk,1996
0.4156,dnk,1997
0.3632,dnk,1998
0.3309,dnk,1999
0.3342,dnk,2000
0.3583,dnk,2001
0.3195,dnk,2002
0.272,dnk,2003
0.2584,dnk,2004
0.2755,dnk,2005
0.3286,dnk,2006
0.4435,dnk,2007
0.5875,dnk,2008
0.5351,dnk,2009
0.4442,dnk,2010
0.4733,dnk,2011
5.009,dji,1960
5.697,dji,1961
6.254,dji,1962
6.587,dji,1963
6.679,dji,1964
6.628,dji,1965
6.616,dji,1966
6.643,dji,1967
6.583,dji,1968
6.437,dji,1969
6.281,dji,1970
5.943,dji,1971
5.723,dji,1972
6.036,dji,1973
6.929,dji,1974
7.991,dji,1975
9.111,dji,1976
9.666,dji,1977
9.215,dji,1978
7.796,dji,1979
5.998,dji,1980
4.082,dji,1981
2.683,dji,1982
2.294,dji,1983
3.178,dji,1984
4.778,dji,1985
6.515,dji,1986
7.568,dji,1987
7.604,dji,1988
6.565,dji,1989
5.001,dji,1990
3.384,dji,1991
2.176,dji,1992
1.519,dji,1993
1.592,dji,1994
2.149,dji,1995
2.816,dji,1996
3.255,dji,1997
3.423,dji,1998
3.232,dji,1999
2.821,dji,2000
2.386,dji,2001
2.07,dji,2002
1.859,dji,2003
1.792,dji,2004
1.826,dji,2005
1.877,dji,2006
1.897,dji,2007
1.909,dji,2008
1.905,dji,2009
1.889,dji,2010
1.878,dji,2011
1.841,dma,1960
1.684,dma,1961
1.543,dma,1962
1.497,dma,1963
1.58,dma,1964
1.732,dma,1965
1.929,dma,1966
2.056,dma,1967
1.99,dma,1968
1.682,dma,1969
1.223,dma,1970
0.6884,dma,1971
0.2373,dma,1972
0.01115,dma,1973
0.09195,dma,1974
0.3905,dma,1975
0.7683,dma,1976
1.046,dma,1977
1.122,dma,1978
