geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
slb,625,1990
slb,593,1991
slb,563,1992
slb,534,1993
slb,506,1994
slb,480,1995
slb,380,1996
slb,354,1997
slb,339,1998
slb,322,1999
slb,300,2000
slb,286,2001
slb,277,2002
slb,254,2003
slb,229,2004
slb,204,2005
slb,197,2006
slb,180,2007
som,597,1990
som,587,1991
som,577,1992
som,566,1993
som,555,1994
som,543,1995
som,465,1996
som,444,1997
som,446,1998
som,431,1999
som,414,2000
som,398,2001
som,391,2002
som,362,2003
som,334,2004
som,325,2005
som,341,2006
som,352,2007
zaf,769,1990
zaf,726,1991
zaf,676,1992
zaf,620,1993
zaf,562,1994
zaf,502,1995
zaf,480,1996
zaf,466,1997
zaf,465,1998
zaf,426,1999
zaf,515,2000
zaf,581,2001
zaf,586,2002
zaf,649,2003
zaf,676,2004
zaf,707,2005
zaf,690,2006
