geo,medical_doctors_per_1000_people,time
ecu,1.325,1996
ecu,1.696,1997
ecu,1.397,1999
ecu,1.48,2000
egy,0.3913,1960
egy,0.4348,1965
egy,0.527,1970
egy,0.5359,1975
egy,1.065,1980
egy,1.364,1981
egy,1.365,1982
egy,1.304,1986
egy,0.7595,1990
egy,1.84,1994
egy,2.02,1996
egy,1.6,1997
egy,2.118,2000
egy,2.43,2005
egy,2.83,2009
slv,0.1874,1960
slv,0.2432,1970
slv,0.242,1975
slv,0.3256,1980
slv,0.3865,1981
slv,0.3517,1984
slv,0.6473,1988
slv,0.84,1990
slv,0.6601,1993
slv,0.91,1995
slv,1.071,1997
slv,1.211,2000
slv,1.24,2002
slv,1.5,2006
slv,1.596,2008
gnq,0.1667,1960
gnq,0.0859,1970
gnq,0.2813,1990
gnq,0.208,1995
gnq,0.246,1996
gnq,0.3,2004
eri,0.0189,1993
eri,0.03,1996
eri,0.05,2004
est,2.938,1980
est,3.35,1985
est,3.408,1986
est,3.484,1987
est,3.485,1988
est,3.49,1989
est,3.504,1990
est,3.536,1991
est,3.264,1992
est,3.207,1993
est,3.2,1994
est,3.191,1995
est,3.148,1996
est,3.114,1997
est,3.11,1998
est,3.206,1999
est,4.475,2000
est,3.16,2001
est,3.33,2006
est,3.409,2008
eth,0.008783,1960
eth,0.01425,1965
eth,0.0116,1970
eth,0.0116,1975
eth,0.0113,1980
eth,0.0113,1981
eth,0.0127,1984
eth,0.0308,1988
eth,0.0285,1994
eth,0.025,1996
eth,0.023,1997
eth,0.021,1998
eth,0.02,1999
eth,0.021,2000
eth,0.028,2001
eth,0.029,2002
eth,0.03,2003
eth,0.022,2007
fji,0.4949,1960
fji,0.4712,1970
fji,0.4757,1975
fji,0.4479,1980
fji,0.4939,1982
fji,0.3581,1989
fji,0.4723,1992
fji,0.3763,1994
fji,0.476,1997
fji,0.357,1998
fji,0.337,1999
fji,0.4529,2003
fin,2.0,1990
fin,2.0,1991
fin,2.1,1992
fin,2.1,1993
fin,2.2,1994
fin,2.2,1995
fin,2.3,1996
fin,2.4,1997
fin,2.4,1998
fin,2.5,1999
fin,2.6,2000
fin,2.6,2001
fin,2.6,2002
fin,2.6,2003
fin,3.3,2006
fin,3.319,2007
fin,2.735,2008
fra,1.2,1970
fra,1.3,1971
fra,1.3,1972
fra,1.4,1973
fra,1.4,1974
fra,1.5,1975
fra,1.5,1976
fra,1.6,1977
fra,1.7,1978
fra,1.8,1979
fra,1.9,1980
fra,2.0,1981
fra,2.1,1982
fra,2.1,1983
fra,2.5,1984
fra,2.7,1985
fra,2.8,1986
fra,2.8,1987
fra,2.9,1988
fra,3.0,1989
fra,3.1,1990
fra,3.1,1991
fra,3.1,1992
fra,3.2,1993
fra,3.2,1994
fra,3.2,1995
fra,3.2,1996
fra,3.3,1997
fra,3.3,1998
fra,3.3,1999
fra,3.3,2000
fra,3.3,2001
fra,3.3,2002
fra,3.4,2003
fra,3.367,2004
fra,3.41,2006
fra,3.736,2007
fra,3.497,2008
pyf,1.252,1985
pyf,1.697,2000
gab,0.1173,1960
gab,0.1905,1970
gab,0.4572,1981
gab,0.4334,1983
gab,0.5181,1985
gab,0.2457,1988
gab,0.4942,1989
gab,0.2151,1993
gab,0.257,1994
gab,0.289,1995
gab,0.29,2004
gmb,0.04261,1960
gmb,0.0409,1970
gmb,0.0401,1975
gmb,0.0811,1985
gmb,0.0163,1993
gmb,0.035,1997
gmb,0.11,2003
gmb,0.038,2008
geo,3.2,1970
geo,3.3,1971
geo,3.32,1972
geo,3.4,1973
geo,3.475,1974
geo,3.63,1975
geo,3.72,1976
geo,3.81,1977
geo,3.95,1978
geo,4.0,1979
geo,4.123,1980
geo,4.212,1981
geo,4.319,1982
geo,4.333,1983
geo,4.471,1984
geo,4.611,1985
geo,4.699,1986
geo,4.808,1987
geo,4.868,1988
geo,4.971,1989
geo,4.926,1990
geo,4.898,1991
geo,4.726,1992
geo,5.003,1993
geo,4.899,1994
geo,4.792,1995
geo,4.457,1996
geo,5.192,1997
geo,5.042,1998
geo,3.768,1999
geo,4.731,2000
geo,4.295,2001
geo,3.907,2002
geo,4.089,2003
geo,4.65,2006
geo,4.538,2007
deu,2.8,1991
deu,2.8,1992
deu,2.9,1993
deu,3.0,1994
deu,3.1,1995
deu,3.1,1996
deu,3.1,1997
deu,3.2,1998
deu,3.2,1999
deu,3.3,2000
deu,3.3,2001
deu,3.3,2002
deu,3.4,2003
deu,3.44,2006
deu,3.483,2007
deu,3.531,2008
gha,0.0465,1960
gha,0.07281,1965
gha,0.0775,1970
gha,0.0775,1975
gha,0.0672,1984
gha,0.0487,1987
gha,0.043,1989
gha,0.062,1996
gha,0.09,2002
gha,0.15,2004
gha,0.11,2008
gha,0.085,2009
grc,1.3,1960
grc,1.2,1961
grc,1.3,1962
grc,1.3,1963
grc,1.4,1964
grc,1.4,1965
grc,1.4,1966
grc,1.5,1967
grc,1.5,1968
grc,1.6,1969
grc,1.6,1970
grc,1.7,1971
grc,1.7,1972
grc,1.9,1973
grc,2.0,1974
grc,2.0,1975
grc,2.1,1976
grc,2.2,1977
grc,2.3,1978
grc,2.3,1979
grc,2.4,1980
grc,2.5,1981
grc,2.6,1982
grc,2.8,1983
grc,2.9,1984
grc,2.9,1985
grc,3.1,1986
grc,3.3,1987
grc,3.2,1988
grc,3.3,1989
grc,3.4,1990
grc,3.6,1991
grc,3.7,1992
grc,3.8,1993
grc,3.8,1994
grc,3.9,1995
grc,3.9,1996
grc,4.0,1997
grc,4.1,1998
grc,4.2,1999
grc,4.3,2000
grc,4.4,2001
grc,5.0,2005
grc,5.35,2006
grc,6.043,2008
grl,1.169,1960
grl,0.9052,1970
grl,1.135,1980
grd,0.2222,1960
grd,0.3459,1970
grd,0.4903,1984
grd,0.5535,1988
grd,0.5,1990
grd,0.5778,1993
grd,0.65,1995
grd,0.5,1997
grd,0.9756,1998
