geo,earthquake_affected_annual_number,time
hnd,0,1996
hnd,0,1997
hnd,0,1998
hnd,0,1999
hnd,0,2000
hnd,0,2001
hnd,0,2002
hnd,0,2003
hnd,0,2004
hnd,0,2005
hnd,0,2006
hnd,1883,2007
hnd,0,2008
isl,0,1970
isl,0,1971
isl,0,1972
isl,0,1973
isl,0,1974
isl,0,1975
isl,7,1976
isl,0,1977
isl,0,1978
isl,0,1979
isl,0,1980
isl,0,1981
isl,0,1982
isl,0,1983
isl,0,1984
isl,0,1985
isl,0,1986
isl,0,1987
isl,0,1988
isl,0,1989
isl,0,1990
isl,0,1991
isl,0,1992
isl,0,1993
isl,0,1994
isl,0,1995
isl,0,1996
isl,0,1997
isl,0,1998
isl,0,1999
isl,199,2000
isl,0,2001
isl,0,2002
isl,0,2003
isl,0,2004
isl,0,2005
isl,0,2006
isl,0,2007
isl,0,2008
ind,26,1970
ind,0,1971
ind,100,1972
ind,0,1973
ind,0,1974
ind,47,1975
ind,0,1976
ind,0,1977
ind,0,1978
ind,0,1979
ind,61,1980
ind,212,1981
ind,0,1982
ind,0,1983
ind,10920,1984
ind,0,1985
ind,36,1986
ind,0,1987
ind,20000000,1988
ind,0,1989
ind,0,1990
ind,55880,1991
ind,0,1992
ind,40270,1993
ind,0,1994
ind,0,1995
ind,0,1996
ind,156500,1997
ind,0,1998
ind,478000,1999
ind,0,2000
ind,6342000,2001
ind,202,2002
ind,0,2003
ind,0,2004
ind,157900,2005
ind,0,2006
ind,0,2007
ind,0,2008
idn,0,1970
idn,0,1971
idn,0,1972
idn,0,1973
idn,0,1974
idn,0,1975
idn,477900,1976
idn,4187,1977
idn,0,1978
idn,86270,1979
idn,20000,1980
idn,2988,1981
idn,23830,1982
idn,100,1983
idn,1949,1984
idn,17,1985
idn,0,1986
idn,32230,1987
idn,0,1988
idn,23010,1989
idn,9317,1990
idn,17220,1991
idn,102100,1992
idn,0,1993
idn,261100,1994
idn,92030,1995
idn,38810,1996
idn,3125,1997
idn,6982,1998
idn,16920,1999
idn,270300,2000
idn,12510,2001
idn,11860,2002
idn,3250,2003
idn,140900,2004
idn,106900,2005
idn,3186000,2006
idn,619600,2007
idn,10740,2008
irn,10180,1970
irn,0,1971
irn,28520,1972
irn,0,1973
irn,0,1974
irn,0,1975
irn,16,1976
irn,421800,1977
irn,65100,1978
irn,20790,1979
irn,150,1980
irn,37200,1981
irn,0,1982
irn,7515,1983
irn,0,1984
irn,7081,1985
irn,1905,1986
irn,3977,1987
irn,16560,1988
irn,1817,1989
irn,772400,1990
irn,1501,1991
irn,4055,1992
irn,5076,1993
irn,16660,1994
irn,0,1995
irn,0,1996
irn,226000,1997
