geo,improved_sanitation_urban_access_percent,time
eri,58,1992
eri,58,1993
eri,57,1994
eri,57,1995
eri,56,1996
eri,56,1997
eri,55,1998
eri,55,1999
eri,54,2000
eri,53,2001
eri,53,2002
eri,52,2003
eri,52,2004
eri,52,2005
eri,52,2006
eri,52,2007
eri,52,2008
est,96,1990
est,96,1991
est,96,1992
est,96,1993
est,96,1994
est,96,1995
est,96,1996
est,96,1997
est,96,1998
est,96,1999
est,96,2000
est,96,2001
est,96,2002
est,96,2003
est,96,2004
est,96,2005
est,96,2006
est,96,2007
est,96,2008
est,96,2009
est,96,2010
eth,20,1990
eth,20,1991
eth,20,1992
eth,20,1993
eth,21,1994
eth,21,1995
eth,22,1996
eth,22,1997
eth,23,1998
eth,23,1999
eth,24,2000
eth,24,2001
eth,25,2002
eth,25,2003
eth,26,2004
eth,26,2005
eth,27,2006
eth,27,2007
eth,28,2008
eth,28,2009
eth,29,2010
fji,90,1990
fji,90,1991
fji,90,1992
fji,90,1993
fji,91,1994
fji,91,1995
fji,91,1996
fji,91,1997
fji,92,1998
fji,92,1999
fji,92,2000
fji,93,2001
fji,93,2002
fji,93,2003
fji,93,2004
fji,94,2005
fji,94,2006
fji,94,2007
fji,94,2008
fji,94,2009
fji,94,2010
fin,100,1990
fin,100,1991
fin,100,1992
fin,100,1993
fin,100,1994
fin,100,1995
fin,100,1996
fin,100,1997
fin,100,1998
fin,100,1999
fin,100,2000
fin,100,2001
fin,100,2002
fin,100,2003
fin,100,2004
fin,100,2005
fin,100,2006
fin,100,2007
fin,100,2008
fin,100,2009
fin,100,2010
fra,100,1990
fra,100,1991
fra,100,1992
fra,100,1993
fra,100,1994
fra,100,1995
fra,100,1996
fra,100,1997
fra,100,1998
fra,100,1999
fra,100,2000
fra,100,2001
fra,100,2002
fra,100,2003
fra,100,2004
fra,100,2005
fra,100,2006
fra,100,2007
fra,100,2008
fra,100,2009
fra,100,2010
pyf,99,1990
pyf,99,1991
pyf,99,1992
pyf,99,1993
pyf,99,1994
pyf,99,1995
pyf,99,1996
