geo,colonandrectum_cancer_deaths_per_100000_women,time
svk,13.47,1996
svk,15.28,1997
svk,15.13,1998
svk,15.66,1999
svk,14.39,2000
svk,13.67,2001
svk,15.22,2002
svn,13.27,1985
svn,12.23,1986
svn,11.37,1987
svn,11.93,1988
svn,11.31,1989
svn,12.97,1990
svn,13.38,1991
svn,14.12,1992
svn,13.03,1993
svn,13.63,1994
svn,15.49,1995
svn,13.98,1996
svn,13.83,1997
svn,12.5,1998
svn,12.91,1999
svn,12.1,2000
svn,10.98,2001
svn,11.56,2002
slb,4.5,2002
som,3.8,2002
zaf,4.99,1993
zaf,5.47,1994
zaf,5.4,1995
zaf,5.54,1996
zaf,5.12,1997
zaf,4.86,1998
zaf,5.17,1999
zaf,5.17,2000
zaf,5.07,2001
zaf,4.6,2002
esp,6.71,1955
esp,6.81,1956
esp,7.27,1957
esp,6.86,1958
esp,6.73,1959
esp,8.14,1960
esp,8.85,1961
esp,9.58,1962
esp,9.2,1963
esp,9.27,1964
esp,8.74,1965
esp,8.51,1966
esp,9.17,1967
esp,8.48,1968
esp,8.58,1969
esp,8.55,1970
esp,8.62,1971
esp,8.48,1972
esp,8.83,1973
esp,9.21,1974
esp,8.99,1975
esp,8.76,1976
