geo,fixed_line_and_mobile_phone_subscribers_per_100_people,time
tjk,3.588,1982
tjk,3.72,1983
tjk,3.838,1984
tjk,3.942,1985
tjk,4.031,1986
tjk,4.108,1987
tjk,4.3,1988
tjk,4.448,1989
tjk,4.526,1990
tjk,4.752,1991
tjk,4.84,1992
tjk,4.727,1993
tjk,4.712,1994
tjk,4.551,1995
tjk,4.214,1996
tjk,3.805,1997
tjk,3.685,1998
tjk,3.496,1999
tjk,3.559,2000
tjk,3.658,2001
tjk,3.97,2002
tjk,4.582,2003
tjk,6.315,2004
tjk,8.323,2005
tza,0.1694,1975
tza,0.1745,1976
tza,0.1868,1977
tza,0.1995,1978
tza,0.2114,1979
tza,0.2129,1980
tza,0.2112,1981
tza,0.2112,1982
tza,0.2144,1983
tza,0.2245,1984
tza,0.2385,1985
tza,0.2419,1986
tza,0.2538,1987
tza,0.276,1988
tza,0.2861,1989
tza,0.2864,1990
tza,0.2899,1991
tza,0.2985,1992
tza,0.302,1993
tza,0.3054,1994
tza,0.3136,1995
tza,0.3314,1996
tza,0.3979,1997
tza,0.4952,1998
tza,0.6072,1999
tza,0.8393,2000
tza,1.306,2001
tza,2.158,2002
tza,5.715,2003
tza,5.573,2004
tza,9.211,2005
tza,15.01,2006
tha,0.5192,1975
tha,0.5494,1976
tha,0.592,1977
tha,0.6575,1978
tha,0.7229,1979
tha,0.7819,1980
tha,0.802,1981
tha,0.8957,1982
tha,0.9398,1983
tha,1.038,1984
tha,1.233,1985
tha,1.551,1986
tha,1.737,1987
tha,1.933,1988
tha,2.234,1989
tha,2.556,1990
tha,3.051,1991
tha,3.671,1992
tha,4.673,1993
tha,6.133,1994
tha,8.309,1995
tha,10.32,1996
tha,11.95,1997
tha,11.79,1998
tha,12.57,1999
tha,14.25,2000
tha,22.22,2001
tha,27.12,2002
tha,45.81,2003
tha,54.65,2004
tha,60.59,2005
tha,75.48,2006
tgo,0.1916,1976
tgo,0.2262,1977
tgo,0.2131,1978
tgo,0.2111,1979
tgo,0.2077,1980
tgo,0.2124,1981
tgo,0.2483,1982
tgo,0.2553,1983
tgo,0.2584,1984
tgo,0.2501,1985
tgo,0.2431,1986
tgo,0.256,1987
tgo,0.2575,1988
tgo,0.2566,1989
tgo,0.2655,1990
tgo,0.2638,1991
tgo,0.368,1992
tgo,0.4052,1993
tgo,0.4883,1994
tgo,0.4809,1995
tgo,0.5148,1996
tgo,0.5804,1997
tgo,0.7732,1998
tgo,1.057,1999
tgo,1.717,2000
tgo,2.571,2001
tgo,3.851,2002
tgo,5.159,2003
tgo,6.564,2004
tgo,7.958,2005
tgo,12.32,2006
ton,0.5343,1976
ton,0.5297,1977
ton,0.5337,1978
ton,0.9532,1979
ton,1.752,1981
ton,2.968,1983
ton,2.753,1984
ton,2.808,1985
ton,2.92,1986
ton,3.021,1987
ton,3.647,1988
ton,4.243,1989
ton,4.635,1990
ton,5.337,1991
ton,5.725,1992
ton,6.131,1993
ton,6.665,1994
ton,7.093,1995
ton,8.272,1996
ton,7.583,1997
ton,8.813,1998
ton,9.43,1999
ton,10.07,2000
ton,11.23,2001
ton,14.79,2002
ton,23.51,2003
ton,29.7,2004
ton,43.9,2005
tto,4.032,1975
tto,4.127,1976
tto,4.187,1977
tto,4.196,1978
tto,4.114,1979
tto,3.991,1980
tto,4.101,1981
tto,4.17,1982
tto,5.802,1983
tto,7.117,1984
