geo,total_health_spending_per_person_us,time
gha,14.58,2002
gha,17.95,2003
gha,25.82,2004
gha,34.82,2005
gha,47.97,2006
gha,65.56,2007
gha,68.51,2008
gha,54.47,2009
gha,67.03,2010
grc,1064.0,1995
grc,1113.0,1996
grc,1064.0,1997
grc,1055.0,1998
grc,1114.0,1999
grc,917.2,2000
grc,1053.0,2001
grc,1221.0,2002
grc,1577.0,2003
grc,1805.0,2004
grc,2089.0,2005
grc,2289.0,2006
grc,2677.0,2007
grc,3078.0,2008
grc,3015.0,2009
grc,2729.0,2010
grd,190.5,1995
grd,203.4,1996
grd,218.9,1997
grd,247.3,1998
grd,291.5,1999
grd,339.3,2000
grd,392.4,2001
grd,353.7,2002
grd,359.4,2003
grd,335.7,2004
grd,412.3,2005
grd,435.7,2006
grd,448.1,2007
grd,474.1,2008
grd,462.1,2009
grd,439.2,2010
gtm,53.72,1995
gtm,55.65,1996
gtm,63.93,1997
gtm,74.56,1998
gtm,79.89,1999
gtm,94.91,2000
gtm,103.6,2001
gtm,109.0,2002
gtm,114.9,2003
gtm,122.8,2004
gtm,136.2,2005
gtm,170.4,2006
gtm,183.9,2007
gtm,198.5,2008
gtm,189.8,2009
gtm,196.9,2010
gin,27.06,1995
gin,27.78,1996
gin,26.34,1997
gin,24.97,1998
gin,23.66,1999
gin,21.09,2000
gin,20.05,2001
gin,21.43,2002
gin,21.65,2003
gin,21.94,2004
gin,16.22,2005
gin,16.87,2006
gin,22.75,2007
gin,25.98,2008
gin,25.13,2009
gin,23.01,2010
gnb,25.51,1995
gnb,20.28,1996
gnb,16.04,1997
gnb,12.21,1998
gnb,10.62,1999
gnb,10.74,2000
gnb,9.232,2001
gnb,10.98,2002
gnb,20.36,2003
gnb,21.64,2004
gnb,23.48,2005
gnb,23.71,2006
gnb,27.5,2007
gnb,33.14,2008
gnb,48.0,2009
gnb,46.85,2010
guy,41.51,1995
guy,45.42,1996
guy,51.04,1997
guy,49.35,1998
guy,42.84,1999
guy,54.28,2000
guy,53.43,2001
guy,56.27,2002
guy,55.7,2003
guy,80.25,2004
guy,101.8,2005
guy,116.7,2006
guy,122.6,2007
guy,153.5,2008
guy,166.7,2009
guy,158.8,2010
hti,22.6,1995
hti,23.84,1996
hti,24.56,1997
hti,26.99,1998
hti,27.2,1999
hti,25.68,2000
hti,22.47,2001
hti,18.88,2002
hti,14.64,2003
hti,18.39,2004
hti,19.59,2005
hti,29.34,2006
hti,34.54,2007
hti,35.33,2008
hti,40.09,2009
hti,46.41,2010
hnd,37.92,1995
hnd,35.48,1996
hnd,39.47,1997
hnd,49.71,1998
hnd,50.72,1999
hnd,62.17,2000
hnd,65.71,2001
hnd,73.68,2002
hnd,79.69,2003
hnd,85.1,2004
hnd,82.71,2005
hnd,89.03,2006
hnd,102.2,2007
hnd,115.7,2008
hnd,134.5,2009
hun,323.2,1995
hun,315.3,1996
hun,308.8,1997
hun,335.2,1998
hun,345.2,1999
hun,326.0,2000
hun,374.7,2001
hun,496.1,2002
hun,689.7,2003
hun,812.5,2004
hun,909.3,2005
hun,907.9,2006
hun,1023.0,2007
hun,1119.0,2008
hun,957.0,2009
hun,942.3,2010
isl,2213.0,1995
isl,2275.0,1996
isl,2649.0,1997
isl,2784.0,1998
isl,3219.0,1999
isl,3034.0,2000
isl,2674.0,2001
isl,3228.0,2002
isl,4026.0,2003
isl,4560.0,2004
isl,5322.0,2005
isl,5151.0,2006
isl,6175.0,2007
isl,4929.0,2008
isl,3698.0,2009
isl,3722.0,2010
ind,15.74,1995
ind,15.86,1996
ind,18.35,1997
ind,18.41,1998
ind,18.23,1999
ind,19.57,2000
ind,20.92,2001
ind,21.06,2002
ind,23.66,2003
ind,26.44,2004
ind,30.62,2005
ind,33.08,2006
ind,40.4,2007
ind,43.12,2008
ind,44.33,2009
ind,54.25,2010
idn,19.81,1995
idn,22.46,1996
idn,20.33,1997
idn,9.549,1998
idn,15.16,1999
idn,15.13,2000
idn,16.57,2001
idn,19.98,2002
idn,26.81,2003
idn,27.08,2004
idn,30.15,2005
idn,39.66,2006
idn,50.57,2007
idn,53.36,2008
idn,56.35,2009
idn,76.89,2010
irn,68.15,1995
irn,86.1,1996
irn,109.9,1997
irn,134.1,1998
irn,177.7,1999
irn,231.0,2000
irn,293.5,2001
irn,101.8,2002
irn,96.65,2003
irn,116.8,2004
irn,156.1,2005
irn,174.4,2006
irn,219.9,2007
irn,276.6,2008
irn,287.1,2009
irn,316.9,2010
irq,8.532,1996
irq,8.886,1997
irq,9.162,1998
irq,15.2,1999
irq,34.26,2000
irq,24.5,2001
irq,9.531,2002
irq,18.35,2003
irq,62.41,2004
irq,61.94,2005
irq,66.06,2006
irq,107.9,2007
irq,160.7,2008
irq,200.4,2009
irq,246.8,2010
irl,1238.0,1995
irl,1328.0,1996
irl,1402.0,1997
irl,1459.0,1998
irl,1558.0,1999
irl,1561.0,2000
irl,1831.0,2001
irl,2206.0,2002
irl,2908.0,2003
irl,3449.0,2004
irl,3693.0,2005
irl,3926.0,2006
irl,4552.0,2007
irl,5241.0,2008
irl,4714.0,2009
irl,4242.0,2010
isr,1281.0,1995
isr,1384.0,1996
isr,1438.0,1997
isr,1397.0,1998
isr,1323.0,1999
isr,1457.0,2000
isr,1502.0,2001
isr,1338.0,2002
isr,1368.0,2003
isr,1414.0,2004
isr,1485.0,2005
isr,1543.0,2006
isr,1737.0,2007
isr,2073.0,2008
isr,2004.0,2009
isr,2183.0,2010
ita,1438.0,1995
ita,1634.0,1996
ita,1604.0,1997
ita,1653.0,1998
ita,1643.0,1999
ita,1554.0,2000
ita,1611.0,2001
ita,1778.0,2002
ita,2184.0,2003
ita,2570.0,2004
ita,2712.0,2005
ita,2851.0,2006
ita,3095.0,2007
ita,3472.0,2008
ita,3323.0,2009
ita,3248.0,2010
jam,96.62,1995
jam,123.0,1996
jam,177.8,1997
jam,175.0,1998
jam,161.7,1999
jam,189.5,2000
jam,178.3,2001
jam,179.7,2002
jam,162.4,2003
jam,183.4,2004
jam,170.5,2005
jam,186.7,2006
jam,230.1,2007
jam,272.3,2008
jam,227.6,2009
jam,247.3,2010
jpn,2891.0,1995
jpn,2600.0,1996
jpn,2362.0,1997
jpn,2221.0,1998
jpn,2604.0,1999
jpn,2834.0,2000
jpn,2551.0,2001
jpn,2454.0,2002
jpn,2692.0,2003
jpn,2913.0,2004
jpn,2928.0,2005
jpn,2796.0,2006
jpn,2806.0,2007
jpn,3253.0,2008
jpn,3754.0,2009
jpn,4065.0,2010
jor,127.2,1995
jor,132.2,1996
jor,145.7,1997
jor,157.3,1998
