geo,infectious_tb_number_of_new_cases_reported,time
omn,165,1997
omn,156,1998
omn,120,1999
omn,164,2000
omn,156,2001
omn,151,2002
omn,110,2003
omn,160,2004
omn,131,2005
omn,184,2006
omn,187,2007
pak,11020,1993
pak,2578,1995
pak,1849,1996
pak,14970,1998
pak,6248,1999
pak,3285,2000
pak,10940,2001
pak,16380,2002
pak,21300,2003
pak,31560,2004
pak,48320,2005
pak,65250,2006
pak,88750,2007
plw,8,1993
plw,11,1994
plw,9,1995
plw,4,1996
plw,7,1997
plw,20,1999
plw,9,2002
plw,5,2003
plw,5,2004
plw,3,2005
plw,6,2006
plw,5,2007
pan,1046,1993
pan,748,1994
pan,1066,1995
pan,904,1996
pan,592,1997
pan,1393,1998
pan,432,1999
pan,460,2000
pan,671,2001
pan,773,2002
pan,778,2003
pan,884,2004
pan,860,2005
pan,858,2006
pan,833,2007
png,1652,1995
png,447,1996
png,1195,1997
png,2107,1998
png,2140,1999
png,1933,2000
png,1351,2001
png,1345,2002
png,2310,2003
png,1896,2004
png,1805,2005
png,1948,2006
png,2087,2007
pry,993,1990
pry,943,1991
pry,862,1992
pry,985,1993
pry,873,1994
pry,748,1995
pry,894,1996
pry,859,1997
pry,850,1998
pry,1041,1999
pry,900,2000
pry,915,2001
pry,1004,2002
pry,1166,2003
pry,1199,2004
pry,1260,2005
pry,1452,2006
pry,1276,2007
per,35650,1993
per,33920,1994
per,32100,1995
per,26800,1996
per,27500,1997
per,27710,1998
per,24510,1999
per,22580,2000
per,21680,2001
per,20530,2002
per,18500,2003
per,18290,2004
per,18490,2005
per,19250,2006
per,17800,2007
phl,92280,1993
phl,87400,1994
phl,94770,1995
phl,86700,1996
phl,80160,1997
phl,69480,1998
phl,73370,1999
phl,67060,2000
phl,59340,2001
phl,65150,2002
phl,72670,2003
phl,78160,2004
phl,81650,2005
phl,85740,2006
phl,86570,2007
pol,7606,1993
pol,4000,1994
pol,6955,1995
pol,6819,1996
pol,3497,1997
pol,3502,1998
pol,3177,1999
pol,3180,2000
pol,3155,2001
pol,3060,2002
pol,2983,2003
pol,2777,2004
pol,2823,2005
pol,2835,2006
pol,2827,2007
prt,2072,1994
prt,2019,1995
prt,1938,1996
prt,1628,1997
prt,2016,1998
prt,1801,1999
prt,1863,2000
prt,2042,2001
prt,1976,2002
prt,1742,2003
prt,1514,2004
prt,1302,2005
prt,1300,2006
prt,1173,2007
pri,122,1993
pri,139,1994
pri,128,1995
pri,110,1996
pri,126,1997
pri,106,1998
pri,106,1999
pri,81,2000
pri,74,2001
pri,78,2002
pri,62,2003
pri,65,2004
pri,60,2005
pri,69,2006
pri,56,2007
qat,60,1995
qat,46,1996
qat,39,1997
qat,69,1998
qat,58,1999
qat,53,2000
qat,77,2001
qat,64,2002
qat,95,2003
qat,73,2004
qat,96,2005
qat,115,2006
qat,116,2007
kor,16630,1993
kor,13270,1994
kor,11750,1995
kor,11420,1996
kor,9957,1997
kor,10360,1998
kor,9559,1999
kor,8216,2000
kor,11800,2001
kor,11340,2002
kor,10980,2003
kor,11470,2004
kor,11640,2005
kor,11510,2006
kor,10930,2007
mda,615,1993
mda,704,1994
mda,665,1995
mda,219,1996
mda,397,1997
mda,477,1998
mda,609,1999
mda,651,2000
