geo,time,nuclear_power_generation_total
moz,1971,0.0
moz,1972,0.0
moz,1973,0.0
moz,1974,0.0
moz,1975,0.0
moz,1976,0.0
moz,1977,0.0
moz,1978,0.0
moz,1979,0.0
moz,1980,0.0
moz,1981,0.0
moz,1982,0.0
moz,1983,0.0
moz,1984,0.0
moz,1985,0.0
moz,1986,0.0
moz,1987,0.0
moz,1988,0.0
moz,1989,0.0
moz,1990,0.0
moz,1991,0.0
moz,1992,0.0
moz,1993,0.0
moz,1994,0.0
moz,1995,0.0
moz,1996,0.0
moz,1997,0.0
moz,1998,0.0
moz,1999,0.0
moz,2000,0.0
moz,2001,0.0
moz,2002,0.0
moz,2003,0.0
moz,2004,0.0
moz,2005,0.0
moz,2006,0.0
moz,2007,0.0
moz,2008,0.0
moz,2009,0.0
moz,2010,0.0
mmr,1971,0.0
mmr,1972,0.0
mmr,1973,0.0
mmr,1974,0.0
mmr,1975,0.0
mmr,1976,0.0
mmr,1977,0.0
mmr,1978,0.0
mmr,1979,0.0
mmr,1980,0.0
mmr,1981,0.0
mmr,1982,0.0
mmr,1983,0.0
mmr,1984,0.0
mmr,1985,0.0
mmr,1986,0.0
mmr,1987,0.0
mmr,1988,0.0
mmr,1989,0.0
mmr,1990,0.0
mmr,1991,0.0
mmr,1992,0.0
mmr,1993,0.0
mmr,1994,0.0
mmr,1995,0.0
mmr,1996,0.0
mmr,1997,0.0
mmr,1998,0.0
mmr,1999,0.0
mmr,2000,0.0
mmr,2001,0.0
mmr,2002,0.0
mmr,2003,0.0
mmr,2004,0.0
mmr,2005,0.0
mmr,2006,0.0
mmr,2007,0.0
mmr,2008,0.0
mmr,2009,0.0
mmr,2010,0.0
nam,1991,0.0
nam,1992,0.0
nam,1993,0.0
nam,1994,0.0
nam,1995,0.0
nam,1996,0.0
nam,1997,0.0
nam,1998,0.0
nam,1999,0.0
nam,2000,0.0
nam,2001,0.0
nam,2002,0.0
nam,2003,0.0
nam,2004,0.0
nam,2005,0.0
nam,2006,0.0
nam,2007,0.0
nam,2008,0.0
nam,2009,0.0
nam,2010,0.0
npl,1971,0.0
npl,1972,0.0
npl,1973,0.0
npl,1974,0.0
npl,1975,0.0
npl,1976,0.0
npl,1977,0.0
npl,1978,0.0
npl,1979,0.0
npl,1980,0.0
npl,1981,0.0
npl,1982,0.0
npl,1983,0.0
npl,1984,0.0
npl,1985,0.0
npl,1986,0.0
npl,1987,0.0
npl,1988,0.0
npl,1989,0.0
npl,1990,0.0
npl,1991,0.0
npl,1992,0.0
npl,1993,0.0
npl,1994,0.0
npl,1995,0.0
npl,1996,0.0
npl,1997,0.0
npl,1998,0.0
npl,1999,0.0
npl,2000,0.0
npl,2001,0.0
npl,2002,0.0
npl,2003,0.0
npl,2004,0.0
npl,2005,0.0
npl,2006,0.0
npl,2007,0.0
npl,2008,0.0
npl,2009,0.0
npl,2010,0.0
nld,1960,0.0
nld,1961,0.0
nld,1962,0.0
nld,1963,0.0
nld,1964,0.0
nld,1965,0.0
nld,1966,0.0
nld,1967,0.0
nld,1968,2408.0
nld,1969,27090.0
nld,1970,31640.0
nld,1971,34820.0
nld,1972,28030.0
nld,1973,95270.0
nld,1974,281800.0
nld,1975,286800.0
nld,1976,332900.0
nld,1977,319000.0
nld,1978,349100.0
nld,1979,300000.0
nld,1980,361100.0
nld,1981,314500.0
nld,1982,335100.0
nld,1983,308600.0
nld,1984,319100.0
nld,1985,335300.0
nld,1986,362500.0
nld,1987,305800.0
nld,1988,316000.0
nld,1989,345600.0
nld,1990,301100.0
nld,1991,286200.0
nld,1992,326700.0
nld,1993,339500.0
nld,1994,341100.0
nld,1995,345500.0
nld,1996,357700.0
nld,1997,207100.0
nld,1998,327900.0
nld,1999,329500.0
nld,2000,337600.0
nld,2001,341900.0
nld,2002,336600.0
nld,2003,345500.0
nld,2004,328600.0
nld,2005,343700.0
nld,2006,298300.0
nld,2007,361100.0
nld,2008,358500.0
nld,2009,363500.0
nld,2010,341300.0
nld,2011,356100.0
nzl,1960,0.0
nzl,1961,0.0
nzl,1962,0.0
nzl,1963,0.0
nzl,1964,0.0
nzl,1965,0.0
nzl,1966,0.0
nzl,1967,0.0
nzl,1968,0.0
nzl,1969,0.0
nzl,1970,0.0
nzl,1971,0.0
nzl,1972,0.0
nzl,1973,0.0
nzl,1974,0.0
nzl,1975,0.0
nzl,1976,0.0
nzl,1977,0.0
nzl,1978,0.0
nzl,1979,0.0
nzl,1980,0.0
nzl,1981,0.0
nzl,1982,0.0
nzl,1983,0.0
nzl,1984,0.0
nzl,1985,0.0
nzl,1986,0.0
nzl,1987,0.0
nzl,1988,0.0
nzl,1989,0.0
nzl,1990,0.0
nzl,1991,0.0
nzl,1992,0.0
nzl,1993,0.0
nzl,1994,0.0
nzl,1995,0.0
nzl,1996,0.0
nzl,1997,0.0
nzl,1998,0.0
nzl,1999,0.0
nzl,2000,0.0
nzl,2001,0.0
nzl,2002,0.0
nzl,2003,0.0
nzl,2004,0.0
nzl,2005,0.0
nzl,2006,0.0
nzl,2007,0.0
nzl,2008,0.0
nzl,2009,0.0
nzl,2010,0.0
nzl,2011,0.0
nic,1971,0.0
nic,1972,0.0
nic,1973,0.0
nic,1974,0.0
nic,1975,0.0
nic,1976,0.0
nic,1977,0.0
nic,1978,0.0
nic,1979,0.0
nic,1980,0.0
nic,1981,0.0
nic,1982,0.0
nic,1983,0.0
nic,1984,0.0
nic,1985,0.0
nic,1986,0.0
nic,1987,0.0
nic,1988,0.0
nic,1989,0.0
nic,1990,0.0
nic,1991,0.0
nic,1992,0.0
nic,1993,0.0
nic,1994,0.0
nic,1995,0.0
nic,1996,0.0
nic,1997,0.0
nic,1998,0.0
nic,1999,0.0
nic,2000,0.0
nic,2001,0.0
nic,2002,0.0
nic,2003,0.0
nic,2004,0.0
nic,2005,0.0
nic,2006,0.0
nic,2007,0.0
nic,2008,0.0
nic,2009,0.0
nic,2010,0.0
nga,1971,0.0
nga,1972,0.0
nga,1973,0.0
