geo,patent_applications_total,time
rou,8318,1992
rou,10950,1993
rou,15060,1994
rou,18670,1995
rou,23970,1996
rou,29060,1997
rou,37830,1998
rou,91300,1999
rou,113400,2000
rou,131800,2001
rou,142800,2002
rus,1203,1991
rus,59240,1992
rus,43720,1993
rus,41350,1994
rus,41360,1995
rus,46290,1996
rus,48220,1997
rus,58530,1998
rus,67880,1999
rus,89430,2000
rus,107700,2001
rus,120400,2002
rwa,6,1984
rwa,1,1985
rwa,1,1986
rwa,2,1987
rwa,6,1988
rwa,1,1989
rwa,4,1990
rwa,1,1991
rwa,2,1992
rwa,3,1994
rwa,4,1999
lca,1,1984
lca,2,1990
lca,1,1992
lca,6,1994
lca,4,1995
lca,3207,1996
lca,22900,1997
lca,34090,1998
lca,40900,1999
lca,58720,2000
lca,75930,2001
lca,89620,2002
vct,8,1996
vct,2,2000
vct,17120,2002
wsm,4,1985
wsm,2,1995
wsm,3,1996
sau,70,1989
sau,455,1990
sau,519,1991
sau,626,1992
sau,750,1993
sau,720,1994
sau,746,1995
sau,837,1996
sau,1058,1997
sau,1331,1998
sau,1216,1999
sau,873,2000
sau,729,2001
sau,613,2002
scg,1125,1992
scg,838,1993
scg,788,1994
scg,822,1995
scg,809,1996
scg,17020,1997
scg,34540,1998
scg,42080,1999
scg,59670,2000
scg,77510,2001
scg,91400,2002
syc,1,1984
syc,2,1985
syc,5,1988
syc,1,1995
syc,6,1996
syc,3581,2002
sle,5,1995
sle,9506,1997
sle,33150,1998
sle,72450,1999
sle,116100,2000
sle,150500,2001
sle,177400,2002
sgp,931,1984
sgp,1007,1985
sgp,838,1989
sgp,1028,1990
sgp,1104,1991
sgp,1354,1992
sgp,1426,1993
sgp,1818,1994
sgp,14230,1995
sgp,38620,1996
sgp,37660,1997
sgp,44950,1998
sgp,51500,1999
sgp,70190,2000
sgp,79030,2001
sgp,94260,2002
svk,9459,1993
svk,14590,1994
svk,17930,1995
svk,23070,1996
svk,28210,1997
svk,36850,1998
svk,43080,1999
svk,60510,2000
svk,77390,2001
svk,157900,2002
svn,420,1992
svn,696,1993
svn,8412,1994
svn,16580,1995
svn,21990,1996
svn,27450,1997
svn,36300,1998
svn,90970,1999
svn,112900,2000
svn,130900,2001
svn,137200,2002
slb,12,1984
slb,4,1985
slb,8,1986
slb,6,1987
slb,2,1988
slb,2,1989
som,8,1984
som,7,1985
zaf,10150,1984
zaf,9900,1985
zaf,9776,1986
zaf,9766,1987
zaf,9734,1988
zaf,9976,1989
zaf,10470,1990
zaf,10200,1991
zaf,10130,1992
zaf,9807,1993
zaf,10410,1994
zaf,11050,1995
zaf,8,1998
zaf,26470,1999
zaf,58170,2000
zaf,76750,2001
zaf,90660,2002
esp,10700,1984
esp,11300,1985
esp,14360,1986
esp,23390,1987
esp,26230,1988
esp,30680,1989
esp,49030,1990
esp,48930,1991
esp,53600,1992
esp,56730,1993
esp,64390,1994
esp,71250,1995
esp,83980,1996
esp,113800,1997
esp,147900,1998
esp,163100,1999
esp,202400,2000
esp,234500,2001
esp,255600,2002
lka,94,1984
lka,476,1985
lka,759,1986
lka,1030,1987
lka,1442,1988
lka,1948,1989
lka,3279,1990
lka,4494,1991
lka,6044,1992
lka,8517,1993
lka,12550,1994
lka,16020,1995
lka,21190,1996
lka,26400,1997
