geo,private_share_of_total_health_spending_percent,time
irq,96.74,1998
irq,96.82,1999
irq,98.86,2000
irq,98.26,2001
irq,97.14,2002
irq,54.63,2003
irq,27.82,2004
irq,32.65,2005
irq,36.19,2006
irq,30.52,2007
irq,25.37,2008
irq,21.93,2009
irq,18.82,2010
irl,27.48,1995
irl,28.46,1996
irl,25.07,1997
irl,25.32,1998
irl,24.74,1999
irl,24.93,2000
irl,24.27,2001
irl,23.72,2002
irl,23.52,2003
irl,22.64,2004
irl,23.04,2005
irl,23.21,2006
irl,23.12,2007
irl,23.3,2008
irl,25.09,2009
irl,30.84,2010
isr,30.78,1995
isr,29.12,1996
isr,30.42,1997
isr,34.33,1998
isr,33.98,1999
isr,36.01,2000
isr,36.77,2001
isr,35.38,2002
isr,37.08,2003
isr,37.74,2004
isr,39.51,2005
isr,39.74,2006
isr,40.58,2007
isr,39.65,2008
isr,39.68,2009
isr,39.68,2010
ita,29.22,1995
ita,29.42,1996
ita,29.15,1997
ita,29.65,1998
ita,29.25,1999
ita,27.49,2000
ita,25.35,2001
ita,25.5,2002
ita,25.51,2003
ita,24.04,2004
ita,23.8,2005
ita,23.42,2006
ita,23.45,2007
ita,22.49,2008
ita,22.12,2009
ita,22.38,2010
jam,47.41,1995
jam,39.95,1996
jam,43.81,1997
jam,41.39,1998
jam,49.74,1999
jam,47.37,2000
jam,56.62,2001
jam,42.6,2002
jam,49.45,2003
jam,43.31,2004
jam,51.19,2005
jam,45.27,2006
jam,47.97,2007
jam,46.46,2008
jam,44.63,2009
jam,46.49,2010
jpn,17.73,1995
jpn,17.69,1996
jpn,18.77,1997
jpn,19.61,1998
jpn,19.27,1999
jpn,19.19,2000
jpn,18.6,2001
jpn,18.74,2002
jpn,19.58,2003
jpn,19.25,2004
jpn,18.42,2005
jpn,20.55,2006
jpn,19.62,2007
jpn,19.22,2008
jpn,17.68,2009
jpn,17.47,2010
jor,37.93,1995
jor,40.28,1996
jor,41.61,1997
jor,43.05,1998
jor,46.67,1999
jor,51.99,2000
jor,51.67,2001
jor,50.13,2002
jor,50.61,2003
jor,47.13,2004
jor,47.25,2005
jor,45.15,2006
