children_out_of_school_primary_female,geo,time
397800,irn,1990
328400,irn,1997
641200,irn,1999
639400,irn,2000
297500,irn,2002
285700,irn,2003
157700,irn,2004
129600,irn,2005
503400,irq,1971
517400,irq,1972
527200,irq,1973
534600,irq,1974
535600,irq,1975
494600,irq,1976
477400,irq,1977
457500,irq,1978
217200,irq,1979
143100,irq,1980
137900,irq,1981
197900,irq,1983
242400,irq,1985
238500,irq,1986
224200,irq,1987
200400,irq,1988
241200,irq,1989
406200,irq,1993
486600,irq,1996
323700,irq,1999
352800,irq,2000
368700,irq,2001
270400,irq,2003
314100,irq,2004
369500,irq,2007
11290,irl,1971
12630,irl,1972
12130,irl,1973
14370,irl,1974
14820,irl,1975
15520,irl,1976
16000,irl,1977
15350,irl,1978
15570,irl,1979
15980,irl,1980
17350,irl,1981
19560,irl,1982
21230,irl,1983
21580,irl,1986
19860,irl,1987
17650,irl,1988
16140,irl,1989
14820,irl,1990
15720,irl,1991
17060,irl,1992
17670,irl,1993
17930,irl,1994
18300,irl,1995
18040,irl,1996
16060,irl,1997
448,irl,1998
194,irl,2000
1655,irl,2001
24,irl,2010
8105,isr,1999
7347,isr,2000
4992,isr,2001
6045,isr,2002
5813,isr,2003
6777,isr,2004
7223,isr,2005
8616,isr,2006
8016,isr,2007
8452,isr,2008
10030,isr,2009
8401,isr,2010
34820,ita,1976
36090,ita,1979
45460,ita,1985
4074,ita,2000
6460,ita,2001
8947,ita,2002
11850,ita,2003
14830,ita,2004
14900,ita,2005
12720,ita,2006
9415,ita,2007
8325,ita,2008
10940,ita,2009
20000,ita,2010
10580,jam,1975
15140,jam,1976
13160,jam,1977
5356,jam,1979
4189,jam,1980
5047,jam,1981
2040,jam,1983
3700,jam,1984
4755,jam,1985
3968,jam,1986
2704,jam,1987
6359,jam,1988
156,jam,1989
1978,jam,1990
4665,jam,1991
11860,jam,1993
15120,jam,1999
10540,jam,2000
11870,jam,2001
12780,jam,2002
15600,jam,2003
14450,jam,2004
20240,jam,2005
34830,jam,2007
32160,jam,2008
31670,jam,2009
31340,jam,2010
28520,jpn,1972
54570,jpn,1973
128800,jpn,1974
59140,jpn,1975
7996,jpn,1982
32830,jpn,1983
23630,jpn,1984
21920,jor,1972
10050,jor,1980
13660,jor,1981
15520,jor,1982
20730,jor,1983
22070,jor,1984
17710,jor,1985
25640,jor,1999
16790,jor,2000
10410,jor,2007
21600,jor,2008
40500,jor,2010
29060,kaz,2000
12950,kaz,2001
4879,kaz,2002
3989,kaz,2003
3848,kaz,2004
3387,kaz,2005
3046,kaz,2006
2624,kaz,2007
2089,kaz,2008
1639,kaz,2009
1425,kaz,2011
1102000,ken,1998
972000,ken,1999
874600,ken,2000
992100,ken,2002
676800,ken,2003
711700,ken,2004
669900,ken,2005
676000,ken,2006
383300,ken,2007
