geo,suicide_men_per_100000_people,time
jpn,19.13,1995
jpn,19.65,1996
jpn,20.75,1997
jpn,28.77,1998
jpn,28.71,1999
jpn,27.44,2000
jpn,26.51,2001
jpn,27.18,2002
jpn,29.66,2003
jpn,27.85,2004
jor,0.2836,2004
kaz,43.74,1981
kaz,43.37,1982
kaz,43.08,1985
kaz,30.61,1986
kaz,30.15,1987
kaz,31.31,1988
kaz,36.05,1989
kaz,34.25,1990
kaz,32.99,1991
kaz,35.02,1992
kaz,43.28,1993
kaz,45.2,1994
kaz,54.66,1995
kaz,57.26,1996
kaz,55.89,1997
kaz,54.42,1998
kaz,50.25,1999
kaz,0.0,2000
kaz,55.29,2001
kaz,52.36,2002
kaz,52.61,2003
kaz,51.96,2004
ken,14.46,2004
kir,0.0,2004
prk,5.744,2004
kor,15.15,1985
kor,14.11,1986
kor,12.95,1987
kor,10.84,1988
kor,10.94,1989
kor,11.11,1990
kor,10.5,1991
kor,11.93,1992
kor,13.87,1993
kor,13.87,1994
kor,15.51,1995
kor,18.53,1996
kor,18.87,1997
kor,27.23,1998
kor,21.82,1999
kor,19.5,2000
kor,0.0,2001
kor,25.43,2002
kor,31.81,2003
kor,32.5,2004
kwt,0.3662,1972
kwt,0.7021,1975
kwt,0.1997,1976
kwt,0.5482,1977
kwt,1.576,1978
kwt,0.5554,1979
kwt,1.15,1980
kwt,1.035,1981
kwt,0.09583,1982
kwt,0.5089,1983
kwt,0.688,1984
kwt,1.532,1985
kwt,1.0,1986
kwt,0.967,1987
kwt,1.403,1993
kwt,1.291,1994
kwt,1.832,1995
kwt,1.58,1996
kwt,1.331,1997
kwt,1.152,1998
kwt,1.761,1999
kwt,1.265,2000
kwt,1.369,2001
kwt,1.756,2002
kwt,1.716,2004
kgz,28.59,1981
kgz,29.46,1982
kgz,24.69,1985
kgz,18.86,1986
kgz,22.15,1987
kgz,22.77,1988
kgz,24.0,1989
kgz,25.39,1990
kgz,24.92,1991
kgz,23.53,1992
kgz,27.45,1993
kgz,29.95,1994
kgz,28.32,1995
kgz,23.82,1996
kgz,23.2,1997
kgz,22.63,1998
kgz,23.91,1999
kgz,21.69,2000
kgz,23.63,2001
kgz,22.54,2002
kgz,19.16,2003
kgz,17.18,2004
lao,29.03,2004
lva,51.13,1980
lva,54.3,1981
lva,51.79,1982
lva,52.44,1983
lva,53.0,1984
lva,45.49,1985
lva,38.77,1986
lva,32.4,1987
lva,34.18,1988
lva,36.23,1989
lva,41.49,1990
lva,43.92,1991
lva,54.53,1992
lva,67.04,1993
lva,65.95,1994
lva,64.99,1995
lva,58.98,1996
lva,56.41,1997
lva,54.37,1998
lva,47.12,1999
lva,50.6,2000
lva,0.0,2001
lva,43.02,2002
lva,39.45,2003
lva,36.66,2004
lbn,6.463,2004
lso,10.66,2004
lbr,10.86,2004
lby,5.098,2004
ltu,59.53,1981
ltu,57.98,1982
ltu,57.34,1985
ltu,41.93,1986
ltu,48.08,1987
ltu,41.87,1988
ltu,45.26,1989
ltu,43.23,1990
ltu,51.08,1991
ltu,56.67,1992
ltu,72.06,1993
ltu,80.43,1994
ltu,77.84,1995
ltu,78.37,1996
ltu,76.53,1997
ltu,72.59,1998
ltu,73.37,1999
ltu,75.08,2000
ltu,71.13,2001
ltu,74.3,2002
ltu,67.59,2003
ltu,63.31,2004
lux,19.58,2004
mkd,10.35,1991
mkd,9.974,1992
mkd,10.0,1993
mkd,8.331,1994
mkd,8.761,1995
mkd,10.44,1996
mkd,11.31,1997
mkd,9.417,1998
mkd,11.21,1999
mkd,9.677,2000
mkd,10.42,2001
mkd,9.458,2002
mkd,8.967,2003
mkd,12.58,2004
mdg,7.469,2004
mwi,14.21,2004
mys,11.24,2004
mdv,24.83,2004
mli,12.14,2004
mlt,6.397,2004
mhl,7.452,2004
mrt,8.992,2004
mus,8.109,1961
mus,4.715,1962
mus,6.914,1963
mus,6.418,1964
mus,9.673,1965
mus,8.487,1966
mus,5.041,1967
mus,4.106,1968
mus,3.315,1969
mus,3.977,1970
mus,7.431,1971
mus,4.729,1972
mus,12.33,1973
mus,7.919,1974
mus,12.88,1975
mus,8.531,1976
mus,9.382,1977
mus,13.34,1978
mus,12.44,1979
mus,6.507,1980
mus,2.274,1981
mus,3.131,1982
mus,1.766,1983
mus,15.18,1984
mus,14.72,1985
mus,3.849,1986
mus,18.45,1987
mus,24.74,1988
mus,22.55,1989
mus,19.34,1990
mus,18.89,1991
mus,20.53,1992
mus,18.11,1993
mus,19.35,1994
mus,22.03,1995
mus,21.05,1996
mus,18.15,1997
mus,19.76,1998
mus,19.73,1999
mus,18.37,2000
mus,13.11,2001
mus,17.32,2002
mus,10.98,2003
mus,12.4,2004
mex,2.442,1955
mex,3.055,1956
mex,3.094,1957
mex,3.744,1958
mex,4.117,1959
mex,3.81,1960
mex,3.787,1961
mex,3.754,1962
mex,3.945,1963
mex,3.859,1964
mex,3.521,1965
mex,3.499,1966
mex,4.199,1967
mex,3.523,1968
mex,1.75,1969
mex,2.705,1970
mex,1.673,1971
mex,1.669,1972
mex,1.546,1973
mex,4.695,1974
mex,3.877,1975
mex,3.486,1976
mex,4.002,1977
mex,3.613,1978
mex,3.385,1979
mex,2.959,1980
mex,3.611,1981
mex,3.57,1982
mex,3.168,1983
mex,2.736,1984
mex,4.389,1985
mex,4.932,1986
mex,4.761,1987
mex,4.676,1988
mex,5.103,1989
mex,5.16,1990
mex,5.272,1991
mex,5.645,1992
mex,5.829,1993
mex,6.185,1994
mex,6.564,1995
mex,6.434,1996
mex,6.783,1997
mex,6.608,1998
mex,6.469,1999
mex,6.587,2000
mex,6.934,2001
mex,6.927,2002
mex,7.314,2003
mex,7.274,2004
fsm,4.994,2004
mda,31.79,1981
mda,33.56,1982
mda,34.78,1985
mda,29.59,1986
mda,25.82,1987
mda,26.59,1988
mda,28.18,1989
mda,25.35,1990
mda,27.13,1991
mda,27.22,1992
mda,28.78,1993
mda,31.22,1994
mda,31.16,1995
mda,31.54,1996
mda,30.09,1997
mda,27.7,1998
mda,28.15,1999
mda,26.77,2000
mda,29.67,2001
mda,27.18,2002
mda,29.75,2003
mda,27.48,2004
mco,16.13,2004
mng,21.09,2004
mar,2.114,2004
moz,14.27,2004
mmr,11.89,2004
nam,10.44,2004
nru,0.0,2004
npl,12.47,2004
nld,8.04,1950
nld,8.483,1951
nld,8.698,1952
nld,9.01,1953
nld,8.812,1954
nld,7.916,1955
nld,7.391,1956
nld,7.7,1957
nld,8.729,1958
nld,8.965,1959
nld,8.495,1960
nld,8.77,1961
