geo,extreme_temperature_deaths_annual_number,time
fra,0,2004
fra,8,2005
fra,1388,2006
fra,0,2007
fra,0,2008
deu,0,1971
deu,0,1972
deu,0,1973
deu,0,1975
deu,0,1977
deu,0,1978
deu,0,1979
deu,0,1980
deu,0,1981
deu,0,1982
deu,0,1983
deu,0,1984
deu,0,1985
deu,0,1986
deu,0,1987
deu,0,1988
deu,0,1989
deu,0,1990
deu,0,1991
deu,0,1992
deu,0,1993
deu,0,1994
deu,0,1995
deu,0,1996
deu,30,1997
deu,0,1998
deu,0,1999
deu,0,2000
deu,0,2001
deu,0,2002
deu,9355,2003
deu,0,2004
deu,11,2005
deu,2,2006
deu,0,2007
deu,0,2008
grc,0,1971
grc,0,1972
grc,0,1973
grc,0,1975
grc,0,1977
grc,0,1978
grc,0,1979
grc,0,1980
grc,0,1981
grc,0,1982
grc,0,1983
grc,0,1984
grc,20,1985
grc,0,1986
grc,1000,1987
grc,56,1988
grc,0,1989
grc,0,1990
grc,5,1991
grc,0,1992
grc,0,1993
grc,0,1994
grc,0,1995
grc,0,1996
grc,0,1997
grc,0,1998
grc,0,1999
grc,27,2000
grc,0,2001
grc,0,2002
grc,0,2003
grc,0,2004
grc,0,2005
grc,0,2006
grc,16,2007
grc,0,2008
gtm,0,1971
gtm,0,1972
gtm,0,1973
gtm,0,1975
gtm,0,1977
gtm,0,1978
gtm,0,1979
gtm,0,1980
gtm,0,1981
gtm,0,1982
gtm,0,1983
gtm,0,1984
gtm,0,1985
gtm,0,1986
gtm,0,1987
gtm,0,1988
gtm,0,1989
gtm,0,1990
gtm,0,1991
gtm,0,1992
gtm,0,1993
gtm,0,1994
gtm,0,1995
gtm,0,1996
gtm,0,1997
gtm,0,1998
gtm,0,1999
gtm,0,2000
gtm,0,2001
gtm,0,2002
gtm,0,2003
gtm,0,2004
gtm,0,2005
gtm,6,2006
gtm,0,2007
gtm,0,2008
hkg,0,1971
hkg,0,1972
hkg,0,1973
hkg,0,1975
hkg,0,1977
hkg,0,1978
hkg,0,1979
hkg,0,1980
hkg,0,1981
hkg,0,1982
hkg,0,1983
hkg,0,1984
hkg,0,1985
hkg,0,1986
hkg,10,1987
hkg,0,1988
hkg,0,1989
hkg,0,1990
hkg,0,1991
hkg,0,1992
hkg,0,1993
hkg,0,1994
hkg,0,1995
hkg,0,1996
hkg,0,1997
hkg,0,1998
hkg,0,1999
hkg,0,2000
hkg,0,2001
hkg,0,2002
hkg,0,2003
hkg,0,2004
hkg,0,2005
hkg,0,2006
hkg,0,2007
hkg,0,2008
hun,0,1971
hun,0,1972
hun,0,1973
hun,0,1975
hun,0,1977
hun,0,1978
hun,0,1979
hun,0,1980
hun,0,1981
hun,0,1982
hun,0,1983
hun,0,1984
hun,0,1985
hun,0,1986
hun,0,1987
hun,0,1988
hun,0,1989
hun,0,1990
hun,0,1991
hun,0,1992
hun,0,1993
hun,0,1994
hun,0,1995
hun,0,1996
hun,0,1997
hun,0,1998
hun,0,1999
hun,0,2000
hun,81,2001
hun,0,2002
hun,0,2003
hun,0,2004
hun,48,2005
hun,0,2006
hun,500,2007
hun,17,2008
ind,0,1971
ind,0,1972
ind,261,1973
ind,0,1975
ind,0,1977
ind,150,1978
ind,400,1979
ind,129,1980
ind,300,1981
ind,400,1982
ind,0,1983
ind,290,1984
ind,328,1985
ind,0,1986
ind,100,1987
ind,450,1988
ind,127,1989
ind,264,1990
ind,0,1991
ind,275,1992
ind,0,1993
ind,161,1994
ind,558,1995
ind,0,1996
ind,0,1997
ind,2641,1998
ind,140,1999
