geo,infant_mortality_rate_per_1000_births,time
brb,41.1,1970
brb,39.2,1971
brb,37.3,1972
brb,35.4,1973
brb,33.6,1974
brb,31.8,1975
brb,30.0,1976
brb,28.3,1977
brb,26.7,1978
brb,25.2,1979
brb,23.8,1980
brb,22.6,1981
brb,21.6,1982
brb,20.8,1983
brb,20.1,1984
brb,19.5,1985
brb,18.8,1986
brb,18.1,1987
brb,17.3,1988
brb,16.7,1989
brb,16.0,1990
brb,15.4,1991
brb,14.9,1992
brb,14.5,1993
brb,14.1,1994
brb,14.0,1995
brb,13.9,1996
brb,14.0,1997
brb,14.2,1998
brb,14.5,1999
brb,14.8,2000
brb,15.1,2001
brb,15.3,2002
brb,15.3,2003
brb,15.3,2004
brb,15.1,2005
brb,14.9,2006
brb,14.5,2007
brb,14.2,2008
brb,13.9,2009
brb,13.6,2010
brb,13.3,2011
brb,13.0,2012
brb,12.7,2013
brb,12.3,2014
brb,12.0,2015
blr,19.4,1980
blr,18.5,1981
blr,17.7,1982
blr,17.0,1983
blr,16.5,1984
blr,16.0,1985
blr,15.4,1986
blr,14.8,1987
blr,14.2,1988
blr,13.8,1989
blr,13.5,1990
blr,13.5,1991
blr,13.6,1992
blr,13.8,1993
blr,14.1,1994
blr,14.4,1995
blr,14.4,1996
blr,14.2,1997
blr,13.6,1998
blr,12.6,1999
blr,11.4,2000
blr,10.3,2001
blr,9.3,2002
blr,8.6,2003
blr,7.9,2004
blr,7.4,2005
blr,6.8,2006
blr,6.2,2007
blr,5.6,2008
blr,5.1,2009
blr,4.7,2010
blr,4.3,2011
blr,4.0,2012
blr,3.8,2013
blr,3.5,2014
blr,3.4,2015
bel,192.0,1834
bel,167.0,1835
bel,173.0,1836
bel,185.0,1837
bel,190.0,1838
bel,185.0,1839
bel,182.0,1840
bel,152.0,1841
bel,160.0,1842
bel,149.0,1843
bel,138.0,1844
bel,145.0,1845
bel,184.0,1846
bel,156.0,1847
bel,141.0,1848
bel,147.0,1849
bel,141.0,1850
bel,148.0,1851
bel,147.0,1852
bel,145.0,1853
bel,149.0,1854
bel,161.0,1855
bel,148.0,1856
bel,168.0,1857
bel,164.0,1858
bel,165.0,1859
bel,139.0,1860
bel,164.0,1861
bel,150.0,1862
bel,157.0,1863
bel,165.0,1864
bel,189.0,1865
bel,164.0,1866
bel,128.0,1867
bel,142.0,1868
bel,130.0,1869
bel,145.0,1870
bel,173.0,1871
bel,145.0,1872
bel,142.0,1873
bel,137.0,1874
bel,158.0,1875
bel,139.0,1876
bel,131.0,1877
bel,161.0,1878
bel,159.0,1879
bel,187.0,1880
bel,155.0,1881
bel,151.0,1882
bel,154.0,1883
bel,168.0,1884
bel,150.0,1885
bel,178.0,1886
bel,137.0,1887
bel,165.0,1888
bel,160.0,1889
bel,166.0,1890
bel,162.0,1891
bel,169.0,1892
bel,165.0,1893
bel,152.0,1894
bel,172.0,1895
bel,142.0,1896
bel,149.0,1897
bel,160.0,1898
bel,167.0,1899
bel,172.0,1900
bel,143.0,1901
bel,144.0,1902
bel,155.0,1903
bel,152.0,1904
bel,147.0,1905
bel,154.0,1906
bel,133.0,1907
bel,148.0,1908
bel,138.0,1909
bel,135.0,1910
bel,167.0,1911
bel,120.0,1912
bel,130.0,1913
bel,130.0,1914
bel,125.0,1915
bel,116.0,1916
bel,140.0,1917
bel,134.0,1918
bel,99.0,1919
bel,110.0,1920
bel,122.0,1921
bel,114.0,1922
bel,100.0,1923
bel,95.0,1924
bel,100.0,1925
bel,104.0,1926
bel,98.0,1927
bel,94.0,1928
bel,110.0,1929
bel,100.0,1930
bel,89.0,1931
bel,94.0,1932
bel,92.0,1933
bel,92.0,1934
bel,85.0,1935
bel,86.0,1936
bel,83.0,1937
bel,81.0,1938
bel,82.0,1939
bel,93.0,1940
bel,92.0,1941
bel,84.0,1942
bel,75.0,1943
bel,83.0,1944
bel,100.0,1945
bel,75.0,1946
bel,69.0,1947
bel,59.0,1948
bel,57.0,1949
bel,53.0,1950
bel,50.0,1951
bel,45.0,1952
bel,44.9,1953
bel,42.3,1954
bel,39.8,1955
bel,37.4,1956
bel,35.0,1957
bel,32.9,1958
bel,31.0,1959
bel,29.5,1960
bel,28.1,1961
bel,27.0,1962
bel,26.0,1963
bel,25.0,1964
bel,24.1,1965
bel,23.3,1966
bel,22.5,1967
bel,21.9,1968
bel,21.3,1969
bel,20.6,1970
bel,19.7,1971
bel,18.7,1972
bel,17.7,1973
bel,16.7,1974
bel,15.8,1975
bel,14.9,1976
bel,14.1,1977
bel,13.5,1978
bel,12.8,1979
bel,12.2,1980
bel,11.7,1981
bel,11.2,1982
bel,10.7,1983
bel,10.2,1984
bel,9.9,1985
bel,9.5,1986
bel,9.2,1987
bel,8.9,1988
bel,8.6,1989
bel,8.3,1990
bel,8.0,1991
bel,7.6,1992
bel,7.2,1993
bel,6.8,1994
bel,6.3,1995
bel,5.9,1996
bel,5.5,1997
bel,5.2,1998
bel,4.9,1999
bel,4.8,2000
bel,4.6,2001
bel,4.4,2002
bel,4.2,2003
bel,4.2,2004
bel,4.1,2005
bel,4.0,2006
bel,3.9,2007
bel,3.8,2008
bel,3.7,2009
bel,3.6,2010
bel,3.5,2011
bel,3.5,2012
bel,3.4,2013
bel,3.4,2014
bel,3.3,2015
blz,78.2,1967
blz,75.5,1968
blz,72.8,1969
blz,70.3,1970
blz,67.9,1971
blz,65.4,1972
blz,63.2,1973
blz,61.2,1974
blz,59.2,1975
blz,57.3,1976
blz,55.6,1977
blz,53.8,1978
blz,52.2,1979
blz,50.5,1980
blz,49.0,1981
blz,47.3,1982
blz,45.6,1983
blz,43.8,1984
blz,41.9,1985
blz,39.9,1986
blz,37.9,1987
blz,35.9,1988
blz,34.0,1989
blz,32.2,1990
