geo,epidemic_affected_annual_number,time
nic,0,1999
nic,0,2000
nic,0,2001
nic,0,2002
nic,0,2003
nic,0,2004
nic,0,2005
nic,0,2006
nic,0,2007
nic,0,2008
ner,2996,1970
ner,0,1971
ner,0,1972
ner,0,1974
ner,0,1975
ner,0,1976
ner,0,1977
ner,0,1978
ner,0,1979
ner,0,1980
ner,0,1981
ner,0,1982
ner,0,1983
ner,0,1984
ner,0,1985
ner,0,1986
ner,0,1987
ner,0,1988
ner,1971,1989
ner,0,1990
ner,92990,1991
ner,0,1992
ner,0,1993
ner,0,1994
ner,66710,1995
ner,11360,1996
ner,2418,1997
ner,0,1998
ner,790,1999
ner,1341,2000
ner,48640,2001
ner,3622,2002
ner,2056,2003
ner,20290,2004
ner,431,2005
ner,846,2006
ner,0,2007
ner,2978,2008
nga,0,1970
nga,0,1971
nga,0,1972
nga,0,1974
nga,0,1975
nga,0,1976
nga,0,1977
nga,0,1978
nga,0,1979
nga,0,1980
nga,0,1981
nga,0,1982
nga,0,1983
nga,0,1984
nga,0,1985
nga,2473,1986
nga,650,1987
nga,0,1988
nga,70,1989
nga,60,1990
nga,18890,1991
nga,100,1992
nga,0,1993
nga,0,1994
nga,0,1995
nga,48120,1996
nga,0,1997
nga,250,1998
nga,3493,1999
nga,1354,2000
nga,3180,2001
nga,4158,2002
nga,0,2003
nga,2069,2004
nga,24590,2005
nga,0,2006
nga,200,2007
nga,244,2008
niu,0,1970
niu,0,1971
niu,0,1972
niu,0,1974
niu,0,1975
niu,0,1976
niu,0,1977
niu,0,1978
niu,0,1979
niu,0,1980
niu,0,1981
niu,0,1982
niu,0,1983
niu,0,1984
niu,0,1985
niu,0,1986
niu,0,1987
niu,0,1988
niu,0,1989
niu,0,1990
niu,0,1991
niu,0,1992
niu,0,1993
niu,0,1994
niu,0,1995
niu,0,1996
niu,0,1997
niu,0,1998
niu,298,1999
niu,0,2000
niu,0,2001
niu,0,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
niu,0,2008
pak,0,1970
pak,0,1971
pak,0,1972
pak,0,1974
pak,0,1975
pak,0,1976
pak,0,1977
pak,0,1978
pak,0,1979
pak,0,1980
pak,0,1981
pak,0,1982
pak,0,1983
pak,0,1984
pak,0,1985
pak,0,1986
pak,0,1987
pak,0,1988
pak,0,1989
pak,0,1990
pak,0,1991
pak,0,1992
pak,0,1993
pak,0,1994
pak,0,1995
pak,0,1996
pak,0,1997
pak,10000,1998
pak,0,1999
pak,367,2000
pak,5000,2001
pak,35,2002
pak,0,2003
pak,102,2004
pak,153,2005
pak,0,2006
pak,0,2007
pak,0,2008
pan,0,1970
pan,0,1971
pan,0,1972
pan,0,1974
pan,0,1975
pan,0,1976
pan,0,1977
pan,0,1978
pan,0,1979
pan,0,1980
pan,0,1981
pan,0,1982
pan,0,1983
pan,0,1984
pan,0,1985
pan,0,1986
pan,0,1987
pan,0,1988
pan,0,1989
pan,0,1990
pan,2100,1991
pan,57,1992
pan,0,1993
pan,0,1994
pan,2125,1995
pan,0,1996
pan,0,1997
pan,0,1998
pan,0,1999
pan,0,2000
pan,0,2001
pan,173,2002
pan,0,2003
pan,0,2004
pan,0,2005
pan,0,2006
pan,0,2007
pan,0,2008
png,0,1970
png,0,1971
png,0,1972
png,0,1974
png,0,1975
png,0,1976
png,0,1977
png,0,1978
png,0,1979
png,0,1980
png,0,1981
png,0,1982
png,0,1983
png,0,1984
png,0,1985
png,0,1986
png,0,1987
png,0,1988
png,0,1989
png,0,1990
png,0,1991
png,0,1992
png,0,1993
png,0,1994
png,0,1995
png,0,1996
png,0,1997
png,114,1998
png,0,1999
png,0,2000
png,1395,2001
png,2357,2002
png,0,2003
png,0,2004
png,0,2005
png,0,2006
png,0,2007
png,0,2008
pry,0,1970
pry,0,1971
pry,0,1972
pry,0,1974
pry,0,1975
pry,0,1976
pry,0,1977
pry,0,1978
pry,0,1979
pry,0,1980
pry,0,1981
pry,0,1982
pry,0,1983
pry,0,1984
pry,0,1985
pry,0,1986
pry,0,1987
pry,0,1988
pry,0,1989
pry,0,1990
pry,0,1991
pry,0,1992
pry,0,1993
pry,0,1994
pry,0,1995
pry,0,1996
pry,0,1997
pry,0,1998
pry,0,1999
pry,0,2000
pry,0,2001
pry,0,2002
pry,0,2003
pry,0,2004
pry,0,2005
pry,100000,2006
pry,0,2007
pry,1861,2008
per,0,1970
per,0,1971
per,0,1972
per,0,1974
per,0,1975
per,0,1976
per,26,1977
per,0,1978
per,0,1979
per,0,1980
per,0,1981
per,0,1982
per,0,1983
