suicide_age_30_44_per_100000_people,geo,time
5.287,mus,1965
9.984,mus,1966
1.772,mus,1967
0.8081,mus,1968
4.221,mus,1969
3.167,mus,1970
1.621,mus,1971
2.453,mus,1972
5.982,mus,1973
3.196,mus,1974
9.536,mus,1975
7.351,mus,1976
6.563,mus,1977
11.93,mus,1978
12.73,mus,1979
5.643,mus,1980
2.244,mus,1981
2.742,mus,1982
1.525,mus,1983
13.68,mus,1984
16.32,mus,1985
4.819,mus,1986
19.91,mus,1987
27.32,mus,1988
20.83,mus,1989
21.43,mus,1990
20.28,mus,1991
24.06,mus,1992
21.56,mus,1993
18.6,mus,1994
21.86,mus,1995
23.73,mus,1996
19.24,mus,1997
18.52,mus,1998
26.83,mus,1999
17.57,mus,2000
14.47,mus,2001
15.39,mus,2002
9.887,mus,2003
13.53,mus,2004
11.22,mus,2005
11.41,mus,2006
15.73,mus,2007
8.493,mus,2008
1.81,mex,1955
2.332,mex,1956
2.527,mex,1957
3.295,mex,1958
3.077,mex,1959
3.225,mex,1960
2.921,mex,1961
2.644,mex,1962
3.144,mex,1963
3.241,mex,1964
3.003,mex,1965
2.578,mex,1966
3.309,mex,1967
3.182,mex,1968
1.326,mex,1969
2.014,mex,1970
1.205,mex,1971
0.9924,mex,1972
1.143,mex,1973
3.275,mex,1974
2.93,mex,1975
2.927,mex,1976
2.706,mex,1977
2.744,mex,1978
2.457,mex,1979
2.398,mex,1980
2.816,mex,1981
2.814,mex,1982
2.583,mex,1983
2.058,mex,1984
3.362,mex,1985
3.507,mex,1986
3.698,mex,1987
2.952,mex,1988
3.593,mex,1989
3.582,mex,1990
3.705,mex,1991
3.904,mex,1992
4.203,mex,1993
4.319,mex,1994
4.411,mex,1995
4.406,mex,1996
4.762,mex,1997
4.703,mex,1998
4.584,mex,1999
4.653,mex,2000
4.914,mex,2001
5.012,mex,2002
5.377,mex,2003
5.267,mex,2004
5.562,mex,2005
5.198,mex,2006
5.507,mex,2007
32.27,mda,1981
32.7,mda,1982
34.5,mda,1985
25.75,mda,1986
24.64,mda,1987
25.3,mda,1988
24.52,mda,1989
22.25,mda,1990
24.71,mda,1991
21.0,mda,1992
24.41,mda,1993
22.93,mda,1994
26.79,mda,1995
27.0,mda,1996
27.58,mda,1997
19.56,mda,1998
20.35,mda,1999
17.62,mda,2000
25.02,mda,2001
21.04,mda,2002
23.98,mda,2003
20.83,mda,2004
20.89,mda,2005
23.54,mda,2006
20.41,mda,2007
