geo,females_aged_15_24_employment_rate_percent,time
sau,7.0,2005
sau,6.8,2006
sau,7.3,2007
sen,48.6,1991
sen,48.5,1992
sen,48.4,1993
sen,48.2,1994
sen,48.0,1995
sen,47.7,1996
sen,47.4,1997
sen,47.0,1998
sen,46.6,1999
sen,46.2,2000
sen,45.8,2001
sen,45.3,2002
sen,44.9,2003
sen,44.5,2004
sen,44.1,2005
sen,43.8,2006
sen,43.5,2007
scg,22.6,1991
scg,22.0,1992
scg,21.9,1993
scg,21.0,1994
scg,24.6,1995
scg,26.0,1996
scg,25.7,1997
scg,26.0,1998
scg,26.2,1999
scg,27.6,2000
scg,27.6,2001
scg,26.9,2002
scg,26.0,2003
scg,23.6,2004
scg,22.0,2005
scg,21.4,2006
scg,25.2,2007
sle,46.1,1991
sle,46.0,1992
sle,45.9,1993
sle,46.0,1994
sle,45.7,1995
sle,46.0,1996
sle,45.7,1997
sle,46.0,1998
sle,46.0,1999
sle,46.1,2000
sle,46.5,2001
sle,46.9,2002
sle,46.9,2003
sle,47.0,2004
sle,47.2,2005
sle,47.5,2006
sle,47.5,2007
sgp,54.6,1991
sgp,54.1,1992
sgp,52.2,1993
sgp,50.5,1994
sgp,48.3,1995
sgp,46.7,1996
sgp,44.5,1997
sgp,40.6,1998
sgp,40.9,1999
sgp,43.7,2000
sgp,42.8,2001
sgp,39.4,2002
sgp,37.8,2003
sgp,36.6,2004
sgp,35.8,2005
sgp,34.9,2006
sgp,35.8,2007
svk,41.9,1991
svk,40.1,1992
svk,37.9,1993
svk,31.0,1994
svk,31.2,1995
svk,33.1,1996
svk,32.7,1997
svk,32.1,1998
svk,29.1,1999
svk,28.2,2000
svk,26.7,2001
svk,25.4,2002
svk,25.6,2003
svk,24.8,2004
svk,23.1,2005
svk,22.3,2006
svk,27.5,2007
svn,37.6,1991
svn,29.8,1992
svn,23.0,1993
svn,29.1,1994
svn,29.4,1995
svn,29.6,1996
svn,33.6,1997
svn,34.2,1998
svn,31.5,1999
svn,28.0,2000
svn,25.8,2001
svn,27.6,2002
svn,22.7,2003
svn,29.0,2004
svn,27.9,2005
svn,32.3,2006
svn,27.8,2007
slb,52.8,1991
slb,53.2,1992
slb,53.0,1993
slb,53.1,1994
slb,52.9,1995
slb,52.3,1996
slb,51.6,1997
slb,50.9,1998
slb,50.1,1999
slb,49.1,2000
slb,48.7,2001
slb,48.3,2002
slb,48.0,2003
slb,47.6,2004
slb,47.0,2005
slb,46.5,2006
slb,45.9,2007
som,45.9,1991
som,45.3,1992
som,44.5,1993
som,43.9,1994
som,43.6,1995
som,43.6,1996
som,43.9,1997
som,44.4,1998
som,44.8,1999
som,45.0,2000
som,45.1,2001
som,45.1,2002
som,45.0,2003
som,44.9,2004
som,44.9,2005
som,45.1,2006
som,46.0,2007
zaf,16.1,1991
zaf,15.9,1992
zaf,15.3,1993
zaf,17.4,1994
zaf,18.6,1995
zaf,16.2,1996
zaf,15.0,1997
zaf,14.5,1998
zaf,13.6,1999
zaf,14.1,2000
zaf,11.6,2001
zaf,10.0,2002
zaf,9.1,2003
zaf,12.5,2004
zaf,12.2,2005
zaf,12.6,2006
zaf,12.3,2007
esp,27.4,1991
esp,25.4,1992
esp,22.1,1993
esp,20.8,1994
esp,21.1,1995
esp,20.8,1996
esp,21.8,1997
esp,22.7,1998
esp,25.8,1999
esp,27.9,2000
esp,28.5,2001
esp,28.7,2002
esp,29.2,2003
esp,30.5,2004
esp,34.3,2005
esp,36.2,2006
esp,31.8,2007
lka,22.4,1991
lka,22.6,1992
lka,19.4,1993
lka,20.2,1994
lka,20.3,1995
lka,21.4,1996
lka,21.3,1997
lka,27.5,1998
lka,25.3,1999
lka,21.3,2000
lka,21.4,2001
lka,21.1,2002
lka,21.7,2003
lka,20.2,2004
lka,19.7,2005
lka,25.2,2006
lka,22.4,2007
sdn,16.4,1991
sdn,16.9,1992
sdn,17.7,1993
sdn,18.4,1994
sdn,19.3,1995
sdn,20.3,1996
sdn,20.3,1997
sdn,20.0,1998
sdn,19.9,1999
sdn,19.8,2000
sdn,19.5,2001
sdn,19.3,2002
sdn,19.1,2003
sdn,18.8,2004
sdn,18.6,2005
sdn,18.4,2006
sdn,18.4,2007
sur,17.3,1991
sur,12.5,1992
sur,11.6,1993
sur,11.7,1994
sur,12.9,1995
sur,10.7,1996
sur,10.0,1997
sur,9.2,1998
sur,6.0,1999
sur,6.1,2000
sur,6.6,2001
sur,6.6,2002
sur,7.2,2003
sur,7.5,2004
sur,7.5,2005
sur,7.6,2006
sur,7.5,2007
swz,32.6,1991
swz,32.5,1992
swz,32.4,1993
swz,32.2,1994
swz,35.0,1995
swz,32.9,1996
swz,31.1,1997
swz,30.4,1998
swz,29.6,1999
swz,29.0,2000
swz,28.2,2001
swz,27.6,2002
swz,27.0,2003
swz,26.4,2004
swz,25.9,2005
swz,25.5,2006
swz,25.1,2007
swe,59.8,1991
swe,52.9,1992
swe,42.9,1993
swe,41.4,1994
swe,41.6,1995
swe,38.4,1996
swe,37.5,1997
swe,39.6,1998
swe,41.7,1999
swe,44.3,2000
swe,47.4,2001
swe,45.7,2002
swe,44.6,2003
swe,42.0,2004
swe,42.5,2005
swe,43.7,2006
swe,46.0,2007
che,68.8,1991
che,66.5,1992
che,67.2,1993
che,62.8,1994
che,61.0,1995
che,62.1,1996
che,62.3,1997
che,59.8,1998
che,66.1,1999
che,63.5,2000
che,63.5,2001
che,65.4,2002
che,62.6,2003
che,61.7,2004
che,58.9,2005
che,62.4,2006
che,61.5,2007
syr,16.0,1991
syr,16.5,1992
syr,17.1,1993
syr,17.9,1994
syr,18.9,1995
syr,12.4,1996
syr,7.2,1997
syr,9.8,1998
syr,16.2,1999
syr,17.5,2000
syr,15.1,2001
syr,19.3,2002
syr,12.9,2003
syr,13.1,2004
syr,13.3,2005
syr,13.5,2006
syr,14.6,2007
twn,38.7,1991
twn,37.6,1992
twn,37.6,1993
twn,35.8,1994
twn,35.1,1995
twn,33.9,1996
twn,33.2,1997
twn,33.6,1998
twn,32.8,1999
twn,32.5,2000
twn,32.0,2001
twn,30.9,2002
twn,30.2,2003
twn,30.0,2004
twn,29.7,2005
twn,29.1,2006
twn,28.8,2007
tjk,32.4,1991
tjk,29.5,1992
tjk,26.6,1993
tjk,22.8,1994
tjk,20.3,1995
tjk,17.2,1996
tjk,17.1,1997
tjk,17.9,1998
tjk,18.3,1999
tjk,19.4,2000
tjk,21.6,2001
tjk,22.5,2002
tjk,24.2,2003
tjk,25.4,2004
tjk,26.2,2005
tjk,27.2,2006
tjk,31.5,2007
tza,79.1,1991
tza,78.6,1992
tza,78.1,1993
