newly_hiv_infected_percent_age_15_49,geo,time
0.06,ind,2007
0.06,ind,2008
0.06,ind,2009
0.06,idn,1990
0.06,idn,1991
0.06,idn,1992
0.06,idn,1993
0.06,idn,1994
0.06,idn,1995
0.06,idn,1996
0.06,idn,1997
0.06,idn,1998
0.06,idn,1999
0.06,idn,2000
0.06,idn,2001
0.06,idn,2002
0.06,idn,2003
0.06,idn,2004
0.06,idn,2005
0.06,idn,2006
0.06,idn,2007
0.06,idn,2008
0.06,idn,2009
0.06,idn,2010
0.06,idn,2011
0.06,irn,2011
0.06,irl,2011
0.06,isr,2011
0.06,ita,2011
0.3,jam,1990
0.36,jam,1991
0.4,jam,1992
0.42,jam,1993
0.42,jam,1994
0.39,jam,1995
0.35,jam,1996
0.31,jam,1997
0.27,jam,1998
0.24,jam,1999
0.22,jam,2000
0.2,jam,2001
0.18,jam,2002
0.2,jam,2003
0.19,jam,2004
0.16,jam,2005
0.16,jam,2006
0.16,jam,2007
0.15,jam,2008
0.14,jam,2009
0.13,jam,2010
0.13,jam,2011
0.06,jpn,2011
0.06,kaz,1990
0.06,kaz,1991
0.06,kaz,1992
0.06,kaz,1993
0.06,kaz,1994
0.06,kaz,1995
0.06,kaz,1996
0.06,kaz,1997
0.06,kaz,1998
0.06,kaz,1999
0.06,kaz,2000
0.06,kaz,2001
0.06,kaz,2002
0.06,kaz,2003
0.06,kaz,2004
0.06,kaz,2005
0.06,kaz,2006
0.06,kaz,2007
0.06,kaz,2008
0.06,kaz,2009
0.06,kaz,2010
0.06,kaz,2011
1.07,ken,1990
1.53,ken,1991
1.99,ken,1992
2.24,ken,1993
2.15,ken,1994
1.8,ken,1995
1.4,ken,1996
1.07,ken,1997
0.84,ken,1998
0.7,ken,1999
0.72,ken,2000
0.66,ken,2001
0.61,ken,2002
0.58,ken,2003
0.55,ken,2004
0.53,ken,2005
0.52,ken,2006
0.53,ken,2007
0.54,ken,2008
0.5,ken,2009
0.47,ken,2010
0.45,ken,2011
0.06,kor,2011
0.06,kgz,1990
0.06,kgz,1991
0.06,kgz,1992
0.06,kgz,1993
0.06,kgz,1994
0.06,kgz,1995
0.06,kgz,1996
0.06,kgz,1997
0.06,kgz,1998
0.06,kgz,1999
0.06,kgz,2000
0.06,kgz,2001
0.06,kgz,2002
0.06,kgz,2003
0.06,kgz,2004
0.06,kgz,2005
0.06,kgz,2006
0.06,kgz,2007
0.06,kgz,2008
0.06,kgz,2009
0.06,kgz,2010
0.1,kgz,2011
0.06,lao,2011
0.06,lva,1990
0.06,lva,1991
0.06,lva,1992
0.06,lva,1993
0.06,lva,1994
0.06,lva,1995
0.06,lva,1996
0.06,lva,1997
0.06,lva,1998
0.06,lva,1999
0.06,lva,2000
0.06,lva,2001
0.06,lva,2002
0.06,lva,2003
0.06,lva,2004
0.06,lva,2005
0.06,lva,2006
0.06,lva,2007
0.06,lva,2008
0.06,lva,2009
0.06,lva,2011
0.06,lbn,2011
0.43,lso,1990
0.83,lso,1991
1.53,lso,1992
2.64,lso,1993
4.08,lso,1994
5.39,lso,1995
5.87,lso,1996
5.34,lso,1997
4.33,lso,1998
3.44,lso,1999
2.9,lso,2000
2.67,lso,2001
2.63,lso,2002
2.68,lso,2003
2.77,lso,2004
2.85,lso,2005
2.89,lso,2006
2.88,lso,2007
2.82,lso,2008
2.67,lso,2009
2.58,lso,2010
2.47,lso,2011
0.06,lbr,2011
0.06,ltu,1990
0.06,ltu,1991
0.06,ltu,1992
0.06,ltu,1993
0.06,ltu,1994
0.06,ltu,1995
0.06,ltu,1996
0.06,ltu,1997
0.06,ltu,1998
0.06,ltu,1999
0.06,ltu,2000
0.06,ltu,2001
0.06,ltu,2002
0.06,ltu,2003
0.06,ltu,2004
0.06,ltu,2005
0.06,ltu,2006
0.06,ltu,2007
0.06,ltu,2008
0.06,ltu,2009
0.06,ltu,2011
0.06,lux,2011
1.78,mwi,1990
1.85,mwi,1991
1.86,mwi,1992
1.83,mwi,1993
1.77,mwi,1994
1.76,mwi,1995
1.85,mwi,1996
1.9,mwi,1997
1.88,mwi,1998
1.85,mwi,1999
1.8,mwi,2000
1.74,mwi,2001
1.67,mwi,2002
1.58,mwi,2003
1.42,mwi,2004
1.26,mwi,2005
1.07,mwi,2006
0.89,mwi,2007
0.75,mwi,2008
0.63,mwi,2009
0.55,mwi,2010
0.49,mwi,2011
0.06,mys,1990
0.06,mys,1991
0.06,mys,1992
0.06,mys,1993
0.06,mys,1994
0.06,mys,1995
0.06,mys,1996
0.06,mys,1997
0.06,mys,1998
0.06,mys,1999
0.06,mys,2000
0.06,mys,2001
0.06,mys,2002
0.06,mys,2003
0.06,mys,2004
0.06,mys,2005
0.06,mys,2006
0.06,mys,2007
0.06,mys,2008
0.06,mys,2009
0.06,mdv,2011
0.25,mli,1990
0.26,mli,1991
0.27,mli,1992
0.27,mli,1993
0.27,mli,1994
0.27,mli,1995
0.26,mli,1996
0.25,mli,1997
0.23,mli,1998
0.21,mli,1999
0.19,mli,2000
0.18,mli,2001
0.16,mli,2002
0.16,mli,2003
0.15,mli,2004
0.14,mli,2005
0.14,mli,2006
0.12,mli,2007
0.11,mli,2008
0.11,mli,2009
0.1,mli,2010
0.1,mli,2011
0.06,mlt,2011
0.2,mrt,2011
0.06,mus,2011
0.06,mex,1990
0.06,mex,1991
0.06,mex,1992
0.06,mex,1993
0.06,mex,1994
0.06,mex,1995
0.06,mex,1996
0.06,mex,1997
0.06,mex,1998
0.06,mex,1999
0.06,mex,2000
0.06,mex,2001
0.06,mex,2002
0.06,mex,2003
0.06,mex,2004
0.06,mex,2005
0.06,mex,2006
0.06,mex,2007
0.06,mex,2008
0.06,mex,2009
0.06,mex,2010
0.06,mex,2011
0.06,mda,1990
0.06,mda,1991
0.06,mda,1992
0.06,mda,1993
0.06,mda,1994
0.06,mda,1995
0.06,mda,1996
0.12,mda,1997
0.1,mda,1998
0.06,mda,1999
0.06,mda,2000
0.06,mda,2001
0.06,mda,2002
0.06,mda,2003
0.06,mda,2004
0.06,mda,2005
0.06,mda,2006
0.06,mda,2007
0.06,mda,2008
0.06,mda,2009
0.06,mda,2010
0.06,mda,2011
0.06,mng,2011
0.06,mar,2011
0.39,moz,1990
0.51,moz,1991
0.64,moz,1992
0.78,moz,1993
0.93,moz,1994
1.06,moz,1995
1.2,moz,1996
1.34,moz,1997
1.48,moz,1998
1.63,moz,1999
1.74,moz,2000
1.77,moz,2001
1.74,moz,2002
1.65,moz,2003
1.55,moz,2004
1.45,moz,2005
1.36,moz,2006
1.28,moz,2007
1.22,moz,2008
1.19,moz,2009
0.06,mmr,1990
0.06,mmr,1991
0.06,mmr,1992
0.06,mmr,1993
0.06,mmr,1994
0.06,mmr,1995
0.06,mmr,1996
0.1,mmr,1997
0.11,mmr,1998
0.12,mmr,1999
0.11,mmr,2000
0.1,mmr,2001
0.06,mmr,2002
0.06,mmr,2003
0.06,mmr,2004
0.06,mmr,2005
0.06,mmr,2006
0.06,mmr,2007
0.06,mmr,2008
0.06,mmr,2009
0.06,mmr,2010
0.06,mmr,2011
0.56,nam,1990
0.74,nam,1991
0.97,nam,1992
1.28,nam,1993
1.64,nam,1994
2.07,nam,1995
2.5,nam,1996
2.71,nam,1997
2.72,nam,1998
2.64,nam,1999
2.53,nam,2000
2.39,nam,2001
1.94,nam,2002
1.56,nam,2003
1.36,nam,2004
1.17,nam,2005
1.01,nam,2006
0.91,nam,2007
0.86,nam,2008
0.84,nam,2009
0.84,nam,2010
0.77,nam,2011
0.06,npl,1990
0.06,npl,1991
0.06,npl,1992
0.06,npl,1993
0.06,npl,1994
0.06,npl,1995
0.06,npl,1996
0.06,npl,1997
0.06,npl,1998
0.06,npl,1999
0.06,npl,2000
0.06,npl,2001
0.06,npl,2002
0.06,npl,2003
0.06,npl,2004
0.06,npl,2005
0.06,npl,2006
0.06,npl,2007
0.06,npl,2008
0.06,npl,2009
0.06,npl,2010
0.06,npl,2011
0.06,nld,2011
0.06,nzl,2011
0.06,nic,2011
0.06,ner,1990
0.06,ner,1991
0.06,ner,1992
0.1,ner,1993
0.11,ner,1994
0.11,ner,1995
0.11,ner,1996
0.11,ner,1997
0.11,ner,1998
0.11,ner,1999
0.11,ner,2000
0.11,ner,2001
0.1,ner,2002
0.1,ner,2003
0.1,ner,2004
0.1,ner,2005
0.1,ner,2006
0.06,ner,2007
0.06,ner,2008
0.06,ner,2009
0.06,ner,2010
0.06,ner,2011
0.21,nga,1990
0.29,nga,1991
0.37,nga,1992
0.46,nga,1993
0.53,nga,1994
0.58,nga,1995
0.6,nga,1996
0.58,nga,1997
0.56,nga,1998
0.53,nga,1999
0.47,nga,2000
0.42,nga,2001
0.4,nga,2002
0.37,nga,2003
0.35,nga,2004
0.35,nga,2005
0.38,nga,2006
0.39,nga,2007
0.39,nga,2008
0.41,nga,2009
0.42,nga,2010
0.36,nga,2011
0.06,nor,2011
0.06,pak,2011
0.06,pan,1990
0.06,pan,1991
0.11,pan,1992
0.43,pan,1993
0.65,pan,1994
0.38,pan,1995
0.12,pan,1996
0.06,pan,1997
0.06,pan,1998
0.06,pan,1999
0.06,pan,2000
0.06,pan,2001
0.06,pan,2002
0.06,pan,2003
0.06,pan,2004
0.06,pan,2005
0.06,pan,2006
0.06,pan,2007
0.06,pan,2008
0.06,pan,2009
0.06,pan,2011
0.06,png,1990
0.06,png,1991
0.06,png,1992
0.1,png,1993
0.1,png,1994
0.11,png,1995
0.11,png,1996
0.11,png,1997
0.1,png,1998
0.1,png,1999
0.06,png,2000
0.06,png,2001
0.06,png,2002
0.06,png,2003
0.06,png,2004
0.06,png,2005
0.06,png,2006
0.06,png,2007
0.06,png,2008
0.06,png,2009
0.06,png,2010
