geo,total_health_spending_per_person_international_dollar,time
eth,13.84,1997
eth,15.43,1998
eth,17.24,1999
eth,20.1,2000
eth,23.87,2001
eth,23.91,2002
eth,24.28,2003
eth,24.41,2004
eth,26.15,2005
eth,29.76,2006
eth,38.15,2007
eth,38.12,2008
eth,42.1,2009
eth,50.63,2010
fji,91.73,1995
fji,101.6,1996
fji,108.3,1997
fji,99.82,1998
fji,107.6,1999
fji,132.6,2000
fji,116.6,2001
fji,129.6,2002
fji,128.4,2003
fji,149.2,2004
fji,156.0,2005
fji,173.4,2006
fji,170.3,2007
fji,167.8,2008
fji,196.7,2009
fji,198.4,2010
fin,1475.0,1995
fin,1547.0,1996
fin,1616.0,1997
fin,1659.0,1998
fin,1741.0,1999
fin,1853.0,2000
fin,1970.0,2001
fin,2150.0,2002
fin,2251.0,2003
fin,2452.0,2004
fin,2589.0,2005
fin,2764.0,2006
fin,2910.0,2007
fin,3158.0,2008
fin,3226.0,2009
fin,3281.0,2010
fra,2096.0,1995
fra,2157.0,1996
fra,2224.0,1997
fra,2308.0,1998
fra,2397.0,1999
fra,2546.0,2000
fra,2718.0,2001
fra,2923.0,2002
fra,2983.0,2003
fra,3112.0,2004
fra,3296.0,2005
fra,3484.0,2006
fra,3671.0,2007
fra,3801.0,2008
fra,3969.0,2009
fra,4021.0,2010
gab,361.1,1995
gab,365.4,1996
gab,328.1,1997
gab,467.5,1998
gab,358.7,1999
gab,293.1,2000
gab,342.9,2001
gab,380.9,2002
gab,407.7,2003
gab,373.7,2004
gab,338.1,2005
gab,372.7,2006
gab,409.0,2007
gab,383.6,2008
gab,511.2,2009
gab,521.7,2010
gmb,54.42,1995
gmb,49.02,1996
gmb,47.38,1997
gmb,56.32,1998
gmb,56.46,1999
gmb,59.39,2000
gmb,62.63,2001
gmb,60.35,2002
gmb,63.74,2003
gmb,73.21,2004
gmb,71.42,2005
gmb,69.16,2006
gmb,65.3,2007
gmb,68.35,2008
gmb,83.37,2009
gmb,79.66,2010
geo,103.9,1995
geo,114.9,1996
geo,140.0,1997
geo,121.5,1998
geo,123.4,1999
geo,143.3,2000
geo,175.2,2001
geo,212.3,2002
geo,237.2,2003
geo,262.4,2004
geo,302.4,2005
geo,336.0,2006
geo,380.4,2007
geo,440.1,2008
geo,486.6,2009
geo,522.0,2010
deu,2276.0,1995
deu,2402.0,1996
deu,2417.0,1997
deu,2490.0,1998
deu,2591.0,1999
deu,2679.0,2000
deu,2807.0,2001
deu,2945.0,2002
deu,3098.0,2003
deu,3170.0,2004
deu,3364.0,2005
deu,3566.0,2006
deu,3724.0,2007
deu,3963.0,2008
deu,4219.0,2009
deu,4332.0,2010
gha,41.56,1995
gha,42.24,1996
gha,45.26,1997
gha,45.98,1998
gha,45.4,1999
gha,44.83,2000
gha,54.97,2001
gha,48.37,2002
gha,51.76,2003
gha,69.41,2004
gha,84.78,2005
gha,68.87,2006
gha,83.33,2007
gha,83.75,2008
gha,76.67,2009
gha,84.89,2010
grc,1260.0,1995
grc,1298.0,1996
grc,1354.0,1997
grc,1382.0,1998
grc,1468.0,1999
grc,1451.0,2000
grc,1754.0,2001
grc,1965.0,2002
grc,2028.0,2003
grc,2091.0,2004
grc,2352.0,2005
grc,2608.0,2006
grc,2724.0,2007
grc,2998.0,2008
grc,3054.0,2009
grc,2853.0,2010
grd,286.1,1995
grd,303.4,1996
grd,336.4,1997
grd,367.3,1998
grd,434.1,1999
grd,513.8,2000
grd,593.8,2001
grd,536.7,2002
grd,550.0,2003
grd,505.7,2004
grd,609.2,2005
grd,639.8,2006
grd,654.8,2007
grd,642.5,2008
grd,639.4,2009
grd,594.1,2010
gtm,109.3,1995
gtm,110.3,1996
gtm,119.6,1997
gtm,139.5,1998
gtm,160.7,1999
gtm,194.3,2000
gtm,218.7,2001
gtm,216.5,2002
gtm,230.7,2003
gtm,239.2,2004
gtm,250.5,2005
gtm,317.9,2006
gtm,331.8,2007
gtm,329.6,2008
gtm,321.5,2009
gtm,324.9,2010
gin,35.79,1995
gin,37.57,1996
gin,38.85,1997
gin,41.28,1998
gin,43.08,1999
gin,44.44,2000
gin,47.91,2001
gin,51.07,2002
gin,49.22,2003
gin,49.35,2004
gin,48.47,2005
gin,53.48,2006
gin,55.86,2007
gin,60.38,2008
gin,60.14,2009
gin,56.32,2010
gnb,117.2,1995
gnb,99.38,1996
gnb,85.92,1997
gnb,62.05,1998
gnb,54.26,1999
gnb,62.81,2000
gnb,59.89,2001
gnb,65.72,2002
gnb,53.39,2003
gnb,53.42,2004
gnb,57.0,2005
gnb,60.11,2006
gnb,62.02,2007
gnb,64.6,2008
gnb,90.65,2009
gnb,100.1,2010
guy,86.7,1995
guy,91.78,1996
guy,105.2,1997
guy,105.8,1998
guy,99.11,1999
guy,123.4,2000
guy,130.0,2001
guy,135.4,2002
guy,132.0,2003
guy,190.8,2004
guy,233.7,2005
guy,164.5,2006
guy,143.5,2007
guy,169.5,2008
guy,182.3,2009
guy,166.7,2010
hti,59.17,1995
hti,60.03,1996
hti,59.3,1997
hti,58.28,1998
hti,56.25,1999
hti,61.06,2000
hti,56.48,2001
hti,52.5,2002
hti,47.47,2003
hti,45.69,2004
hti,45.1,2005
hti,60.72,2006
hti,62.14,2007
hti,61.04,2008
hti,71.12,2009
hti,76.2,2010
hnd,120.4,1995
hnd,115.2,1996
hnd,118.7,1997
hnd,139.8,1998
hnd,137.8,1999
hnd,137.7,2000
hnd,143.6,2001
hnd,165.3,2002
hnd,182.2,2003
hnd,197.3,2004
hnd,191.1,2005
hnd,202.3,2006
hnd,223.9,2007
hnd,238.8,2008
hnd,268.1,2009
hun,658.2,1995
hun,657.6,1996
hun,678.4,1997
hun,763.1,1998
hun,809.8,1999
hun,852.6,2000
hun,970.0,2001
hun,1114.0,2002
hun,1283.0,2003
hun,1305.0,2004
hun,1411.0,2005
hun,1486.0,2006
hun,1432.0,2007
hun,1495.0,2008
hun,1510.0,2009
hun,1469.0,2010
isl,1957.0,1995
isl,2016.0,1996
isl,2523.0,1997
isl,2557.0,1998
isl,2922.0,1999
isl,2829.0,2000
isl,2929.0,2001
isl,3240.0,2002
isl,3267.0,2003
isl,3397.0,2004
isl,3383.0,2005
isl,3371.0,2006
isl,3500.0,2007
isl,3656.0,2008
isl,3577.0,2009
isl,3279.0,2010
ind,47.11,1995
ind,49.09,1996
ind,55.75,1997
ind,59.67,1998
ind,60.27,1999
ind,66.65,2000
ind,74.27,2001
ind,75.39,2002
ind,80.06,2003
ind,82.34,2004
ind,92.06,2005
ind,99.14,2006
ind,107.6,2007
ind,115.7,2008
ind,124.2,2009
ind,132.2,2010
idn,43.06,1995
idn,47.55,1996
idn,48.42,1997
idn,45.28,1998
idn,50.11,1999
idn,45.5,2000
idn,54.32,2001
idn,57.02,2002
idn,68.27,2003
idn,68.06,2004
idn,74.36,2005
idn,83.56,2006
idn,98.38,2007
idn,95.26,2008
idn,100.4,2009
idn,112.1,2010
irn,209.7,1995
irn,216.6,1996
irn,247.5,1997
irn,279.5,1998
irn,289.0,1999
irn,305.6,2000
irn,353.5,2001
irn,382.1,2002
irn,393.1,2003
irn,425.7,2004
