geo,population_aged_60plus_years_total_number,time
deu,20500000,2005
deu,21320000,2010
deu,22680000,2015
deu,24350000,2020
deu,26620000,2025
deu,28450000,2030
deu,28600000,2035
deu,28330000,2040
deu,28120000,2045
deu,27870000,2050
gha,205000,1950
gha,245000,1955
gha,295000,1960
gha,347000,1965
gha,388000,1970
gha,450000,1975
gha,502000,1980
gha,606000,1985
gha,714000,1990
gha,853000,1995
gha,1013000,2000
gha,1193000,2005
gha,1400000,2010
gha,1601000,2015
gha,1874000,2020
gha,2232000,2025
gha,2673000,2030
gha,3202000,2035
gha,3827000,2040
gha,4543000,2045
gha,5336000,2050
grc,754000,1950
grc,858000,1955
grc,1005000,1960
grc,1132000,1965
grc,1430000,1970
grc,1573000,1975
grc,1682000,1980
grc,1768000,1985
grc,2030000,1990
grc,2280000,1995
grc,2447000,2000
grc,2542000,2005
grc,2715000,2010
grc,2885000,2015
grc,3084000,2020
grc,3284000,2025
grc,3549000,2030
grc,3787000,2035
grc,4012000,2040
grc,4134000,2045
grc,4113000,2050
grd,5000,1950
grd,6000,1955
grd,6000,1960
grd,6000,1965
grd,8000,1970
grd,7000,1975
grd,8000,1980
grd,8000,1985
grd,10000,1990
grd,10000,1995
grd,10000,2000
grd,10000,2005
grd,8000,2010
grd,11000,2015
grd,11000,2020
grd,16000,2025
grd,16000,2030
grd,18000,2035
grd,20000,2040
grd,22000,2045
grd,28000,2050
glp,14000,1950
glp,16000,1955
glp,20000,1960
glp,20000,1965
glp,24000,1970
glp,28000,1975
glp,31000,1980
glp,37000,1985
glp,44000,1990
glp,52000,1995
glp,59000,2000
glp,76000,2005
glp,84000,2010
glp,93000,2015
glp,106000,2020
glp,122000,2025
glp,136000,2030
