surface_area_sq_km,geo,time
22970.0,blz,1983
22970.0,blz,1984
22970.0,blz,1985
22970.0,blz,1986
22970.0,blz,1987
22970.0,blz,1988
22970.0,blz,1989
22970.0,blz,1990
22970.0,blz,1991
22970.0,blz,1992
22970.0,blz,1993
22970.0,blz,1994
22970.0,blz,1995
22970.0,blz,1996
22970.0,blz,1997
22970.0,blz,1998
22970.0,blz,1999
22970.0,blz,2000
22970.0,blz,2001
22970.0,blz,2002
22970.0,blz,2003
22970.0,blz,2004
22970.0,blz,2005
22970.0,blz,2006
22970.0,blz,2007
22970.0,blz,2008
22970.0,blz,2009
22970.0,blz,2010
112600.0,ben,1961
112600.0,ben,1962
112600.0,ben,1963
112600.0,ben,1964
112600.0,ben,1965
112600.0,ben,1966
112600.0,ben,1967
112600.0,ben,1968
112600.0,ben,1969
112600.0,ben,1970
112600.0,ben,1971
112600.0,ben,1972
112600.0,ben,1973
112600.0,ben,1974
112600.0,ben,1975
112600.0,ben,1976
112600.0,ben,1977
112600.0,ben,1978
112600.0,ben,1979
112600.0,ben,1980
112600.0,ben,1981
112600.0,ben,1982
112600.0,ben,1983
112600.0,ben,1984
112600.0,ben,1985
112600.0,ben,1986
112600.0,ben,1987
112600.0,ben,1988
112600.0,ben,1989
112600.0,ben,1990
112600.0,ben,1991
112600.0,ben,1992
112600.0,ben,1993
112600.0,ben,1994
112600.0,ben,1995
112600.0,ben,1996
112600.0,ben,1997
112600.0,ben,1998
112600.0,ben,1999
112600.0,ben,2000
112600.0,ben,2001
112600.0,ben,2002
112600.0,ben,2003
112600.0,ben,2004
112600.0,ben,2005
112600.0,ben,2006
112600.0,ben,2007
112600.0,ben,2008
112600.0,ben,2009
112600.0,ben,2010
50.0,bmu,1961
50.0,bmu,1962
50.0,bmu,1963
50.0,bmu,1964
50.0,bmu,1965
50.0,bmu,1966
50.0,bmu,1967
50.0,bmu,1968
50.0,bmu,1969
50.0,bmu,1970
50.0,bmu,1971
50.0,bmu,1972
50.0,bmu,1973
50.0,bmu,1974
50.0,bmu,1975
50.0,bmu,1976
50.0,bmu,1977
50.0,bmu,1978
50.0,bmu,1979
50.0,bmu,1980
50.0,bmu,1981
50.0,bmu,1982
50.0,bmu,1983
50.0,bmu,1984
50.0,bmu,1985
50.0,bmu,1986
50.0,bmu,1987
50.0,bmu,1988
50.0,bmu,1989
50.0,bmu,1990
50.0,bmu,1991
50.0,bmu,1992
50.0,bmu,1993
50.0,bmu,1994
50.0,bmu,1995
50.0,bmu,1996
50.0,bmu,1997
50.0,bmu,1998
50.0,bmu,1999
50.0,bmu,2000
50.0,bmu,2001
50.0,bmu,2002
50.0,bmu,2003
50.0,bmu,2004
50.0,bmu,2005
50.0,bmu,2006
50.0,bmu,2007
50.0,bmu,2008
50.0,bmu,2009
50.0,bmu,2010
47000.0,btn,1961
47000.0,btn,1962
47000.0,btn,1963
47000.0,btn,1964
47000.0,btn,1965
47000.0,btn,1966
47000.0,btn,1967
47000.0,btn,1968
47000.0,btn,1969
47000.0,btn,1970
47000.0,btn,1971
47000.0,btn,1972
47000.0,btn,1973
47000.0,btn,1974
47000.0,btn,1975
47000.0,btn,1976
47000.0,btn,1977
47000.0,btn,1978
47000.0,btn,1979
47000.0,btn,1980
47000.0,btn,1981
47000.0,btn,1982
47000.0,btn,1983
47000.0,btn,1984
47000.0,btn,1985
47000.0,btn,1986
47000.0,btn,1987
47000.0,btn,1988
47000.0,btn,1989
47000.0,btn,1990
47000.0,btn,1991
47000.0,btn,1992
47000.0,btn,1993
40070.0,btn,1994
40070.0,btn,1995
40070.0,btn,1996
40070.0,btn,1997
40070.0,btn,1998
40070.0,btn,1999
40070.0,btn,2000
40070.0,btn,2001
40070.0,btn,2002
40070.0,btn,2003
38390.0,btn,2004
38390.0,btn,2005
38390.0,btn,2006
38390.0,btn,2007
38390.0,btn,2008
38390.0,btn,2009
38390.0,btn,2010
1099000.0,bol,1961
1099000.0,bol,1962
1099000.0,bol,1963
1099000.0,bol,1964
1099000.0,bol,1965
1099000.0,bol,1966
1099000.0,bol,1967
1099000.0,bol,1968
1099000.0,bol,1969
1099000.0,bol,1970
1099000.0,bol,1971
1099000.0,bol,1972
1099000.0,bol,1973
1099000.0,bol,1974
1099000.0,bol,1975
1099000.0,bol,1976
1099000.0,bol,1977
1099000.0,bol,1978
1099000.0,bol,1979
1099000.0,bol,1980
1099000.0,bol,1981
1099000.0,bol,1982
1099000.0,bol,1983
1099000.0,bol,1984
1099000.0,bol,1985
1099000.0,bol,1986
1099000.0,bol,1987
1099000.0,bol,1988
1099000.0,bol,1989
1099000.0,bol,1990
1099000.0,bol,1991
1099000.0,bol,1992
1099000.0,bol,1993
1099000.0,bol,1994
1099000.0,bol,1995
1099000.0,bol,1996
1099000.0,bol,1997
1099000.0,bol,1998
1099000.0,bol,1999
1099000.0,bol,2000
1099000.0,bol,2001
1099000.0,bol,2002
1099000.0,bol,2003
1099000.0,bol,2004
1099000.0,bol,2005
1099000.0,bol,2006
1099000.0,bol,2007
1099000.0,bol,2008
1099000.0,bol,2009
1099000.0,bol,2010
51210.0,bih,1961
51210.0,bih,1962
51210.0,bih,1963
51210.0,bih,1964
51210.0,bih,1965
51210.0,bih,1966
51210.0,bih,1967
51210.0,bih,1968
51210.0,bih,1969
51210.0,bih,1970
51210.0,bih,1971
51210.0,bih,1972
51210.0,bih,1973
51210.0,bih,1974
51210.0,bih,1975
51210.0,bih,1976
51210.0,bih,1977
51210.0,bih,1978
51210.0,bih,1979
51210.0,bih,1980
51210.0,bih,1981
51210.0,bih,1982
51210.0,bih,1983
51210.0,bih,1984
51210.0,bih,1985
51210.0,bih,1986
51210.0,bih,1987
51210.0,bih,1988
51210.0,bih,1989
51210.0,bih,1990
51210.0,bih,1991
51210.0,bih,1992
51210.0,bih,1993
51210.0,bih,1994
51210.0,bih,1995
51210.0,bih,1996
51210.0,bih,1997
51210.0,bih,1998
51210.0,bih,1999
51210.0,bih,2000
51210.0,bih,2001
51210.0,bih,2002
51210.0,bih,2003
51210.0,bih,2004
51210.0,bih,2005
51210.0,bih,2006
51210.0,bih,2007
51210.0,bih,2008
51210.0,bih,2009
51210.0,bih,2010
581700.0,bwa,1961
581700.0,bwa,1962
581700.0,bwa,1963
581700.0,bwa,1964
581700.0,bwa,1965
581700.0,bwa,1966
581700.0,bwa,1967
581700.0,bwa,1968
581700.0,bwa,1969
581700.0,bwa,1970
581700.0,bwa,1971
581700.0,bwa,1972
581700.0,bwa,1973
581700.0,bwa,1974
581700.0,bwa,1975
581700.0,bwa,1976
581700.0,bwa,1977
581700.0,bwa,1978
581700.0,bwa,1979
581700.0,bwa,1980
581700.0,bwa,1981
581700.0,bwa,1982
581700.0,bwa,1983
581700.0,bwa,1984
581700.0,bwa,1985
581700.0,bwa,1986
581700.0,bwa,1987
581700.0,bwa,1988
581700.0,bwa,1989
581700.0,bwa,1990
581700.0,bwa,1991
581700.0,bwa,1992
581700.0,bwa,1993
581700.0,bwa,1994
581700.0,bwa,1995
581700.0,bwa,1996
581700.0,bwa,1997
581700.0,bwa,1998
581700.0,bwa,1999
581700.0,bwa,2000
581700.0,bwa,2001
581700.0,bwa,2002
581700.0,bwa,2003
581700.0,bwa,2004
