geo,population_density_per_square_km,time
blz,4.92,1967
blz,5.063,1968
blz,5.201,1969
blz,5.327,1970
blz,5.442,1971
blz,5.547,1972
blz,5.643,1973
blz,5.732,1974
blz,5.816,1975
blz,5.893,1976
blz,5.966,1977
blz,6.044,1978
blz,6.14,1979
blz,6.263,1980
blz,6.416,1981
blz,6.598,1982
blz,6.8,1983
blz,7.01,1984
blz,7.219,1985
blz,7.424,1986
blz,7.628,1987
blz,7.836,1988
blz,8.053,1989
blz,8.284,1990
blz,8.53,1991
blz,8.788,1992
blz,9.055,1993
blz,9.325,1994
blz,9.593,1995
blz,9.858,1996
blz,10.12,1997
blz,10.38,1998
blz,10.64,1999
blz,10.91,2000
blz,11.17,2001
blz,11.44,2002
blz,11.7,2003
blz,11.97,2004
blz,12.23,2005
blz,12.5,2006
blz,12.76,2007
blz,13.03,2008
blz,13.3,2009
blz,13.57,2010
ben,20.02,1950
ben,20.05,1951
ben,20.11,1952
ben,20.19,1953
ben,20.3,1954
ben,20.44,1955
ben,20.6,1956
ben,20.79,1957
ben,21.0,1958
ben,21.23,1959
ben,21.48,1960
ben,21.76,1961
ben,22.07,1962
ben,22.39,1963
ben,22.74,1964
ben,23.11,1965
ben,23.5,1966
ben,23.91,1967
ben,24.34,1968
ben,24.81,1969
ben,25.3,1970
ben,25.83,1971
ben,26.39,1972
ben,26.98,1973
ben,27.6,1974
ben,28.25,1975
ben,28.95,1976
ben,29.67,1977
ben,30.43,1978
ben,31.23,1979
ben,32.06,1980
ben,32.93,1981
ben,33.84,1982
ben,34.79,1983
ben,35.76,1984
ben,36.76,1985
ben,37.78,1986
ben,38.81,1987
ben,39.91,1988
ben,41.09,1989
ben,42.38,1990
ben,43.81,1991
ben,45.36,1992
ben,46.98,1993
ben,48.6,1994
ben,50.18,1995
ben,51.7,1996
ben,53.17,1997
ben,54.65,1998
ben,56.2,1999
ben,57.87,2000
ben,59.68,2001
ben,61.6,2002
ben,63.62,2003
ben,65.69,2004
ben,67.78,2005
ben,69.89,2006
ben,72.03,2007
ben,74.19,2008
ben,76.38,2009
ben,78.58,2010
bmu,703.0,1950
bmu,713.1,1951
bmu,725.0,1952
bmu,738.2,1953
bmu,752.2,1954
bmu,766.7,1955
bmu,781.6,1956
bmu,796.8,1957
bmu,812.1,1958
bmu,827.7,1959
bmu,843.6,1960
bmu,859.9,1961
bmu,876.2,1962
bmu,892.2,1963
bmu,907.4,1964
bmu,921.5,1965
bmu,934.3,1966
bmu,945.8,1967
bmu,956.4,1968
bmu,966.6,1969
bmu,976.7,1970
bmu,986.8,1971
bmu,996.8,1972
bmu,1007.0,1973
bmu,1016.0,1974
bmu,1024.0,1975
bmu,1032.0,1976
bmu,1039.0,1977
bmu,1045.0,1978
bmu,1052.0,1979
bmu,1058.0,1980
