geo,liver_cancer_deaths_per_100000_women,time
pan,1.36,1981
pan,2.44,1982
pan,1.24,1983
pan,0.9,1984
pan,1.46,1985
pan,0.9,1986
pan,0.93,1987
pan,1.49,1996
pan,1.77,1997
pan,3.27,1998
pan,2.7,1999
pan,2.1,2000
pan,2.35,2001
pan,2.46,2002
png,9.5,2002
pry,4.8,2002
per,10.9,2002
phl,5.8,2002
pol,7.2,1980
pol,7.14,1981
pol,6.97,1982
pol,6.59,1983
pol,6.22,1984
pol,5.98,1985
pol,5.88,1986
pol,5.47,1987
pol,5.63,1988
pol,5.35,1989
pol,4.8,1990
pol,4.82,1991
pol,4.68,1992
pol,4.28,1993
pol,3.84,1994
pol,3.72,1995
pol,3.62,1996
pol,3.14,1999
pol,2.9,2000
pol,2.85,2001
pol,2.64,2002
prt,0.29,1980
prt,0.58,1981
prt,0.44,1982
prt,0.29,1983
prt,0.49,1984
prt,0.39,1985
prt,0.28,1986
prt,0.36,1987
prt,0.26,1988
prt,0.5,1989
prt,0.59,1990
prt,0.58,1991
prt,0.46,1992
prt,0.74,1993
prt,0.76,1994
prt,1.0,1995
prt,0.95,1996
prt,0.98,1997
prt,0.77,1998
prt,0.85,1999
prt,0.87,2000
prt,1.93,2002
pri,4.1,2002
qat,8.5,2002
rou,1.04,1980
rou,0.7,1981
rou,0.8,1982
rou,0.92,1983
rou,0.71,1984
rou,0.58,1985
rou,0.77,1986
rou,1.11,1987
rou,1.17,1988
rou,1.31,1989
rou,1.52,1990
rou,1.45,1991
rou,1.45,1992
rou,1.74,1993
rou,3.72,1994
rou,3.83,1995
rou,3.66,1996
rou,4.04,1997
rou,3.97,1998
rou,3.51,1999
rou,3.88,2000
rou,3.71,2001
rou,3.64,2002
rus,2.6,2002
rwa,19.1,2002
wsm,3.8,2002
sau,5.3,2002
sen,13.6,2002
scg,4.0,2002
sle,5.5,2002
sgp,6.0,2002
svk,3.88,1994
svk,3.51,1995
svk,3.54,1996
svk,2.87,1997
svk,3.45,1998
svk,2.54,1999
svk,2.99,2000
svk,3.14,2001
svk,3.14,2002
svn,1.32,1985
svn,2.23,1986
svn,1.71,1987
svn,1.35,1988
svn,2.23,1989
svn,1.65,1990
svn,1.02,1991
svn,0.89,1992
svn,1.2,1993
svn,2.18,1994
svn,0.89,1995
svn,1.42,1996
svn,2.74,1997
svn,2.22,1998
svn,2.16,1999
svn,1.97,2000
svn,2.07,2001
svn,2.24,2002
slb,8.5,2002
som,8.5,2002
zaf,3.62,1996
zaf,3.55,1997
zaf,3.5,1998
zaf,3.58,1999
zaf,3.73,2000
zaf,3.6,2001
zaf,3.48,2002
esp,6.0,1980
esp,5.29,1981
esp,5.22,1982
esp,3.41,1983
esp,0.83,1984
esp,0.66,1985
esp,0.72,1986
esp,1.04,1987
esp,1.18,1988
esp,1.21,1989
esp,1.31,1990
esp,1.15,1991
esp,1.33,1992
esp,1.25,1993
esp,1.34,1994
esp,1.35,1995
esp,1.42,1996
esp,1.31,1997
esp,1.36,1998
esp,2.9,1999
esp,2.72,2000
esp,2.66,2001
esp,2.69,2002
lka,0.5,2002
sdn,2.4,2002
sur,0.85,1979
sur,1.77,1980
sur,0.92,1982
sur,1.73,1984
sur,1.53,1985
sur,0.99,1986
sur,0.69,1987
sur,0.37,1988
sur,0.81,1989
sur,1.93,1990
sur,1.38,1992
sur,2.6,1995
sur,2.36,1996
sur,5.6,1998
sur,1.79,1999
sur,4.03,2000
sur,1.9,2002
swz,4.9,2002
swe,0.71,1958
swe,0.64,1959
swe,0.71,1960
swe,0.56,1961
swe,0.83,1962
swe,0.55,1963
swe,0.6,1964
swe,0.75,1965
swe,0.47,1966
swe,0.7,1968
swe,1.18,1987
swe,1.37,1988
swe,1.15,1989
swe,1.57,1990
swe,1.06,1991
swe,1.19,1992
swe,1.35,1993
swe,1.39,1994
swe,1.25,1995
swe,1.51,1996
swe,2.46,1997
swe,2.32,1998
swe,2.17,1999
swe,1.9,2000
swe,2.12,2001
swe,1.95,2002
che,1.6,2002
syr,0.8,2002
tjk,1.9,2002
tza,2.2,2002
tha,7.0,1994
tha,6.5,1995
tha,5.34,1996
tha,5.49,1997
tha,7.21,1998
tha,7.26,1999
tha,8.05,2000
tha,9.52,2002
tgo,5.5,2002
tto,1.54,1979
tto,0.76,1980
tto,0.98,1981
tto,0.87,1982
tto,1.07,1983
tto,1.03,1984
tto,0.43,1985
tto,0.66,1986
tto,0.62,1987
tto,0.96,1988
tto,0.82,1989
tto,1.04,1990
tto,1.25,1991
tto,1.61,1992
tto,0.99,1993
tto,0.72,1994
tto,0.79,1995
tto,0.55,1996
tto,0.85,1998
tto,2.39,1999
tto,2.86,2000
tto,1.42,2001
tto,2.94,2002
tun,1.1,2002
tur,1.4,2002
tkm,2.5,2002
uga,5.0,2002
ukr,1.8,2002
are,0.6,2002
gbr,0.48,1958
gbr,0.49,1959
gbr,0.57,1960
gbr,0.5,1961
gbr,0.52,1962
gbr,0.48,1979
gbr,0.5,1980
gbr,0.47,1981
gbr,0.46,1982
gbr,0.48,1983
gbr,0.52,1984
gbr,0.49,1985
gbr,0.46,1986
gbr,0.51,1987
gbr,0.44,1988
gbr,0.48,1989
gbr,0.43,1990
gbr,0.47,1991
gbr,0.45,1992
gbr,0.3,1993
gbr,0.26,1994
gbr,0.3,1995
gbr,0.34,1996
gbr,0.31,1997
gbr,0.32,1998
gbr,0.38,1999
gbr,0.47,2000
gbr,1.39,2001
gbr,1.45,2002
usa,0.58,1958
usa,0.59,1959
usa,0.56,1960
usa,0.59,1961
usa,0.61,1962
usa,0.52,1963
usa,0.58,1964
usa,0.54,1965
usa,0.51,1966
usa,0.54,1967
usa,0.47,1979
usa,0.5,1980
usa,0.44,1981
usa,0.47,1982
usa,0.49,1983
usa,0.49,1984
usa,0.53,1985
usa,0.48,1986
usa,0.49,1987
usa,0.51,1988
usa,0.54,1989
usa,0.63,1990
usa,0.59,1991
usa,0.64,1992
usa,0.61,1993
usa,0.6,1994
usa,0.68,1995
usa,0.65,1996
usa,0.69,1997
usa,0.66,1998
usa,1.76,1999
usa,1.76,2000
usa,1.77,2001
usa,1.78,2002
ury,1.97,1966
ury,1.3,1967
ury,0.49,1980
ury,0.39,1981
ury,0.11,1982
ury,0.42,1983
ury,0.49,1984
ury,0.45,1985
ury,0.66,1986
ury,0.33,1987
ury,0.1,1988
ury,0.24,1989
ury,0.34,1990
ury,0.18,1993
ury,0.27,1994
ury,0.25,1995
ury,0.27,1996
ury,0.72,1997
ury,0.75,1998
ury,0.47,1999
ury,0.87,2000
ury,1.14,2001
ury,0.8,2002
uzb,2.1,2002
vut,6.5,2002
ven,2.71,1958
ven,4.38,1959
ven,4.38,1960
ven,4.1,1961
ven,3.52,1962
ven,2.45,1963
ven,2.48,1964
ven,2.51,1965
ven,2.38,1966
ven,2.41,1967
ven,4.06,1979
ven,3.32,1980
ven,1.56,1981
ven,1.24,1982
ven,1.2,1983
ven,1.05,1985
ven,1.29,1986
ven,1.6,1987
ven,0.9,1988
ven,0.94,1989
ven,0.97,1990
ven,0.81,1992
ven,0.64,1993
ven,0.64,1994
ven,4.05,1996
ven,3.91,1997
ven,3.97,1998
ven,3.73,1999
ven,3.28,2000
ven,3.64,2001
ven,3.46,2002
vnm,5.5,2002
yem,2.3,2002
zmb,9.3,2002
zwe,10.5,2002
