geo,sex_ratio_above_50_years,time
kaz,64.65,2010
kaz,63.93,2015
kaz,63.54,2020
kaz,63.59,2025
kaz,64.05,2030
kaz,65.71,2035
kaz,68.26,2040
kaz,70.19,2045
kaz,71.21,2050
ken,84.02,1950
ken,87.31,1955
ken,92.1,1960
ken,95.9,1965
ken,97.92,1970
ken,99.19,1975
ken,98.8,1980
ken,97.29,1985
ken,95.06,1990
ken,93.44,1995
ken,91.56,2000
ken,88.85,2005
ken,86.52,2010
ken,86.71,2015
ken,89.75,2020
ken,94.08,2025
ken,96.95,2030
ken,98.7,2035
ken,99.43,2040
ken,99.39,2045
ken,98.93,2050
kwt,112.7,1950
kwt,115.5,1955
kwt,132.5,1960
kwt,136.3,1965
kwt,126.3,1970
kwt,130.2,1975
kwt,158.1,1980
kwt,173.5,1985
kwt,173.1,1990
kwt,162.9,1995
kwt,181.0,2000
kwt,173.0,2005
kwt,172.3,2010
kwt,172.9,2015
kwt,178.8,2020
kwt,177.8,2025
kwt,172.9,2030
kwt,166.4,2035
kwt,159.0,2040
kwt,151.3,2045
kwt,142.7,2050
kgz,96.18,1950
kgz,83.08,1955
kgz,73.63,1960
kgz,66.1,1965
kgz,61.03,1970
kgz,58.94,1975
kgz,63.58,1980
kgz,67.26,1985
kgz,72.27,1990
kgz,75.06,1995
kgz,76.29,2000
kgz,77.33,2005
kgz,78.41,2010
kgz,78.74,2015
kgz,79.85,2020
kgz,80.19,2025
kgz,80.47,2030
kgz,81.07,2035
kgz,82.16,2040
kgz,83.24,2045
kgz,83.95,2050
lao,103.3,1950
lao,93.7,1955
lao,88.68,1960
lao,86.15,1965
lao,85.07,1970
lao,84.84,1975
lao,85.15,1980
lao,85.92,1985
lao,86.49,1990
lao,86.19,1995
lao,85.31,2000
lao,87.04,2005
lao,88.05,2010
lao,88.43,2015
lao,88.35,2020
lao,88.38,2025
lao,88.71,2030
lao,89.54,2035
lao,90.45,2040
lao,91.18,2045
lao,91.65,2050
lva,54.87,1950
lva,56.07,1955
lva,59.28,1960
lva,58.72,1965
lva,58.68,1970
lva,56.17,1975
lva,57.11,1980
lva,59.57,1985
lva,61.87,1990
lva,62.25,1995
lva,61.45,2000
lva,62.03,2005
lva,63.19,2010
lva,64.69,2015
lva,66.27,2020
lva,68.4,2025
lva,70.3,2030
lva,72.63,2035
lva,74.91,2040
lva,75.82,2045
lva,76.06,2050
lbn,97.99,1950
lbn,96.36,1955
lbn,95.09,1960
lbn,94.46,1965
lbn,93.73,1970
lbn,93.52,1975
lbn,93.61,1980
lbn,93.03,1985
lbn,89.92,1990
lbn,93.01,1995
lbn,95.81,2000
lbn,91.63,2005
lbn,87.37,2010
lbn,84.01,2015
lbn,81.99,2020
lbn,81.22,2025
lbn,81.36,2030
lbn,82.39,2035
lbn,83.44,2040
lbn,84.71,2045
lbn,85.95,2050
lso,60.63,1950
lso,66.69,1955
lso,73.45,1960
lso,74.22,1965
lso,73.72,1970
lso,73.96,1975
lso,73.46,1980
lso,75.7,1985
lso,77.84,1990
lso,76.71,1995
