imports_percent_of_gdp,geo,time
31.4,chn,2004
31.55,chn,2005
31.43,chn,2006
29.61,chn,2007
27.26,chn,2008
22.3,chn,2009
25.66,chn,2010
14.72,col,1960
13.79,col,1961
12.2,col,1962
12.34,col,1963
12.61,col,1964
10.4,col,1965
15.08,col,1966
11.46,col,1967
14.29,col,1968
14.37,col,1969
15.82,col,1970
16.68,col,1971
14.77,col,1972
14.39,col,1973
15.51,col,1974
14.07,col,1975
13.9,col,1976
13.27,col,1977
13.74,col,1978
13.46,col,1979
15.58,col,1980
15.43,col,1981
15.18,col,1982
13.23,col,1983
12.47,col,1984
12.53,col,1985
11.99,col,1986
12.92,col,1987
13.86,col,1988
13.82,col,1989
14.82,col,1990
13.91,col,1991
15.76,col,1992
18.76,col,1993
20.92,col,1994
20.96,col,1995
20.84,col,1996
20.76,col,1997
20.9,col,1998
17.8,col,1999
16.75,col,2000
18.6,col,2001
18.2,col,2002
20.05,col,2003
19.26,col,2004
18.79,col,2005
20.66,col,2006
19.94,col,2007
20.27,col,2008
18.18,col,2009
17.93,col,2010
51.94,com,1980
49.21,com,1981
53.84,com,1982
53.68,com,1983
55.54,com,1984
50.06,com,1985
41.49,com,1986
42.5,com,1987
41.77,com,1988
39.29,com,1989
37.15,com,1990
38.21,com,1991
41.85,com,1992
37.71,com,1993
47.25,com,1994
44.57,com,1995
41.38,com,1996
43.02,com,1997
37.26,com,1998
33.91,com,1999
32.54,com,2000
30.79,com,2001
30.76,com,2002
31.19,com,2003
32.98,com,2004
35.75,com,2005
38.61,com,2006
41.33,com,2007
48.28,com,2008
48.16,com,2009
19.42,cod,1960
9.387,cod,1961
7.441,cod,1962
31.68,cod,1963
37.3,cod,1964
27.23,cod,1965
38.02,cod,1966
16.37,cod,1967
15.3,cod,1968
14.23,cod,1969
18.22,cod,1970
18.54,cod,1971
15.78,cod,1972
15.88,cod,1973
19.03,cod,1974
15.09,cod,1975
19.65,cod,1976
19.67,cod,1977
9.197,cod,1978
10.04,cod,1979
16.35,cod,1980
17.14,cod,1981
13.95,cod,1982
17.29,cod,1983
26.12,cod,1984
25.63,cod,1985
24.03,cod,1986
28.86,cod,1987
27.82,cod,1988
24.84,cod,1989
29.2,cod,1990
24.12,cod,1991
17.52,cod,1992
9.109,cod,1993
19.89,cod,1994
