internet_users_per_100_people,geo,time
41.35,hrv,2007
50.42,hrv,2008
56.04,hrv,2009
60.12,hrv,2010
70.53,hrv,2011
0.0,cub,1990
9.166e-05,cub,1995
0.03195,cub,1996
0.06822,cub,1997
0.2267,cub,1998
0.3147,cub,1999
0.5412,cub,2000
1.08,cub,2001
3.771,cub,2002
5.241,cub,2003
8.408,cub,2004
9.738,cub,2005
11.16,cub,2006
11.69,cub,2007
12.94,cub,2008
14.33,cub,2009
15.9,cub,2010
23.23,cub,2011
0.0,cyp,1990
0.05006,cyp,1992
0.05637,cyp,1993
0.111,cyp,1994
0.4101,cyp,1995
0.6733,cyp,1996
4.378,cyp,1997
8.891,cyp,1998
11.34,cyp,1999
15.26,cyp,2000
18.82,cyp,2001
28.32,cyp,2002
30.09,cyp,2003
33.83,cyp,2004
32.81,cyp,2005
35.83,cyp,2006
40.77,cyp,2007
42.31,cyp,2008
49.81,cyp,2009
52.99,cyp,2010
57.68,cyp,2011
0.0,cze,1990
0.5808,cze,1993
1.258,cze,1994
1.452,cze,1995
1.939,cze,1996
2.913,cze,1997
3.89,cze,1998
6.817,cze,1999
9.753,cze,2000
14.68,cze,2001
23.94,cze,2002
34.27,cze,2003
35.45,cze,2004
35.22,cze,2005
47.88,cze,2006
51.83,cze,2007
62.69,cze,2008
64.14,cze,2009
68.64,cze,2010
72.89,cze,2011
0.09728,dnk,1990
0.1941,dnk,1991
0.387,dnk,1992
0.5786,dnk,1993
1.346,dnk,1994
3.826,dnk,1995
5.706,dnk,1996
11.37,dnk,1997
22.65,dnk,1998
30.58,dnk,1999
39.17,dnk,2000
42.94,dnk,2001
64.19,dnk,2002
76.17,dnk,2003
80.87,dnk,2004
82.74,dnk,2005
86.74,dnk,2006
85.15,dnk,2007
85.08,dnk,2008
86.87,dnk,2009
88.76,dnk,2010
89.98,dnk,2011
0.0,dji,1990
0.01603,dji,1995
0.03117,dji,1996
0.08294,dji,1997
0.0947,dji,1998
0.1058,dji,1999
0.1945,dji,2000
0.3435,dji,2001
0.487,dji,2002
0.6259,dji,2003
0.7813,dji,2004
0.9536,dji,2005
1.27,dji,2006
1.62,dji,2007
2.26,dji,2008
4.0,dji,2009
6.5,dji,2010
7.0,dji,2011
0.0,dma,1990
0.5488,dma,1995
1.166,dma,1996
2.925,dma,1998
2.932,dma,1999
8.815,dma,2000
13.25,dma,2001
18.42,dma,2002
23.62,dma,2003
30.32,dma,2004
38.54,dma,2005
39.4,dma,2006
40.27,dma,2007
41.16,dma,2008
42.02,dma,2009
47.45,dma,2010
51.31,dma,2011
0.0,dom,1990
0.01723,dom,1995
0.07499,dom,1996
0.1427,dom,1997
0.2339,dom,1998
1.105,dom,1999
3.705,dom,2000
4.429,dom,2001
6.824,dom,2002
7.898,dom,2003
8.866,dom,2004
11.48,dom,2005
14.84,dom,2006
17.66,dom,2007
20.82,dom,2008
27.72,dom,2009
31.4,dom,2010
35.5,dom,2011
0.0,ecu,1990
0.005118,ecu,1992
0.0164,ecu,1993
0.03483,ecu,1994
0.04383,ecu,1995
0.08616,ecu,1996
0.1102,ecu,1997
0.1253,ecu,1998
0.8234,ecu,1999
1.462,ecu,2000
2.67,ecu,2001
4.261,ecu,2002
4.46,ecu,2003
4.834,ecu,2004
5.994,ecu,2005
7.2,ecu,2006
10.8,ecu,2007
18.8,ecu,2008
24.6,ecu,2009
29.03,ecu,2010
31.4,ecu,2011
0.0,egy,1990
0.0009758,egy,1993
0.006383,egy,1994
0.03132,egy,1995
0.06147,egy,1996
0.09048,egy,1997
0.148,egy,1998
0.2904,egy,1999
0.6413,egy,2000
0.8389,egy,2001
2.72,egy,2002
4.038,egy,2003
5.151,egy,2004
11.7,egy,2005
12.55,egy,2006
16.05,egy,2007
18.01,egy,2008
24.28,egy,2009
30.2,egy,2010
35.62,egy,2011
0.0,slv,1990
0.08639,slv,1996
0.257,slv,1997
0.4253,slv,1998
0.8454,slv,1999
1.177,slv,2000
1.5,slv,2001
1.9,slv,2002
2.5,slv,2003
3.2,slv,2004
4.2,slv,2005
5.5,slv,2006
6.11,slv,2007
10.08,slv,2008
12.11,slv,2009
15.9,slv,2010
17.69,slv,2011
0.0,gnq,1990
0.04146,gnq,1997
0.09442,gnq,1998
0.09742,gnq,1999
0.1324,gnq,2000
0.1653,gnq,2001
0.3212,gnq,2002
0.5205,gnq,2003
0.8439,gnq,2004
1.15,gnq,2005
1.279,gnq,2006
1.557,gnq,2007
1.82,gnq,2008
2.13,gnq,2009
6.0,gnq,2010
0.0,eri,1990
0.0,eri,1993
0.0,eri,1994
0.0,eri,1995
0.0,eri,1996
0.009018,eri,1997
0.008774,eri,1998
0.0255,eri,1999
0.1367,eri,2000
0.1578,eri,2001
0.2271,eri,2002
0.7256,eri,2003
1.161,eri,2004
1.788,eri,2005
2.159,eri,2006
2.51,eri,2007
4.06,eri,2008
4.93,eri,2009
5.4,eri,2010
6.2,eri,2011
0.0,est,1990
0.06525,est,1992
0.3014,est,1993
1.163,est,1994
2.787,est,1995
3.535,est,1996
5.721,est,1997
10.83,est,1998
14.55,est,1999
28.6,est,2000
31.5,est,2001
41.46,est,2002
45.27,est,2003
53.17,est,2004
61.44,est,2005
63.53,est,2006
66.25,est,2007
70.66,est,2008
72.57,est,2009
74.15,est,2010
76.53,est,2011
0.0,eth,1990
1.755e-05,eth,1995
0.001703,eth,1996
0.004967,eth,1997
0.009664,eth,1998
0.01254,eth,1999
0.01526,eth,2000
0.03716,eth,2001
0.0724,eth,2002
0.1058,eth,2003
0.1553,eth,2004
0.2197,eth,2005
0.3106,eth,2006
0.37,eth,2007
0.45,eth,2008
0.54,eth,2009
0.75,eth,2010
1.1,eth,2011
0.0,fro,1990
0.0,fro,1995
2.319,fro,1996
4.601,fro,1997
11.34,fro,1998
22.3,fro,1999
32.92,fro,2000
43.25,fro,2001
53.3,fro,2002
