agriculture_percent_of_gdp,geo,time
57.0,cod,1994
57.0,cod,1995
33.55,cod,1996
48.14,cod,1997
47.48,cod,1998
52.72,cod,1999
49.97,cod,2000
59.74,cod,2001
51.01,cod,2002
51.01,cod,2003
47.26,cod,2004
45.52,cod,2005
45.67,cod,2006
42.47,cod,2007
40.21,cod,2008
42.91,cod,2009
20.49,cog,1961
19.8,cog,1962
20.95,cog,1963
21.11,cog,1964
19.14,cog,1965
19.19,cog,1966
19.86,cog,1967
19.61,cog,1968
17.71,cog,1969
17.89,cog,1970
17.14,cog,1971
16.43,cog,1972
15.73,cog,1973
15.12,cog,1974
14.48,cog,1975
13.48,cog,1976
15.43,cog,1977
16.04,cog,1978
14.31,cog,1979
11.68,cog,1980
7.883,cog,1981
7.859,cog,1982
7.583,cog,1983
6.917,cog,1984
7.447,cog,1985
12.09,cog,1986
11.94,cog,1987
13.87,cog,1988
12.93,cog,1989
12.86,cog,1990
11.32,cog,1991
11.53,cog,1992
11.25,cog,1993
10.31,cog,1994
10.45,cog,1995
8.987,cog,1996
9.139,cog,1997
10.96,cog,1998
8.356,cog,1999
5.304,cog,2000
5.8,cog,2001
6.262,cog,2002
6.275,cog,2003
5.509,cog,2004
4.544,cog,2005
3.96,cog,2006
4.327,cog,2007
3.677,cog,2008
4.506,cog,2009
3.83,cog,2010
3.745,cog,2011
13.88,cri,1983
13.33,cri,1984
11.86,cri,1985
13.2,cri,1986
13.5,cri,1987
13.03,cri,1988
12.42,cri,1989
12.27,cri,1990
13.44,cri,1991
13.34,cri,1992
13.04,cri,1993
13.39,cri,1994
13.7,cri,1995
12.85,cri,1996
12.99,cri,1997
12.83,cri,1998
10.54,cri,1999
9.457,cri,2000
8.801,cri,2001
8.536,cri,2002
8.749,cri,2003
8.623,cri,2004
8.731,cri,2005
8.918,cri,2006
8.483,cri,2007
7.206,cri,2008
7.275,cri,2009
6.852,cri,2010
7.016,cri,2011
46.41,civ,1961
45.9,civ,1962
44.17,civ,1963
39.8,civ,1964
39.62,civ,1965
37.44,civ,1966
34.76,civ,1967
35.56,civ,1968
