geo,external_debt_total_us_not_inflation_adjusted,time
com,235300000,1998
com,235900000,1999
com,236600000,2000
com,247000000,2001
com,274600000,2002
com,293100000,2003
com,307400000,2004
com,291200000,2005
com,296100000,2006
com,291000000,2007
com,281300000,2008
cod,341900000,1970
cod,403600000,1971
cod,669700000,1972
cod,1040000000,1973
cod,1532000000,1974
cod,2032000000,1975
cod,2915000000,1976
cod,3659000000,1977
cod,4489000000,1978
cod,4526000000,1979
cod,4773000000,1980
cod,5091000000,1981
cod,5078000000,1982
cod,5336000000,1983
cod,5290000000,1984
cod,6183000000,1985
cod,7191000000,1986
cod,8776000000,1987
cod,8562000000,1988
cod,9251000000,1989
cod,10260000000,1990
cod,10840000000,1991
cod,10970000000,1992
cod,11270000000,1993
cod,12320000000,1994
cod,13240000000,1995
cod,12830000000,1996
cod,12340000000,1997
cod,13200000000,1998
cod,12050000000,1999
cod,11690000000,2000
cod,11520000000,2001
cod,10060000000,2002
cod,11250000000,2003
cod,11430000000,2004
cod,10600000000,2005
cod,11240000000,2006
cod,12360000000,2007
cod,12200000000,2008
cog,118800000,1970
cog,140000000,1971
cog,158200000,1972
cog,189100000,1973
cog,260500000,1974
cog,357200000,1975
cog,381300000,1976
cog,578800000,1977
cog,780700000,1978
cog,1045000000,1979
cog,1508000000,1980
cog,1430000000,1981
cog,1913000000,1982
cog,1983000000,1983
cog,2023000000,1984
cog,2997000000,1985
cog,3490000000,1986
cog,4271000000,1987
cog,4045000000,1988
cog,4231000000,1989
cog,4916000000,1990
cog,4777000000,1991
cog,4702000000,1992
cog,4985000000,1993
cog,5305000000,1994
cog,5893000000,1995
cog,5122000000,1996
cog,4953000000,1997
cog,5004000000,1998
cog,4924000000,1999
cog,4786000000,2000
cog,4392000000,2001
cog,5041000000,2002
cog,5398000000,2003
cog,6296000000,2004
cog,5812000000,2005
cog,7005000000,2006
cog,5961000000,2007
cog,5485000000,2008
cri,287100000,1970
cri,329500000,1971
cri,396200000,1972
cri,468600000,1973
cri,593500000,1974
cri,799400000,1975
cri,984600000,1976
cri,1317000000,1977
cri,1685000000,1978
cri,2115000000,1979
cri,2744000000,1980
cri,3305000000,1981
cri,3645000000,1982
cri,4186000000,1983
cri,3997000000,1984
cri,4398000000,1985
cri,4574000000,1986
cri,4718000000,1987
cri,4527000000,1988
cri,4585000000,1989
cri,3748000000,1990
cri,4011000000,1991
cri,3920000000,1992
cri,3845000000,1993
cri,3883000000,1994
cri,3774000000,1995
cri,3450000000,1996
cri,3430000000,1997
cri,3906000000,1998
cri,4153000000,1999
cri,4642000000,2000
cri,4835000000,2001
cri,5013000000,2002
cri,5602000000,2003
cri,5712000000,2004
cri,6487000000,2005
cri,6994000000,2006
cri,8341000000,2007
cri,8812000000,2008
civ,373500000,1970
civ,514400000,1971
civ,579800000,1972
civ,863200000,1973
civ,1066000000,1974
civ,1465000000,1975
civ,1828000000,1976
civ,2573000000,1977
civ,3836000000,1978
civ,4772000000,1979
civ,7462000000,1980
civ,8141000000,1981
civ,8961000000,1982
civ,8858000000,1983
civ,8546000000,1984
civ,9659000000,1985
civ,11450000000,1986
civ,13580000000,1987
civ,13340000000,1988
civ,14820000000,1989
civ,17250000000,1990
civ,18170000000,1991
civ,18550000000,1992
civ,19070000000,1993
civ,17400000000,1994
civ,18900000000,1995
civ,19520000000,1996
civ,15610000000,1997
civ,14850000000,1998
civ,13170000000,1999
civ,12140000000,2000
civ,11590000000,2001
civ,11780000000,2002
civ,12180000000,2003
civ,13200000000,2004
civ,11910000000,2005
civ,12760000000,2006
civ,13870000000,2007
civ,12560000000,2008
dji,2595000,1970
dji,2637000,1971
dji,5369000,1972
dji,6286000,1973
dji,8216000,1974
dji,12230000,1975
dji,17260000,1976
dji,19240000,1977
dji,21040000,1978
dji,20520000,1979
dji,25820000,1980
dji,19840000,1981
dji,24410000,1982
dji,33570000,1983
dji,62020000,1984
dji,95980000,1985
dji,119300000,1986
dji,154400000,1987
dji,158300000,1988
dji,131200000,1989
dji,155300000,1990
dji,204800000,1991
dji,220000000,1992
dji,232500000,1993
dji,257700000,1994
dji,272400000,1995
dji,287600000,1996
dji,262700000,1997
dji,279000000,1998
dji,267700000,1999
dji,258200000,2000
dji,259100000,2001
dji,328000000,2002
dji,390300000,2003
dji,419800000,2004
dji,406800000,2005
dji,451800000,2006
dji,656900000,2007
dji,685000000,2008
dma,14430000,1981
dma,20520000,1982
dma,34180000,1983
dma,46810000,1984
dma,54330000,1985
dma,57360000,1986
dma,71650000,1987
dma,73230000,1988
dma,77510000,1989
dma,87950000,1990
dma,95610000,1991
dma,95530000,1992
dma,96380000,1993
dma,98160000,1994
dma,103300000,1995
dma,114900000,1996
dma,104000000,1997
dma,113200000,1998
dma,115500000,1999
dma,164800000,2000
dma,214600000,2001
dma,227700000,2002
dma,286100000,2003
dma,304400000,2004
dma,273700000,2005
dma,253400000,2006
dma,289600000,2007
dma,303200000,2008
dom,359900000,1970
dom,403700000,1971
dom,440400000,1972
dom,470700000,1973
dom,577600000,1974
dom,673200000,1975
dom,813400000,1976
dom,1405000000,1977
dom,1337000000,1978
dom,1606000000,1979
dom,2002000000,1980
dom,2293000000,1981
dom,2521000000,1982
dom,2930000000,1983
dom,3112000000,1984
dom,3502000000,1985
dom,3687000000,1986
dom,3923000000,1987
dom,3970000000,1988
dom,4039000000,1989
dom,4372000000,1990
dom,4491000000,1991
dom,4612000000,1992
dom,4860000000,1993
dom,4275000000,1994
dom,4447000000,1995
dom,4331000000,1996
dom,4233000000,1997
dom,4404000000,1998
dom,4686000000,1999
dom,4541000000,2000
dom,5135000000,2001
dom,6254000000,2002
dom,6639000000,2003
dom,7291000000,2004
dom,7387000000,2005
dom,8796000000,2006
dom,10430000000,2007
dom,10480000000,2008
ecu,364300000,1970
ecu,391100000,1971
ecu,490400000,1972
ecu,523600000,1973
ecu,643000000,1974
ecu,908800000,1975
ecu,1112000000,1976
ecu,2374000000,1977
ecu,3976000000,1978
ecu,4526000000,1979
ecu,5997000000,1980
ecu,7666000000,1981
ecu,7705000000,1982
ecu,7595000000,1983
ecu,8306000000,1984
ecu,8703000000,1985
ecu,9334000000,1986
ecu,10470000000,1987
ecu,10740000000,1988
ecu,11320000000,1989
ecu,12110000000,1990
ecu,12460000000,1991
ecu,12200000000,1992
ecu,14060000000,1993
ecu,14960000000,1994
ecu,13880000000,1995
ecu,14330000000,1996
ecu,15240000000,1997
ecu,15430000000,1998
ecu,15990000000,1999
ecu,13240000000,2000
ecu,14000000000,2001
ecu,16100000000,2002
ecu,16540000000,2003
ecu,16940000000,2004
ecu,16880000000,2005
ecu,16890000000,2006
ecu,17370000000,2007
ecu,16850000000,2008
egy,1802000000,1970
egy,2049000000,1971
egy,1952000000,1972
egy,1992000000,1973
egy,2209000000,1974
egy,4835000000,1975
egy,6357000000,1976
egy,11730000000,1977
egy,12860000000,1978
egy,14910000000,1979
egy,19130000000,1980
egy,22080000000,1981
egy,27320000000,1982
egy,30210000000,1983
egy,32180000000,1984
egy,36110000000,1985
egy,39870000000,1986
egy,44120000000,1987
egy,46120000000,1988
egy,45660000000,1989
egy,32990000000,1990
egy,32630000000,1991
egy,31170000000,1992
egy,30650000000,1993
egy,32500000000,1994
egy,33480000000,1995
egy,31510000000,1996
egy,29950000000,1997
egy,32290000000,1998
egy,30880000000,1999
egy,29020000000,2000
egy,27970000000,2001
egy,28470000000,2002
egy,29220000000,2003
egy,31140000000,2004
egy,29660000000,2005
egy,29350000000,2006
egy,32830000000,2007
egy,32620000000,2008
slv,182500000,1970
slv,206100000,1971
slv,252000000,1972
slv,244300000,1973
slv,360300000,1974
slv,412200000,1975
slv,480400000,1976
slv,723300000,1977
slv,910000000,1978
slv,886400000,1979
slv,911100000,1980
slv,1130000000,1981
slv,1443000000,1982
slv,1745000000,1983
slv,1831000000,1984
slv,1851000000,1985
slv,1862000000,1986
slv,1986000000,1987
slv,1998000000,1988
slv,2080000000,1989
slv,2145000000,1990
slv,2189000000,1991
slv,2268000000,1992
slv,1920000000,1993
slv,2097000000,1994
slv,2509000000,1995
slv,2817000000,1996
slv,3157000000,1997
slv,3268000000,1998
slv,3689000000,1999
slv,4467000000,2000
slv,5281000000,2001
slv,5706000000,2002
slv,8185000000,2003
slv,8517000000,2004
slv,8984000000,2005
slv,9842000000,2006
slv,9513000000,2007
slv,10110000000,2008
eri,29060000,1994
eri,36690000,1995
eri,44290000,1996
eri,75460000,1997
eri,146100000,1998
eri,252600000,1999
eri,299900000,2000
eri,395700000,2001
eri,490100000,2002
eri,607600000,2003
eri,705700000,2004
eri,724500000,2005
eri,784900000,2006
eri,859800000,2007
eri,962000000,2008
eth,169300000,1970
eth,204400000,1971
eth,227000000,1972
eth,256400000,1973
eth,283100000,1974
eth,343700000,1975
eth,402600000,1976
eth,500700000,1977
eth,567300000,1978
