cell_phones_total,geo,time
0,bfa,1981
0,bfa,1982
0,bfa,1983
0,bfa,1984
0,bfa,1985
0,bfa,1986
0,bfa,1987
0,bfa,1988
0,bfa,1989
0,bfa,1990
0,bfa,1991
0,bfa,1992
0,bfa,1993
0,bfa,1994
0,bfa,1995
525,bfa,1996
1503,bfa,1997
2730,bfa,1998
5036,bfa,1999
25240,bfa,2000
76190,bfa,2001
111000,bfa,2002
238100,bfa,2003
395900,bfa,2004
633600,bfa,2005
1017000,bfa,2006
1858000,bfa,2007
3024000,bfa,2008
3824000,bfa,2009
5708000,bfa,2010
7682000,bfa,2011
0,bdi,1965
0,bdi,1970
0,bdi,1975
0,bdi,1976
0,bdi,1977
0,bdi,1978
0,bdi,1979
0,bdi,1980
0,bdi,1981
0,bdi,1982
0,bdi,1983
0,bdi,1984
0,bdi,1985
0,bdi,1986
0,bdi,1987
0,bdi,1988
0,bdi,1989
0,bdi,1990
0,bdi,1991
0,bdi,1992
353,bdi,1993
378,bdi,1994
564,bdi,1995
561,bdi,1996
619,bdi,1997
620,bdi,1998
800,bdi,1999
16320,bdi,2000
33420,bdi,2001
52000,bdi,2002
64000,bdi,2003
100600,bdi,2004
153000,bdi,2005
200000,bdi,2006
270000,bdi,2007
480600,bdi,2008
838400,bdi,2009
1150000,bdi,2010
1240000,bdi,2011
0,khm,1965
0,khm,1970
0,khm,1975
0,khm,1976
0,khm,1977
0,khm,1978
0,khm,1979
0,khm,1980
0,khm,1981
0,khm,1982
0,khm,1983
0,khm,1984
0,khm,1985
0,khm,1986
0,khm,1987
0,khm,1988
0,khm,1989
0,khm,1990
0,khm,1991
0,khm,1992
4810,khm,1993
10240,khm,1994
14100,khm,1995
23100,khm,1996
33560,khm,1997
61340,khm,1998
89120,khm,1999
130500,khm,2000
223500,khm,2001
380000,khm,2002
498400,khm,2003
861500,khm,2004
1062000,khm,2005
1722000,khm,2006
2583000,khm,2007
4237000,khm,2008
6268000,khm,2009
8151000,khm,2010
10000000,khm,2011
0,cmr,1965
0,cmr,1970
0,cmr,1975
0,cmr,1976
0,cmr,1977
0,cmr,1978
0,cmr,1979
0,cmr,1980
0,cmr,1981
0,cmr,1982
0,cmr,1983
0,cmr,1984
0,cmr,1985
0,cmr,1986
0,cmr,1987
0,cmr,1988
0,cmr,1989
0,cmr,1990
0,cmr,1991
0,cmr,1992
0,cmr,1993
1600,cmr,1994
2800,cmr,1995
3500,cmr,1996
4200,cmr,1997
5000,cmr,1998
6000,cmr,1999
103300,cmr,2000
417300,cmr,2001
701500,cmr,2002
1077000,cmr,2003
1531000,cmr,2004
2253000,cmr,2005
3136000,cmr,2006
4536000,cmr,2007
6161000,cmr,2008
8004000,cmr,2009
8637000,cmr,2010
10490000,cmr,2011
0,can,1965
0,can,1970
0,can,1975
0,can,1976
0,can,1977
0,can,1978
0,can,1979
0,can,1980
0,can,1981
0,can,1982
0,can,1983
0,can,1984
12000,can,1985
60000,can,1986
98360,can,1987
202600,can,1988
345200,can,1989
583800,can,1990
775800,can,1991
1027000,can,1992
1333000,can,1993
1866000,can,1994
2590000,can,1995
3498000,can,1996
4195000,can,1997
5346000,can,1998
6911000,can,1999
8727000,can,2000
10650000,can,2001
11870000,can,2002
13290000,can,2003
15020000,can,2004
17020000,can,2005
18750000,can,2006
20280000,can,2007
22090000,can,2008
23810000,can,2009
24040000,can,2010
25860000,can,2011
0,cpv,1965
0,cpv,1970
0,cpv,1975
0,cpv,1976
0,cpv,1977
0,cpv,1978
0,cpv,1979
0,cpv,1980
0,cpv,1981
0,cpv,1982
0,cpv,1983
0,cpv,1984
0,cpv,1985
0,cpv,1986
0,cpv,1987
0,cpv,1988
0,cpv,1989
0,cpv,1990
0,cpv,1991
0,cpv,1992
0,cpv,1993
0,cpv,1994
0,cpv,1995
0,cpv,1996
20,cpv,1997
1020,cpv,1998
8068,cpv,1999
19730,cpv,2000
31510,cpv,2001
42950,cpv,2002
53340,cpv,2003
65780,cpv,2004
81720,cpv,2005
108900,cpv,2006
152200,cpv,2007
277700,cpv,2008
290600,cpv,2009
371900,cpv,2010
396400,cpv,2011
0,cym,1965
0,cym,1970
0,cym,1975
0,cym,1976
0,cym,1977
0,cym,1978
0,cym,1979
0,cym,1980
0,cym,1981
0,cym,1982
