improved_water_source_urban_access_percent,geo,time
97,grd,1993
97,grd,1994
97,grd,1995
97,grd,1996
97,grd,1997
97,grd,1998
97,grd,1999
97,grd,2000
97,grd,2001
97,grd,2002
97,grd,2003
97,grd,2004
97,grd,2005
97,grd,2006
97,grd,2007
97,grd,2008
97,grd,2009
97,grd,2010
98,glp,1990
98,glp,1991
98,glp,1992
98,glp,1993
98,glp,1994
98,glp,1995
98,glp,1996
98,glp,1997
98,glp,1998
98,glp,1999
98,glp,2000
98,glp,2001
98,glp,2002
98,glp,2003
98,glp,2004
98,glp,2005
98,glp,2006
98,glp,2007
98,glp,2008
98,glp,2009
98,glp,2010
100,gum,1990
100,gum,1991
100,gum,1992
100,gum,1993
100,gum,1994
100,gum,1995
100,gum,1996
100,gum,1997
100,gum,1998
100,gum,1999
100,gum,2000
100,gum,2001
100,gum,2002
100,gum,2003
100,gum,2004
100,gum,2005
100,gum,2006
100,gum,2007
100,gum,2008
100,gum,2009
100,gum,2010
91,gtm,1990
92,gtm,1991
92,gtm,1992
92,gtm,1993
93,gtm,1994
93,gtm,1995
94,gtm,1996
94,gtm,1997
94,gtm,1998
95,gtm,1999
95,gtm,2000
95,gtm,2001
96,gtm,2002
96,gtm,2003
97,gtm,2004
97,gtm,2005
97,gtm,2006
98,gtm,2007
98,gtm,2008
98,gtm,2009
98,gtm,2010
87,gin,1990
87,gin,1991
87,gin,1992
87,gin,1993
87,gin,1994
88,gin,1995
88,gin,1996
88,gin,1997
88,gin,1998
88,gin,1999
88,gin,2000
89,gin,2001
89,gin,2002
89,gin,2003
89,gin,2004
89,gin,2005
89,gin,2006
89,gin,2007
90,gin,2008
90,gin,2009
90,gin,2010
45,gnb,1990
47,gnb,1991
49,gnb,1992
52,gnb,1993
54,gnb,1994
56,gnb,1995
59,gnb,1996
61,gnb,1997
63,gnb,1998
66,gnb,1999
68,gnb,2000
70,gnb,2001
73,gnb,2002
75,gnb,2003
77,gnb,2004
80,gnb,2005
82,gnb,2006
84,gnb,2007
87,gnb,2008
89,gnb,2009
91,gnb,2010
93,guy,1994
93,guy,1995
93,guy,1996
93,guy,1997
93,guy,1998
93,guy,1999
94,guy,2000
94,guy,2001
94,guy,2002
95,guy,2003
95,guy,2004
96,guy,2005
96,guy,2006
96,guy,2007
97,guy,2008
97,guy,2009
98,guy,2010
84,hti,1990
84,hti,1991
84,hti,1992
84,hti,1993
84,hti,1994
84,hti,1995
84,hti,1996
84,hti,1997
84,hti,1998
84,hti,1999
84,hti,2000
85,hti,2001
85,hti,2002
85,hti,2003
85,hti,2004
85,hti,2005
85,hti,2006
85,hti,2007
85,hti,2008
85,hti,2009
85,hti,2010
96,hnd,1990
96,hnd,1991
96,hnd,1992
96,hnd,1993
96,hnd,1994
96,hnd,1995
96,hnd,1996
96,hnd,1997
95,hnd,1998
95,hnd,1999
95,hnd,2000
95,hnd,2001
95,hnd,2002
95,hnd,2003
95,hnd,2004
95,hnd,2005
95,hnd,2006
95,hnd,2007
95,hnd,2008
95,hnd,2009
95,hnd,2010
98,hun,1990
98,hun,1991
98,hun,1992
99,hun,1993
99,hun,1994
99,hun,1995
99,hun,1996
99,hun,1997
99,hun,1998
99,hun,1999
100,hun,2000
100,hun,2001
100,hun,2002
100,hun,2003
100,hun,2004
100,hun,2005
100,hun,2006
100,hun,2007
100,hun,2008
100,hun,2009
100,hun,2010
100,isl,1990
100,isl,1991
100,isl,1992
100,isl,1993
100,isl,1994
100,isl,1995
100,isl,1996
100,isl,1997
100,isl,1998
100,isl,1999
100,isl,2000
100,isl,2001
100,isl,2002
100,isl,2003
100,isl,2004
100,isl,2005
100,isl,2006
100,isl,2007
100,isl,2008
100,isl,2009
100,isl,2010
88,ind,1990
89,ind,1991
89,ind,1992
90,ind,1993
90,ind,1994
90,ind,1995
91,ind,1996
91,ind,1997
92,ind,1998
92,ind,1999
93,ind,2000
93,ind,2001
93,ind,2002
94,ind,2003
94,ind,2004
95,ind,2005
95,ind,2006
96,ind,2007
96,ind,2008
96,ind,2009
97,ind,2010
91,idn,1990
91,idn,1991
91,idn,1992
91,idn,1993
91,idn,1994
91,idn,1995
91,idn,1996
91,idn,1997
91,idn,1998
91,idn,1999
91,idn,2000
91,idn,2001
91,idn,2002
91,idn,2003
91,idn,2004
91,idn,2005
91,idn,2006
91,idn,2007
92,idn,2008
92,idn,2009
92,idn,2010
98,irn,1990
98,irn,1991
98,irn,1992
98,irn,1993
98,irn,1994
98,irn,1995
98,irn,1996
98,irn,1997
98,irn,1998
98,irn,1999
98,irn,2000
98,irn,2001
98,irn,2002
98,irn,2003
98,irn,2004
97,irn,2005
97,irn,2006
97,irn,2007
97,irn,2008
97,irn,2009
97,irn,2010
97,irq,1990
97,irq,1991
97,irq,1992
97,irq,1993
97,irq,1994
97,irq,1995
96,irq,1996
96,irq,1997
96,irq,1998
95,irq,1999
95,irq,2000
94,irq,2001
94,irq,2002
93,irq,2003
93,irq,2004
