geo,electricity_generation_per_person,time
uzb,1874.0,2003
uzb,1879.0,2004
uzb,1777.0,2005
uzb,1805.0,2006
uzb,1764.0,2007
uzb,1772.0,2008
ven,3070.0,1990
ven,3199.0,1991
ven,3328.0,1992
ven,3351.0,1993
ven,3370.0,1994
ven,3407.0,1995
ven,3441.0,1996
ven,3489.0,1997
ven,3553.0,1998
ven,3479.0,1999
ven,3619.0,2000
ven,3768.0,2001
ven,3681.0,2002
ven,3653.0,2003
ven,3872.0,2004
ven,4113.0,2005
ven,4333.0,2006
ven,4391.0,2007
ven,4512.0,2008
