geo,male_family_workers_percent_of_male_labour_force,time
nzl,0.5,2000
nzl,0.6,2001
nzl,0.6,2002
nzl,0.5,2003
nzl,0.3,2004
nzl,0.4,2005
nzl,0.6,2006
nzl,0.8,2007
nic,3.1,2002
nic,14.8,2003
nic,14.4,2004
nic,14.5,2005
nic,12.2,2006
nor,2.8,1980
nor,2.2,1981
nor,2.0,1982
nor,1.8,1983
nor,2.2,1984
nor,1.3,1985
nor,1.9,1986
nor,1.6,1987
nor,1.8,1988
nor,1.7,1989
nor,1.6,1990
nor,1.4,1991
nor,0.9,1992
nor,0.7,1993
nor,0.7,1994
nor,0.6,1995
nor,0.6,1996
nor,0.4,1997
nor,0.4,1998
nor,0.2,1999
nor,0.2,2000
nor,0.2,2001
nor,0.2,2002
nor,0.3,2003
nor,0.3,2004
nor,0.2,2005
nor,0.2,2006
nor,0.2,2007
pak,17.2,1995
pak,17.2,1996
pak,15.1,1997
pak,15.7,1998
pak,15.7,1999
pak,16.7,2000
pak,16.7,2001
pak,16.4,2002
pak,16.4,2003
pak,18.3,2004
pak,18.3,2005
pak,19.1,2006
pak,18.6,2007
pan,6.5,1982
pan,4.7,1983
pan,5.5,1984
pan,5.7,1985
pan,5.8,1986
pan,7.2,1987
pan,8.3,1988
pan,7.7,1989
pan,5.5,1992
pan,4.9,1993
pan,4.1,1994
pan,4.5,1995
pan,4.5,1996
pan,3.8,1997
pan,3.2,1998
pan,2.9,1999
pan,3.0,2000
pan,3.4,2001
pan,2.9,2002
pan,3.1,2003
pan,2.8,2004
pan,2.8,2005
pan,2.8,2006
pan,2.3,2007
pry,0.4,1990
pry,9.1,1997
pry,10.5,2000
pry,13.6,2002
pry,10.9,2003
pry,10.8,2007
per,2.8,1990
per,2.1,1991
per,2.1,1992
per,3.2,1993
per,3.7,1994
per,2.8,1995
per,5.1,1996
per,4.8,1997
per,4.5,1998
per,4.0,1999
per,4.9,2000
per,4.7,2001
per,5.2,2002
per,5.8,2003
per,6.7,2004
per,5.6,2005
per,5.4,2006
per,4.7,2007
phl,9.9,1998
phl,9.7,1999
phl,9.6,2000
phl,10.2,2001
phl,9.8,2002
phl,8.4,2003
phl,8.2,2004
phl,8.9,2005
phl,9.3,2006
phl,9.0,2007
pol,5.5,1992
pol,5.5,1993
pol,4.8,1994
pol,4.6,1995
pol,4.7,1996
pol,4.0,1997
pol,3.6,1998
pol,3.1,1999
pol,3.6,2000
pol,4.0,2001
pol,4.3,2002
pol,4.0,2003
pol,4.1,2004
pol,3.8,2005
pol,3.2,2006
pol,2.8,2007
prt,1.3,1992
prt,1.4,1993
prt,1.6,1994
prt,1.5,1995
prt,1.4,1996
prt,1.2,1997
prt,1.6,1998
prt,1.5,1999
prt,1.5,2000
prt,1.1,2001
prt,1.0,2002
prt,1.0,2003
prt,0.9,2004
prt,0.9,2005
prt,0.7,2006
prt,0.7,2007
pri,0.3,1991
pri,0.2,1992
pri,0.2,1993
pri,0.5,1994
pri,0.3,1995
pri,0.2,1996
pri,0.1,1997
pri,0.1,1998
pri,0.0,1999
pri,0.1,2000
pri,0.2,2001
pri,0.2,2002
pri,0.1,2003
pri,0.1,2004
pri,0.1,2005
pri,0.0,2006
pri,0.0,2007
qat,0.0,1997
qat,0.0,2004
mda,5.3,1999
mda,5.5,2000
mda,4.7,2001
mda,4.7,2002
mda,1.3,2003
mda,0.5,2004
mda,0.8,2005
mda,1.6,2006
mda,1.3,2007
rou,0.0,1990
rou,3.5,1991
rou,6.4,1992
rou,7.2,1993
rou,7.5,1994
rou,6.8,1995
rou,8.1,1996
rou,8.9,1997
rou,9.5,1998
rou,10.0,1999
rou,10.6,2000
rou,10.4,2001
rou,8.1,2002
rou,7.8,2003
rou,7.7,2004
rou,7.8,2005
rou,7.4,2006
rou,6.5,2007
rus,0.1,1992
rus,0.1,1993
rus,0.1,1994
rus,0.1,1995
rus,0.2,1996
rus,0.1,1997
rus,0.1,1998
rus,0.2,1999
rus,0.2,2000
rus,0.1,2001
rus,0.1,2002
rus,0.1,2003
rus,0.1,2004
rus,0.1,2005
rus,0.1,2006
rus,0.1,2007
rwa,32.7,1996
kna,0.7,1991
kna,0.5,2001
lca,1.7,1993
lca,1.2,1994
lca,0.9,1995
lca,1.8,1996
lca,1.5,1997
lca,1.0,1998
lca,0.6,1999
lca,0.5,2000
vct,2.1,1991
smr,0.2,1995
smr,0.2,1996
smr,0.1,1997
smr,0.1,1998
smr,0.1,1999
smr,0.0,2001
smr,0.0,2002
smr,0.0,2003
smr,0.0,2004
smr,0.0,2005
smr,0.0,2006
smr,0.0,2007
stp,0.8,1991
sen,25.3,1991
srb,3.4,2004
srb,4.1,2005
srb,3.6,2006
srb,3.1,2007
sle,14.8,2004
sgp,0.9,1986
sgp,1.2,1987
sgp,0.7,1988
sgp,0.5,1989
sgp,0.4,1991
sgp,0.3,1992
sgp,0.3,1993
sgp,0.4,1994
sgp,0.8,1995
sgp,0.5,1996
sgp,0.3,1997
sgp,0.4,1998
sgp,0.5,1999
sgp,0.2,2000
sgp,0.4,2001
sgp,0.4,2002
sgp,0.3,2003
sgp,0.3,2004
sgp,0.4,2006
sgp,0.4,2007
svk,0.0,1994
svk,0.0,1995
svk,0.1,1996
svk,0.1,1997
svk,0.0,1998
svk,0.1,1999
svk,0.1,2000
svk,0.1,2001
svk,0.0,2002
svk,0.1,2003
svk,0.1,2004
svk,0.0,2005
svk,0.0,2006
svk,0.1,2007
svn,2.0,1993
svn,3.5,1994
svn,3.0,1995
svn,3.2,1996
svn,5.0,1997
svn,5.1,1998
svn,4.4,1999
svn,3.3,2000
svn,3.8,2001
svn,3.2,2002
svn,3.1,2003
svn,4.3,2004
svn,3.1,2005
svn,3.3,2006
svn,3.1,2007
zaf,0.8,2001
zaf,0.7,2002
zaf,0.5,2003
zaf,0.4,2004
zaf,0.3,2007
esp,3.5,1980
esp,3.6,1981
esp,3.6,1982
esp,3.6,1983
esp,3.9,1984
esp,3.7,1985
esp,3.6,1986
esp,3.9,1987
esp,3.8,1988
esp,3.4,1989
esp,3.0,1990
esp,2.8,1991
esp,2.5,1992
esp,2.5,1993
esp,2.4,1994
esp,2.3,1995
esp,2.1,1996
esp,1.7,1997
esp,1.7,1998
esp,1.4,1999
esp,1.2,2000
esp,1.0,2001
esp,1.0,2002
esp,0.9,2003
esp,0.8,2004
esp,1.1,2005
esp,0.9,2006
esp,0.7,2007
lka,5.5,1997
lka,6.8,1998
lka,6.2,1999
lka,6.5,2000
lka,5.5,2001
lka,5.3,2002
lka,4.2,2003
lka,4.5,2004
lka,3.2,2005
lka,4.4,2006
lka,4.4,2007
sur,0.3,1995
sur,1.6,1996
sur,1.0,1997
sur,0.9,1998
swz,0.8,1997
swe,0.2,1980
swe,0.2,1981
swe,0.3,1982
swe,0.2,1983
swe,0.2,1984
swe,0.2,1985
swe,0.1,1986
swe,0.2,1987
swe,0.2,1988
swe,0.2,1989
swe,0.2,1990
swe,0.2,1991
swe,0.3,1992
swe,0.4,1993
swe,0.4,1994
swe,0.4,1995
swe,0.3,1996
swe,0.3,1997
swe,0.2,1998
swe,0.2,1999
swe,0.3,2000
swe,0.3,2001
swe,0.3,2002
swe,0.3,2003
swe,0.3,2004
swe,0.2,2005
swe,0.2,2006
swe,0.3,2007
che,1.7,1991
che,1.6,1992
che,1.9,1993
che,1.9,1994
che,1.8,1995
che,2.0,1996
che,1.7,1997
che,1.9,1998
che,1.8,1999
che,1.7,2000
che,1.9,2001
che,1.9,2002
che,1.7,2003
che,1.4,2004
che,1.3,2005
che,1.4,2006
che,1.7,2007
syr,10.8,2001
tza,3.0,2001
tza,9.7,2006
tha,26.7,1987
tha,29.0,1988
tha,28.8,1989
tha,27.0,1990
tha,24.8,1991
tha,25.5,1992
tha,21.5,1993
tha,21.6,1994
tha,18.5,1995
tha,16.3,1996
tha,18.1,1997
tha,18.4,1998
tha,16.5,1999
tha,16.4,2000
tha,15.6,2001
tha,15.9,2002
tha,16.0,2003
tha,14.7,2004
tha,13.5,2005
tha,13.9,2006
tha,14.0,2007
mkd,6.2,1998
mkd,6.7,1999
mkd,7.4,2000
mkd,9.4,2001
mkd,7.8,2002
mkd,7.0,2003
mkd,6.4,2004
mkd,6.4,2005
mkd,7.1,2006
mkd,7.0,2007
ton,29.7,1996
tto,3.1,1987
tto,3.3,1988
tto,2.8,1989
tto,2.5,1990
tto,2.0,1991
tto,2.2,1992
tto,2.0,1993
tto,2.1,1994
