armed_forces_personnel_percent_of_labor_force,geo,time
1.442,geo,2007
1.451,geo,2008
1.313,deu,1985
1.343,deu,1989
1.405,deu,1990
1.143,deu,1991
1.107,deu,1992
1.003,deu,1993
0.9051,deu,1994
0.9157,deu,1995
0.9616,deu,1996
0.8647,deu,1997
0.8298,deu,1998
0.8188,deu,1999
0.5476,deu,2000
0.7619,deu,2001
0.73,deu,2002
0.6979,deu,2003
0.6995,deu,2004
0.6848,deu,2005
0.5872,deu,2006
0.5779,deu,2007
0.5758,deu,2008
0.2966,gha,1985
0.277,gha,1989
0.1509,gha,1990
0.1459,gha,1991
0.1097,gha,1992
0.1056,gha,1993
0.1016,gha,1994
0.1789,gha,1995
0.1953,gha,1996
0.104,gha,1997
0.1003,gha,1998
0.0968,gha,1999
0.0935,gha,2000
0.0795,gha,2001
0.0772,gha,2002
0.075,gha,2003
0.073,gha,2004
0.0711,gha,2005
0.1349,gha,2007
0.1315,gha,2008
4.975,grc,1985
4.827,grc,1989
4.803,grc,1990
4.958,grc,1991
4.886,grc,1992
4.946,grc,1993
4.66,grc,1994
4.471,grc,1995
4.295,grc,1996
3.563,grc,1997
3.6,grc,1998
3.48,grc,1999
3.328,grc,2000
3.366,grc,2001
3.695,grc,2002
3.647,grc,2003
3.287,grc,2004
3.296,grc,2005
3.12,grc,2006
3.112,grc,2007
3.093,grc,2008
1.157,gtm,1985
1.424,gtm,1989
1.391,gtm,1990
1.357,gtm,1991
1.357,gtm,1992
1.325,gtm,1993
1.0,gtm,1994
1.623,gtm,1995
1.582,gtm,1996
1.378,gtm,1997
1.097,gtm,1998
1.061,gtm,1999
1.336,gtm,2000
1.239,gtm,2001
1.204,gtm,2002
1.171,gtm,2003
1.082,gtm,2004
1.02,gtm,2005
0.7041,gtm,2006
0.6822,gtm,2007
0.6608,gtm,2008
0.3978,gin,1985
0.5397,gin,1989
0.5211,gin,1990
0.5012,gin,1991
0.4808,gin,1992
0.4611,gin,1993
0.3548,gin,1994
0.5513,gin,1995
0.5351,gin,1996
0.5219,gin,1997
0.5098,gin,1998
0.4988,gin,1999
0.4881,gin,2000
0.4287,gin,2001
0.4683,gin,2002
0.2921,gin,2003
0.2557,gin,2004
0.2958,gin,2005
0.4119,gin,2007
0.4027,gin,2008
2.332,gnb,1985
2.448,gnb,1989
2.853,gnb,1990
2.772,gnb,1991
2.461,gnb,1992
2.384,gnb,1993
1.475,gnb,1994
1.891,gnb,1995
1.874,gnb,1996
1.828,gnb,1997
1.77,gnb,1998
1.749,gnb,1999
1.718,gnb,2000
2.044,gnb,2001
1.997,gnb,2002
2.45,gnb,2003
1.52,gnb,2004
1.487,gnb,2005
1.457,gnb,2006
1.426,gnb,2007
0.9301,gnb,2008
2.447,guy,1985
1.462,guy,1989
1.449,guy,1990
1.43,guy,1991
0.7024,guy,1992
0.6901,guy,1993
0.6749,guy,1994
1.026,guy,1995
1.007,guy,1996
0.9921,guy,1997
0.9817,guy,1998
0.9699,guy,1999
0.9613,guy,2000
0.9513,guy,2001
0.9429,guy,2002
0.9354,guy,2003
0.5976,guy,2004
0.8922,guy,2005
0.8883,guy,2006
0.8835,guy,2007
0.8777,guy,2008
0.2749,hti,1985
0.3314,hti,1989
0.2889,hti,1990
0.2827,hti,1991
0.2798,hti,1992
0.2742,hti,1993
0.2305,hti,1995
0.2236,hti,1996
0.1705,hti,1997
0.1591,hti,1998
0.1543,hti,1999
