geo,aged_15plus_labour_force_participation_rate_percent,time
fra,55.0,2002
fra,55.8,2003
fra,55.8,2004
fra,55.7,2005
fra,55.6,2006
fra,55.6,2007
guf,65.3,1980
guf,65.6,1981
guf,65.7,1982
guf,65.6,1983
guf,65.5,1984
guf,65.3,1985
guf,65.1,1986
guf,64.9,1987
guf,64.6,1988
guf,64.4,1989
guf,64.1,1990
guf,63.9,1991
guf,63.8,1992
guf,63.6,1993
guf,63.4,1994
guf,63.1,1995
guf,62.6,1996
guf,62.2,1997
guf,61.6,1998
guf,61.1,1999
guf,61.0,2000
guf,60.8,2001
guf,60.7,2002
guf,60.7,2003
guf,60.5,2004
guf,60.4,2005
guf,60.2,2006
guf,59.7,2007
pyf,61.9,1980
pyf,61.8,1981
pyf,61.6,1982
pyf,61.6,1983
pyf,61.7,1984
pyf,61.9,1985
pyf,61.8,1986
pyf,61.8,1987
pyf,61.9,1988
pyf,62.0,1989
pyf,62.1,1990
pyf,62.2,1991
pyf,62.4,1992
pyf,62.6,1993
pyf,62.7,1994
pyf,62.7,1995
pyf,62.7,1996
pyf,62.5,1997
pyf,62.2,1998
pyf,61.9,1999
pyf,61.6,2000
pyf,61.3,2001
pyf,60.9,2002
pyf,60.6,2003
pyf,60.3,2004
pyf,60.2,2005
pyf,60.1,2006
pyf,60.2,2007
gab,71.7,1980
gab,71.9,1981
gab,72.1,1982
gab,72.3,1983
gab,72.5,1984
gab,72.6,1985
gab,72.7,1986
gab,72.7,1987
gab,72.8,1988
gab,72.9,1989
gab,72.9,1990
gab,73.0,1991
gab,73.0,1992
gab,73.0,1993
gab,73.0,1994
gab,73.0,1995
gab,72.9,1996
gab,72.8,1997
gab,72.7,1998
gab,72.5,1999
gab,72.3,2000
gab,72.1,2001
gab,71.9,2002
gab,71.6,2003
gab,71.4,2004
gab,71.1,2005
gab,70.9,2006
gab,70.9,2007
gmb,78.1,1980
gmb,78.1,1981
gmb,78.1,1982
gmb,78.2,1983
gmb,78.2,1984
gmb,78.2,1985
gmb,78.2,1986
gmb,78.1,1987
gmb,78.0,1988
gmb,78.0,1989
gmb,77.9,1990
gmb,77.9,1991
gmb,77.8,1992
gmb,77.8,1993
gmb,77.7,1994
gmb,77.7,1995
gmb,77.6,1996
gmb,77.5,1997
gmb,77.5,1998
