geo,family_workers_percent_of_labour_force,time
prt,1.7,1996
prt,1.6,1997
prt,2.2,1998
prt,2.1,1999
prt,2.4,2000
prt,2.0,2001
prt,1.8,2002
prt,1.6,2003
prt,1.5,2004
prt,1.5,2005
prt,1.2,2006
prt,1.1,2007
pri,1.0,1991
pri,0.9,1992
pri,0.9,1993
pri,1.0,1994
pri,0.9,1995
pri,0.8,1996
pri,0.8,1997
pri,0.6,1998
pri,0.5,1999
pri,0.5,2000
pri,0.4,2001
pri,0.6,2002
pri,0.5,2003
pri,0.5,2004
pri,0.5,2005
pri,0.0,2006
pri,0.2,2007
qat,0.0,1997
qat,0.0,2004
mda,6.6,1999
mda,7.2,2000
mda,7.8,2001
mda,7.6,2002
mda,2.4,2003
mda,1.0,2004
mda,1.1,2005
mda,2.9,2006
mda,2.3,2007
rou,0.0,1990
rou,4.5,1991
rou,13.7,1992
rou,14.5,1993
rou,15.2,1994
rou,14.6,1995
rou,16.0,1996
rou,17.1,1997
rou,17.8,1998
rou,18.7,1999
rou,19.3,2000
rou,19.1,2001
rou,15.1,2002
rou,14.8,2003
rou,13.9,2004
rou,13.8,2005
rou,13.1,2006
rou,12.6,2007
rus,0.1,1992
rus,0.1,1993
rus,0.1,1994
rus,0.2,1995
rus,0.2,1996
rus,0.1,1997
rus,0.1,1998
rus,0.2,1999
rus,0.1,2000
rus,0.1,2001
rus,0.1,2002
rus,0.1,2003
rus,0.1,2004
rus,0.1,2005
rus,0.1,2006
rus,0.1,2007
rwa,31.2,1996
kna,0.9,1991
kna,0.6,2001
lca,2.8,1993
lca,1.8,1994
lca,1.8,1995
lca,2.0,1996
lca,1.8,1997
lca,1.1,1998
lca,1.1,1999
lca,0.9,2000
vct,2.3,1991
smr,0.3,1995
smr,0.3,1996
smr,0.2,1997
smr,0.2,1998
smr,0.2,1999
smr,0.0,2001
smr,0.0,2002
smr,0.0,2003
smr,0.0,2004
smr,0.0,2005
smr,0.0,2006
smr,0.0,2007
stp,0.8,1991
sen,28.5,1991
srb,7.2,2004
srb,8.0,2005
srb,6.9,2006
srb,6.8,2007
sle,18.1,2004
sgp,1.9,1986
sgp,2.2,1987
sgp,1.7,1988
sgp,1.4,1989
sgp,1.1,1991
sgp,0.9,1992
sgp,0.9,1993
sgp,1.1,1994
sgp,1.2,1995
sgp,1.2,1996
sgp,1.1,1997
sgp,1.1,1998
sgp,1.2,1999
sgp,0.4,2000
sgp,1.0,2001
sgp,0.9,2002
sgp,0.8,2003
sgp,0.8,2004
sgp,0.7,2006
sgp,0.8,2007
svk,0.1,1994
svk,0.1,1995
svk,0.1,1996
svk,0.1,1997
svk,0.1,1998
svk,0.1,1999
svk,0.1,2000
svk,0.1,2001
svk,0.1,2002
svk,0.1,2003
svk,0.1,2004
svk,0.1,2005
svk,0.0,2006
svk,0.1,2007
svn,3.2,1993
svn,5.4,1994
svn,4.6,1995
svn,4.2,1996
svn,6.8,1997
svn,6.6,1998
svn,5.8,1999
svn,4.8,2000
svn,5.3,2001
svn,4.6,2002
svn,4.2,2003
svn,5.5,2004
svn,4.6,2005
svn,5.1,2006
svn,4.8,2007
zaf,1.2,2001
zaf,1.0,2002
zaf,0.8,2003
zaf,0.7,2004
zaf,0.4,2007
esp,8.1,1980
esp,8.1,1981
esp,7.9,1982
esp,7.7,1983
esp,7.7,1984
esp,7.3,1985
esp,6.7,1986
esp,6.7,1987
esp,6.6,1988
esp,6.0,1989
esp,5.4,1990
esp,5.0,1991
