geo,sulfur_emissions_per_person_kg,time
aus,6.975,1864
aus,5.966,1865
aus,8.625,1866
aus,11.21,1867
aus,11.54,1868
aus,11.22,1869
aus,5.919,1870
aus,7.647,1871
aus,8.112,1872
aus,7.908,1873
aus,7.061,1874
aus,6.875,1875
aus,6.678,1876
aus,7.029,1877
aus,5.139,1878
aus,4.981,1879
aus,4.822,1880
aus,9.257,1881
aus,10.08,1882
aus,11.53,1883
aus,13.33,1884
aus,11.43,1885
aus,9.76,1886
aus,8.995,1887
aus,10.13,1888
aus,11.52,1889
aus,11.19,1890
aus,13.21,1891
aus,11.72,1892
aus,12.47,1893
aus,13.18,1894
aus,13.94,1895
aus,15.05,1896
aus,17.34,1897
aus,19.11,1898
aus,21.87,1899
aus,22.53,1900
aus,23.61,1901
aus,21.77,1902
aus,22.69,1903
aus,23.95,1904
aus,26.56,1905
aus,27.42,1906
aus,32.28,1907
aus,31.96,1908
aus,29.17,1909
aus,33.19,1910
aus,34.3,1911
aus,35.31,1912
aus,34.8,1913
aus,30.14,1914
aus,26.29,1915
aus,24.42,1916
aus,24.52,1917
aus,24.95,1918
aus,15.79,1919
aus,19.38,1920
aus,17.66,1921
aus,18.92,1922
aus,20.99,1923
aus,20.3,1924
aus,19.9,1925
aus,18.87,1926
aus,19.99,1927
aus,18.61,1928
aus,17.89,1929
aus,16.96,1930
aus,14.52,1931
aus,16.48,1932
aus,16.68,1933
aus,16.78,1934
aus,17.77,1935
aus,19.38,1936
aus,21.37,1937
aus,22.05,1938
aus,23.08,1939
aus,22.48,1940
aus,23.97,1941
aus,23.67,1942
aus,22.19,1943
aus,21.99,1944
aus,20.1,1945
aus,20.45,1946
aus,20.63,1947
aus,21.02,1948
aus,20.8,1949
aus,22.03,1950
aus,21.77,1951
aus,22.83,1952
aus,24.24,1953
aus,26.84,1954
aus,30.75,1955
aus,33.9,1956
aus,34.52,1957
