geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
ecu,95.49,1974
ecu,96.24,1975
ecu,96.02,1976
ecu,96.31,1977
ecu,96.38,1978
ecu,98.16,1979
ecu,97.04,1980
ecu,97.89,1981
ecu,97.96,1982
ecu,99.69,1983
ecu,100.3,1984
ecu,99.62,1985
ecu,99.99,1986
ecu,100.1,1987
ecu,100.3,1988
ecu,99.56,1993
ecu,100.7,1996
ecu,100.9,1998
ecu,100.6,1999
ecu,100.1,2000
ecu,100.5,2001
ecu,100.0,2002
ecu,100.3,2003
ecu,99.8,2004
ecu,100.0,2005
ecu,100.1,2006
ecu,100.2,2007
ecu,101.5,2008
ecu,100.6,2010
egy,58.47,1971
egy,58.72,1972
egy,58.99,1973
egy,59.49,1974
egy,59.11,1975
egy,60.39,1976
egy,61.41,1977
egy,62.18,1978
egy,63.54,1979
egy,64.26,1980
egy,65.97,1981
egy,67.42,1982
egy,69.07,1983
egy,70.95,1984
egy,72.81,1985
egy,74.56,1986
egy,76.06,1987
egy,75.25,1988
egy,78.75,1989
egy,80.42,1990
egy,81.05,1991
egy,84.22,1992
egy,84.9,1993
egy,83.71,1994
egy,87.16,1995
egy,79.93,1996
egy,86.44,1997
egy,91.08,1999
egy,92.06,2000
egy,92.95,2001
egy,93.93,2003
egy,94.65,2004
egy,95.79,2009
egy,89.83,2010
slv,92.07,1970
slv,91.26,1971
slv,91.52,1972
slv,90.97,1973
slv,91.39,1974
slv,91.82,1975
slv,93.08,1976
slv,92.39,1977
slv,93.23,1978
slv,93.92,1979
slv,97.53,1980
slv,97.36,1983
slv,99.17,1984
slv,101.5,1988
slv,99.36,1989
slv,101.5,1991
slv,100.9,1992
slv,100.5,1993
slv,97.72,1998
slv,96.8,1999
slv,96.97,2000
slv,97.67,2001
slv,96.84,2002
slv,98.31,2003
slv,98.59,2004
slv,98.75,2005
slv,99.08,2006
slv,101.4,2007
slv,98.77,2008
slv,98.35,2009
slv,97.57,2010
slv,97.17,2011
gnq,68.82,1971
gnq,81.67,1993
gnq,86.59,1994
gnq,67.98,1999
gnq,81.33,2000
gnq,82.84,2002
eri,82.13,1993
eri,78.42,1994
eri,78.01,1995
eri,78.89,1996
eri,78.69,1997
eri,77.65,1999
eri,77.29,2000
