geo,time,sg_gdp_p_cap_const_ppp2011_dollar
rus,1805,1439.00
rwa,1805,434.00
sau,1805,848.00
sdn,1805,519.00
sds,1805,508.00
sen,1805,497.00
sgp,1805,1022.00
slb,1805,363.00
sle,1805,734.00
slv,1805,975.00
som,1805,697.00
srb,1805,1359.00
stp,1805,858.00
sur,1805,1638.00
svk,1805,1428.00
svn,1805,1410.00
swe,1805,1446.00
swz,1805,490.00
syc,1805,807.00
syr,1805,1082.00
tcd,1805,418.00
tgo,1805,683.00
tha,1805,932.00
tjk,1805,557.00
tkm,1805,948.00
tls,1805,526.00
ton,1805,663.00
tto,1805,1231.00
tun,1805,716.00
tur,1805,1222.00
tza,1805,562.00
uga,1805,464.00
ukr,1805,767.00
ury,1805,1759.00
usa,1805,2211.00
uzb,1805,503.00
vct,1805,839.00
ven,1805,682.00
vnm,1805,862.00
vut,1805,586.00
wsm,1805,1401.00
yem,1805,889.00
zaf,1805,1481.00
zmb,1805,671.00
zwe,1805,874.00
afg,1806,603.00
ago,1806,634.00
alb,1806,668.00
are,1806,1020.00
arg,1806,1509.00
arm,1806,514.00
atg,1806,757.00
aus,1806,826.00
aut,1806,1893.00
aze,1806,776.00
bdi,1806,420.00
bel,1806,2414.00
ben,1806,597.00
bfa,1806,480.00
bgd,1806,876.00
bgr,1806,1090.00
bhr,1806,1267.00
bhs,1806,1446.00
bih,1806,669.00
blr,1806,610.00
blz,1806,579.00
bol,1806,854.00
bra,1806,1110.00
brb,1806,914.00
brn,1806,1513.00
btn,1806,630.00
bwa,1806,398.00
caf,1806,424.00
can,1806,1365.00
che,1806,2704.00
chl,1806,1027.00
chn,1806,985.00
civ,1806,832.00
cmr,1806,627.00
cod,1806,497.00
cog,1806,585.00
col,1806,964.00
com,1806,700.00
cpv,1806,530.00
cri,1806,776.00
cub,1806,926.00
cyp,1806,854.00
cze,1806,1917.00
deu,1806,1710.00
dji,1806,766.00
dnk,1806,2035.00
dom,1806,668.00
dza,1806,721.00
ecu,1806,530.00
egy,1806,792.00
eri,1806,532.00
esp,1806,1519.00
est,1806,944.00
eth,1806,523.00
fin,1806,1257.00
fji,1806,786.00
fra,1806,1824.00
fsm,1806,520.00
