basomrade,year,cumulative_immigration_surplus_female
1210161_humlegarden_o,2014,-8
1210171_stureparken_o,2000,2
1210171_stureparken_o,2001,-2
1210171_stureparken_o,2002,2
1210171_stureparken_o,2003,10
1210171_stureparken_o,2004,13
1210171_stureparken_o,2005,19
1210171_stureparken_o,2006,23
1210171_stureparken_o,2007,26
1210171_stureparken_o,2008,27
1210171_stureparken_o,2009,22
1210171_stureparken_o,2010,61
1210171_stureparken_o,2011,60
1210171_stureparken_o,2012,93
1210171_stureparken_o,2013,105
1210171_stureparken_o,2014,116
1210172_stureparken_v,2000,5
1210172_stureparken_v,2001,25
1210172_stureparken_v,2002,22
1210172_stureparken_v,2003,3
1210172_stureparken_v,2004,8
1210172_stureparken_v,2005,12
1210172_stureparken_v,2006,14
1210172_stureparken_v,2007,18
1210172_stureparken_v,2008,23
1210172_stureparken_v,2009,30
1210172_stureparken_v,2010,48
1210172_stureparken_v,2011,56
1210172_stureparken_v,2012,41
1210172_stureparken_v,2013,55
1210172_stureparken_v,2014,60
1210210_roslagstulls_sjukhus,2000,7
1210210_roslagstulls_sjukhus,2001,6
1210210_roslagstulls_sjukhus,2002,2
1210210_roslagstulls_sjukhus,2003,-12
1210210_roslagstulls_sjukhus,2004,-20
1210210_roslagstulls_sjukhus,2005,6
1210210_roslagstulls_sjukhus,2006,49
1210210_roslagstulls_sjukhus,2007,98
1210210_roslagstulls_sjukhus,2008,115
1210210_roslagstulls_sjukhus,2009,128
1210210_roslagstulls_sjukhus,2010,173
1210210_roslagstulls_sjukhus,2011,197
1210210_roslagstulls_sjukhus,2012,187
1210210_roslagstulls_sjukhus,2013,189
1210210_roslagstulls_sjukhus,2014,233
1210220_ostra_station,2000,15
1210220_ostra_station,2001,4
1210220_ostra_station,2002,0
1210220_ostra_station,2003,-29
1210220_ostra_station,2004,-27
1210220_ostra_station,2005,-9
1210220_ostra_station,2006,-26
1210220_ostra_station,2007,-47
1210220_ostra_station,2008,-56
1210220_ostra_station,2009,-54
1210220_ostra_station,2010,-70
1210220_ostra_station,2011,-87
1210220_ostra_station,2012,-87
1210220_ostra_station,2013,-35
1210220_ostra_station,2014,-46
1210320_ekhagen,2000,22
1210320_ekhagen,2001,35
