basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_male
5432400_krokhojden,2001,0.23228
5432400_krokhojden,2002,0.25301
5432400_krokhojden,2003,0.24194
5432400_krokhojden,2004,0.23984
5432400_krokhojden,2005,0.25
5432400_krokhojden,2006,0.25431
5432400_krokhojden,2007,0.26168
5432400_krokhojden,2008,0.23786
5432400_krokhojden,2009,0.25126
5432400_krokhojden,2010,0.25888
5432400_krokhojden,2011,0.26633
5432400_krokhojden,2012,0.27692
5432400_krokhojden,2013,0.26178
5432400_krokhojden,2014,0.29787
5432410_orminge,2000,0.09178
5432410_orminge,2001,0.09933
5432410_orminge,2002,0.10534
5432410_orminge,2003,0.10258
5432410_orminge,2004,0.09955
5432410_orminge,2005,0.1028
5432410_orminge,2006,0.10966
5432410_orminge,2007,0.11374
5432410_orminge,2008,0.10975
5432410_orminge,2009,0.11787
5432410_orminge,2010,0.12519
5432410_orminge,2011,0.13333
5432410_orminge,2012,0.13142
5432410_orminge,2013,0.13299
5432410_orminge,2014,0.13512
5432500_mensattra,2000,0.20776
5432500_mensattra,2001,0.20196
5432500_mensattra,2002,0.19944
5432500_mensattra,2003,0.20723
5432500_mensattra,2004,0.20822
5432500_mensattra,2005,0.2149
5432500_mensattra,2006,0.21439
5432500_mensattra,2007,0.22642
5432500_mensattra,2008,0.22072
5432500_mensattra,2009,0.22289
5432500_mensattra,2010,0.22804
5432500_mensattra,2011,0.22897
5432500_mensattra,2012,0.22777
5432500_mensattra,2013,0.23089
5432500_mensattra,2014,0.23849
5432600_kallvagen,2000,0.24172
5432600_kallvagen,2001,0.24521
5432600_kallvagen,2002,0.2415
5432600_kallvagen,2003,0.25753
5432600_kallvagen,2004,0.27476
5432600_kallvagen,2005,0.26484
5432600_kallvagen,2006,0.28086
5432600_kallvagen,2007,0.28328
5432600_kallvagen,2008,0.28221
5432600_kallvagen,2009,0.28419
5432600_kallvagen,2010,0.3006
5432600_kallvagen,2011,0.3006
5432600_kallvagen,2012,0.29167
5432600_kallvagen,2013,0.30285
5432600_kallvagen,2014,0.30898
5432610_eriksvik,2000,0.14957
5432610_eriksvik,2001,0.15323
5432610_eriksvik,2002,0.16142
5432610_eriksvik,2003,0.1751
5432610_eriksvik,2004,0.1875
5432610_eriksvik,2005,0.20438
5432610_eriksvik,2006,0.21014
5432610_eriksvik,2007,0.20833
5432610_eriksvik,2008,0.23151
5432610_eriksvik,2009,0.23052
5432610_eriksvik,2010,0.23659
5432610_eriksvik,2011,0.24845
5432610_eriksvik,2012,0.25836
5432610_eriksvik,2013,0.26687
5432610_eriksvik,2014,0.26506
5432700_norra_lannersta,2000,0.2887
5432700_norra_lannersta,2001,0.2887
5432700_norra_lannersta,2002,0.31781
5432700_norra_lannersta,2003,0.31953
5432700_norra_lannersta,2004,0.32079
5432700_norra_lannersta,2005,0.3327
5432700_norra_lannersta,2006,0.34953
5432700_norra_lannersta,2007,0.36038
5432700_norra_lannersta,2008,0.36673
5432700_norra_lannersta,2009,0.37843
5432700_norra_lannersta,2010,0.38078
5432700_norra_lannersta,2011,0.38302
5432700_norra_lannersta,2012,0.38409
5432700_norra_lannersta,2013,0.39379
5432700_norra_lannersta,2014,0.39232
5432710_sodra_lannersta,2000,0.26582
5432710_sodra_lannersta,2001,0.25
5432710_sodra_lannersta,2002,0.27439
5432710_sodra_lannersta,2003,0.30723
5432710_sodra_lannersta,2004,0.31176
5432710_sodra_lannersta,2005,0.3388
5432710_sodra_lannersta,2006,0.33846
5432710_sodra_lannersta,2007,0.37915
5432710_sodra_lannersta,2008,0.38222
5432710_sodra_lannersta,2009,0.375
5432710_sodra_lannersta,2010,0.38298
5432710_sodra_lannersta,2011,0.4
5432710_sodra_lannersta,2012,0.4135
5432710_sodra_lannersta,2013,0.4206
5432710_sodra_lannersta,2014,0.43852
5432810_boo_gard,2000,0.2483
5432810_boo_gard,2001,0.2392
5432810_boo_gard,2002,0.2351
5432810_boo_gard,2003,0.24085
5432810_boo_gard,2004,0.25749
5432810_boo_gard,2005,0.28161
5432810_boo_gard,2006,0.3027
5432810_boo_gard,2007,0.33244
5432810_boo_gard,2008,0.35065
5432810_boo_gard,2009,0.35142
5432810_boo_gard,2010,0.36802
5432810_boo_gard,2011,0.38832
5432810_boo_gard,2012,0.3875
5432810_boo_gard,2013,0.42079
5432810_boo_gard,2014,0.42195
5432900_gustavsvik,2000,0.12575
5432900_gustavsvik,2001,0.14118
5432900_gustavsvik,2002,0.14607
5432900_gustavsvik,2003,0.15789
5432900_gustavsvik,2004,0.16495
5432900_gustavsvik,2005,0.1831
5432900_gustavsvik,2006,0.2
5432900_gustavsvik,2007,0.21101
5432900_gustavsvik,2008,0.21239
5432900_gustavsvik,2009,0.22124
5432900_gustavsvik,2010,0.22222
5432900_gustavsvik,2011,0.23636
5432900_gustavsvik,2012,0.22768
5432900_gustavsvik,2013,0.22897
5432900_gustavsvik,2014,0.23009
3810100_lilla_alby,2000,0.19303
3810100_lilla_alby,2001,0.19904
3810100_lilla_alby,2002,0.19986
3810100_lilla_alby,2003,0.20995
3810100_lilla_alby,2004,0.21652
3810100_lilla_alby,2005,0.22487
3810100_lilla_alby,2006,0.23726
3810100_lilla_alby,2007,0.23721
3810100_lilla_alby,2008,0.23851
3810100_lilla_alby,2009,0.24063
3810100_lilla_alby,2010,0.24564
3810100_lilla_alby,2011,0.26166
3810100_lilla_alby,2012,0.24769
3810100_lilla_alby,2013,0.25634
3810100_lilla_alby,2014,0.26805
3810110_sundbybergs_industriomr,2000,0.28205
3810110_sundbybergs_industriomr,2001,0.31551
3810110_sundbybergs_industriomr,2002,0.31579
3810110_sundbybergs_industriomr,2003,0.33175
3810110_sundbybergs_industriomr,2004,0.36792
3810110_sundbybergs_industriomr,2005,0.36
3810110_sundbybergs_industriomr,2006,0.37745
3810110_sundbybergs_industriomr,2007,0.37566
3810110_sundbybergs_industriomr,2008,0.39888
3810110_sundbybergs_industriomr,2009,0.36932
3810110_sundbybergs_industriomr,2010,0.36994
3810110_sundbybergs_industriomr,2011,0.36416
3810110_sundbybergs_industriomr,2012,0.38788
3810110_sundbybergs_industriomr,2013,0.3681
3810110_sundbybergs_industriomr,2014,0.36842
3810220_rasten,2000,0.21609
3810220_rasten,2001,0.23101
3810220_rasten,2002,0.24611
3810220_rasten,2003,0.25968
3810220_rasten,2004,0.28054
3810220_rasten,2005,0.27704
3810220_rasten,2006,0.269
3810220_rasten,2007,0.29508
3810220_rasten,2008,0.29601
3810220_rasten,2009,0.30062
3810220_rasten,2010,0.29784
3810220_rasten,2011,0.30357
3810220_rasten,2012,0.30769
3810220_rasten,2013,0.30355
3810220_rasten,2014,0.31367
3810230_sundbybergs_centrum,2000,0.23254
