basomrade,year,mean_income_aged_lt_20_male
4230100_lindholmen,2004,318756.46
4230100_lindholmen,2005,329507.35
4230100_lindholmen,2006,350981.81
4230100_lindholmen,2007,365334.06
4230100_lindholmen,2008,369808.49
4230100_lindholmen,2009,373707.07
4230100_lindholmen,2010,393890.36
4230100_lindholmen,2011,398383.92
4230100_lindholmen,2012,416548.46
4230100_lindholmen,2013,405696.55
4230100_lindholmen,2014,407489.42
4230500_okand,2000,228072.43
4230500_okand,2001,233825.87
4230500_okand,2002,240654.47
4230500_okand,2003,242480.3
4230500_okand,2004,261370.13
4230500_okand,2005,279445.93
4230500_okand,2006,280519.52
4230500_okand,2007,286889.1
4230500_okand,2008,326743.97
4230500_okand,2009,317839.39
4240000_frosunda_forsamling,2000,212133.2
4240000_frosunda_forsamling,2001,220706.16
4240000_frosunda_forsamling,2002,226863.16
4240000_frosunda_forsamling,2003,245123.52
4240000_frosunda_forsamling,2004,241619.07
4240000_frosunda_forsamling,2005,252227.74
4240000_frosunda_forsamling,2006,268255.59
4240000_frosunda_forsamling,2007,308179.29
4240000_frosunda_forsamling,2008,306414.69
4240000_frosunda_forsamling,2009,567189.55
4240000_frosunda_forsamling,2010,336062.93
4240000_frosunda_forsamling,2011,344375.93
4240000_frosunda_forsamling,2012,334803.94
4240000_frosunda_forsamling,2013,341417.99
4240000_frosunda_forsamling,2014,352545.2
4250100_karsta,2000,225967.14
4250100_karsta,2001,232273.57
4250100_karsta,2002,237062.7
4250100_karsta,2003,243367.4
4250100_karsta,2004,246751.99
4250100_karsta,2005,252578.03
4250100_karsta,2006,260879.24
4250100_karsta,2007,255855.83
4250100_karsta,2008,261641.64
4250100_karsta,2009,264741.24
4250100_karsta,2010,264479.84
4250100_karsta,2011,275800.44
4250100_karsta,2012,277989.22
4250100_karsta,2013,287585.5
4250100_karsta,2014,298705.78
4250200_ekskogen,2000,246603.81
4250200_ekskogen,2001,243815.63
4250200_ekskogen,2002,258182.86
4250200_ekskogen,2003,268977.97
4250200_ekskogen,2004,280168
4250200_ekskogen,2005,293872.27
4250200_ekskogen,2006,317939.35
4250200_ekskogen,2007,321669.54
4250200_ekskogen,2008,336148.36
4250200_ekskogen,2009,313249.68
4250200_ekskogen,2010,322757.13
4250200_ekskogen,2011,330718.04
4250200_ekskogen,2012,325662.03
4250200_ekskogen,2013,336707.59
4250200_ekskogen,2014,352629.31
4250500_karsta_glesbygd,2000,226857.03
4250500_karsta_glesbygd,2001,244982.08
4250500_karsta_glesbygd,2002,243825.72
4250500_karsta_glesbygd,2003,252171.48
4250500_karsta_glesbygd,2004,257987.63
