basomrade,year,immigration_surplus_female
4230100_lindholmen,2004,9
4230100_lindholmen,2005,11
4230100_lindholmen,2006,-9
4230100_lindholmen,2007,0
4230100_lindholmen,2008,-1
4230100_lindholmen,2009,11
4230100_lindholmen,2010,2
4230100_lindholmen,2011,9
4230100_lindholmen,2012,10
4230100_lindholmen,2013,-5
4230100_lindholmen,2014,-2
4230500_okand,2000,-3
4230500_okand,2001,8
4230500_okand,2002,-6
4230500_okand,2003,6
4230500_okand,2004,-4
4230500_okand,2005,-4
4230500_okand,2006,-3
4230500_okand,2007,-1
4230500_okand,2008,7
4230500_okand,2009,-1
4240000_frosunda_forsamling,2000,2
4240000_frosunda_forsamling,2001,-3
4240000_frosunda_forsamling,2002,7
4240000_frosunda_forsamling,2003,6
4240000_frosunda_forsamling,2004,2
4240000_frosunda_forsamling,2005,8
4240000_frosunda_forsamling,2006,-11
4240000_frosunda_forsamling,2007,13
4240000_frosunda_forsamling,2008,11
4240000_frosunda_forsamling,2009,-3
4240000_frosunda_forsamling,2010,-3
4240000_frosunda_forsamling,2011,-4
4240000_frosunda_forsamling,2012,5
4240000_frosunda_forsamling,2013,14
4240000_frosunda_forsamling,2014,1
4250100_karsta,2000,7
4250100_karsta,2001,-9
4250100_karsta,2002,-5
4250100_karsta,2003,4
4250100_karsta,2004,-9
4250100_karsta,2005,4
4250100_karsta,2006,3
4250100_karsta,2007,-2
4250100_karsta,2008,3
4250100_karsta,2009,2
4250100_karsta,2010,-7
4250100_karsta,2011,8
4250100_karsta,2012,-3
4250100_karsta,2013,2
4250100_karsta,2014,-1
4250200_ekskogen,2000,2
4250200_ekskogen,2001,3
4250200_ekskogen,2002,-2
4250200_ekskogen,2003,0
4250200_ekskogen,2004,-4
4250200_ekskogen,2005,0
4250200_ekskogen,2006,-4
4250200_ekskogen,2007,4
4250200_ekskogen,2008,-5
4250200_ekskogen,2009,-1
4250200_ekskogen,2010,3
4250200_ekskogen,2011,-1
4250200_ekskogen,2012,-5
4250200_ekskogen,2013,0
4250200_ekskogen,2014,-3
4250500_karsta_glesbygd,2000,7
4250500_karsta_glesbygd,2001,8
4250500_karsta_glesbygd,2002,1
4250500_karsta_glesbygd,2003,11
4250500_karsta_glesbygd,2004,2
4250500_karsta_glesbygd,2005,-1
4250500_karsta_glesbygd,2006,8
4250500_karsta_glesbygd,2007,3
4250500_karsta_glesbygd,2008,6
4250500_karsta_glesbygd,2009,-5
4250500_karsta_glesbygd,2010,5
4250500_karsta_glesbygd,2011,-2
4250500_karsta_glesbygd,2012,-7
4250500_karsta_glesbygd,2013,-6
4250500_karsta_glesbygd,2014,4
4260500_vada_glesbygd,2000,4
4260500_vada_glesbygd,2001,-4
4260500_vada_glesbygd,2002,2
4260500_vada_glesbygd,2003,1
4260500_vada_glesbygd,2004,4
4260500_vada_glesbygd,2005,4
4260500_vada_glesbygd,2006,-7
